service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_87865,1,1,1,1,1,0,0,20260105,20991231
1_87866,1,1,1,1,1,0,0,20260105,20991231
1_87867,1,1,1,1,1,0,0,20260105,20991231
1_87868,1,1,1,1,1,0,0,20260105,20991231
1_87869,1,1,1,1,1,0,0,20260105,20991231
1_87870,1,1,1,1,1,0,0,20260105,20991231
1_87871,1,1,1,1,1,0,0,20260105,20991231
1_87872,1,1,1,1,1,0,0,20260105,20991231
1_87873,1,1,1,1,1,0,0,20260105,20991231
1_87874,1,1,1,1,1,0,0,20260105,20991231
1_87875,1,1,1,1,1,0,0,20260105,20991231
1_87876,1,1,1,1,1,0,0,20260105,20991231
1_87877,1,1,1,1,1,0,0,20260105,20991231
1_87878,1,1,1,1,1,0,0,20260105,20991231
1_87879,1,1,1,1,1,0,0,20260105,20991231
1_87880,1,1,1,1,1,0,0,20260105,20991231
1_87881,1,1,1,1,1,0,0,20260105,20991231
1_87882,1,1,1,1,1,0,0,20260105,20991231
1_87883,1,1,1,1,1,0,0,20260105,20991231
1_87884,1,1,1,1,1,0,0,20260105,20991231
1_87885,1,1,1,1,1,0,0,20260105,20991231
1_87886,1,1,1,1,1,0,0,20260105,20991231
1_87905,1,1,1,1,1,0,0,20260105,20260430
1_87906,1,1,1,1,1,0,0,20260105,20260430
1_87907,1,1,1,1,1,0,0,20260105,20260430
1_87908,1,1,1,1,1,0,0,20260105,20260430
1_87909,1,1,1,1,1,0,0,20260105,20260430
1_87910,1,1,1,1,1,0,0,20260105,20260430
1_87911,1,1,1,1,1,0,0,20260105,20260430
1_87912,1,1,1,1,1,0,0,20260105,20260430
1_87913,1,1,1,1,1,0,0,20260105,20260430
1_87914,1,1,1,1,1,0,0,20260105,20260430
1_87915,1,1,1,1,1,0,0,20260105,20260430
1_87916,1,1,1,1,1,0,0,20260105,20260430
1_87917,1,1,1,1,1,0,0,20260105,20260430
1_87918,1,1,1,1,1,0,0,20260105,20260430
1_87919,1,1,1,1,1,0,0,20260105,20260430
1_87920,1,1,1,1,1,0,0,20260105,20260430
1_87921,1,1,1,1,1,0,0,20260105,20260430
1_87922,1,1,1,1,1,0,0,20260105,20260430
1_88002,0,0,0,0,0,1,1,20260101,20991231
1_88003,0,0,0,0,0,1,1,20260101,20991231
1_88004,0,0,0,0,0,1,1,20260101,20991231
1_88005,0,0,0,0,0,1,1,20260101,20991231
1_88006,0,0,0,0,0,1,1,20260101,20991231
1_88007,0,0,0,0,0,1,1,20260101,20991231
1_88008,0,0,0,0,0,1,1,20260101,20991231
1_88009,0,0,0,0,0,1,1,20260101,20991231
1_88010,0,0,0,0,0,1,1,20260101,20991231
1_88023,0,0,0,0,0,1,1,20260101,20991231
1_88024,0,0,0,0,0,1,1,20260101,20991231
