name,geometry
Лівобережна,POINT (30.5981679 50.4518631)
Гідропарк,POINT (30.5770339 50.445993)
Дарниця,POINT (30.6128423 50.4559397)
Чернігівська,POINT (30.6303119 50.4598903)
Лісова,POINT (30.6459702 50.4647597)
Дніпро,POINT (30.5586885 50.4410407)
Арсенальна,POINT (30.5454331 50.4444878)
Університет,POINT (30.5058928 50.4442469)
Вокзальна,POINT (30.4882512 50.4416401)
Політехнічний інститут,POINT (30.466127 50.4507932)
Шулявська,POINT (30.4453703 50.4550745)
Берестейська,POINT (30.419688 50.4590925)
Нивки,POINT (30.4042048 50.4585958)
Житомирська,POINT (30.3658729 50.4561717)
Академмістечко,POINT (30.3550833 50.4647043)
Васильківська,POINT (30.488223 50.3933354)
Палац спорту,POINT (30.5208694 50.4382891)
Славутич,POINT (30.6051576 50.3942003)
Осокорки,POINT (30.6162493 50.3951862)
Сирець,POINT (30.430831 50.4763888)
Червоний Хутір,POINT (30.6961767 50.4094593)
Виставковий центр,POINT (30.4775836 50.3824987)
Іподром,POINT (30.4690454 50.3765534)
Теремки,POINT (30.4538209 50.3669054)
Дорогожичі,POINT (30.4487773 50.4737337)
Оболонь,POINT (30.4982231 50.5015331)
Героїв Дніпра,POINT (30.4988991 50.5226701)
Контрактова площа,POINT (30.5150809 50.4658354)
Золоті ворота,POINT (30.5134785 50.4482462)
Площа Українських Героїв,POINT (30.5166416 50.4394165)
Театральна,POINT (30.5180449 50.44521)
Кловська,POINT (30.5319209 50.4369287)
Палац «Україна»,POINT (30.5213092 50.4206817)
Майдан Незалежності,POINT (30.5244408 50.4499356)
Хрещатик,POINT (30.5229456 50.4471871)
Мінська,POINT (30.4985738 50.5121705)
Почайна,POINT (30.4978905 50.4861951)
Тараса Шевченка,POINT (30.5045395 50.4735413)
Поштова площа,POINT (30.5248945 50.4587762)
Олімпійська,POINT (30.5164035 50.4322821)
Либідська,POINT (30.5248282 50.4131113)
Деміївська,POINT (30.5169137 50.4049317)
Голосіївська,POINT (30.5081616 50.3973294)
Бориспільська,POINT (30.6842649 50.403273)
Вирлиця,POINT (30.6661156 50.402895)
Харківська,POINT (30.6523061 50.4006902)
Позняки,POINT (30.6346619 50.3978967)
Звіринецька,POINT (30.5450279 50.41825)
Видубичі,POINT (30.560301 50.4020929)
Печерська,POINT (30.5389263 50.4276251)
Лукʼянівська,POINT (30.4818047 50.4623623)
Святошин,POINT (30.3908011 50.4578249)
