name,geometry
Автоцентр,POINT (30.5516652 50.3509077)
ФК «Динамо»,POINT (30.5644617 50.3200663)
Тростянецька вулиця,POINT (30.6580491 50.4215171)
площа Петра Кривоноса,POINT (30.4904486 50.4369383)
Станція метро «Університет»,POINT (30.5065457 50.4443625)
Галицька площа,POINT (30.4926282 50.4471982)
Галицька площа,POINT (30.4925143 50.4465974)
Вул. Тростянецька,POINT (30.6473328 50.4139131)
вул. Панаса Мирного,POINT (30.5452205 50.432719)
Деміївський провулок,POINT (30.5156586 50.4022183)
пров. Деміївський,POINT (30.5151156 50.4024125)
ст. м. Голосіївська,POINT (30.5094719 50.3969067)
Кінотеатр «Кадр»,POINT (30.4543783 50.4984754)
Гімназія №315,POINT (30.6364251 50.4029986)
Вул. Кошиця,POINT (30.6395249 50.406667)
Вул. Кошиця,POINT (30.6396058 50.4076345)
бул. Ігоря Шамо,POINT (30.6009263 50.4339119)
Вул. Петра Болбочана,POINT (30.5454008 50.4219406)
Юний технік,POINT (30.5382016 50.4406248)
Просп. Науки,POINT (30.5223834 50.4052276)
вул. Михайла Драгоманова,POINT (30.6331344 50.4022109)
вул. Генерала Воробйова,POINT (30.47193 50.4346974)
вул. Карела Чапека,POINT (30.4749858 50.4376793)
Будинок №68,POINT (30.5529821 50.3686534)
ст. м. «Позняки»,POINT (30.6338135 50.3986047)
ст. м. «Позняки»,POINT (30.6338415 50.3979909)
ст. м. Осокорки,POINT (30.6171869 50.3959593)
Вул. Мишуги,POINT (30.6413675 50.3977134)
масив Райдужний,POINT (30.581967 50.4956243)
масив Райдужний,POINT (30.5810183 50.4952729)
вул. Миколи Закревського,POINT (30.5897987 50.4978679)
вул. Миколи Закревського,POINT (30.5892683 50.4973287)
Мікрорайон №2,POINT (30.5850891 50.5017568)
Універсам,POINT (30.5892541 50.5004638)
Універсам,POINT (30.5888977 50.5003433)
масив Райдужний,POINT (30.5805877 50.4956589)
Вул. Кубанської України,POINT (30.6327388 50.4825125)
пр. Лісовий,POINT (30.6344829 50.4819687)
Лікарня,POINT (30.6353381 50.4830192)
Вулиця Кубанської України,POINT (30.6335932 50.4836891)
ЦНАП,POINT (30.640199 50.4843682)
Парк Муромець,POINT (30.5439934 50.4933796)
Парк Муромець,POINT (30.5442135 50.4930022)
Вулиця Йорданська,POINT (30.5080161 50.4885924)
Вулиця Йорданська,POINT (30.5088154 50.4889062)
Ст. м. Академмістечко,POINT (30.3558135 50.4660492)
вул. Архітектора Ніколаєва,POINT (30.5973289 50.5040889)
вул. Архітектора Ніколаєва,POINT (30.5979519 50.5039639)
Мікрорайон №3,POINT (30.5843188 50.5030308)
Інститут проблем лиття,POINT (30.3674336 50.465749)
вул. Депутатська,POINT (30.3792145 50.4578112)
Європейський університет,POINT (30.3771481 50.4610384)
Дитяча клінічна лікарня №5,POINT (30.372731 50.4632226)
вулиця Брусилівська,POINT (30.3421416 50.4743535)
Ст. м. Академмістечко,POINT (30.3553347 50.4657001)
вулиця Олега Мудрака,POINT (30.3577066 50.4732966)
вулиця Олега Мудрака,POINT (30.3573213 50.4734996)
Нафтовик,POINT (30.355993 50.470175)
вулиця Соснова,POINT (30.3555343 50.4741591)
Інститут моделювання,POINT (30.3466402 50.4745342)
Інститут моделювання,POINT (30.346094 50.4746171)
вулиця Димерська,POINT (30.3528048 50.4741744)
Вул. Підлісна,POINT (30.3380338 50.4740137)
Вул. Підлісна,POINT (30.3383336 50.4736697)
Вул. Підлісна,POINT (30.3389249 50.4739281)
Ринок,POINT (30.3373088 50.4706376)
Ринок,POINT (30.3372564 50.4704147)
Вул. Івана Крамського,POINT (30.3725016 50.4562404)
ст. м. Лівобережна,POINT (30.5986804 50.4512844)
ст. м. «Бориспільська»,POINT (30.6831451 50.403495)
вул. Архітектора Ніколаєва,POINT (30.5948307 50.5104121)
вул. Рональда Рейгана,POINT (30.595516 50.5107553)
вул. Рональда Рейгана,POINT (30.5970932 50.5111577)
Керченська площа,POINT (30.5903022 50.4922815)
Керченська площа,POINT (30.5905167 50.4929759)
Залізнична станція «Микільська Слобідка»,POINT (30.6000843 50.4621644)
Залізнична станція «Микільська Слобідка»,POINT (30.6005278 50.4619188)
Бібліотека,POINT (30.6022596 50.4265101)
Бібліотека,POINT (30.6023895 50.4268085)
Школа №209,POINT (30.6033145 50.4233179)
Школа №209,POINT (30.6033892 50.4239808)
Автокооператив «Березняки»,POINT (30.5977077 50.4219994)
вул. Миколи Закревського,POINT (30.590602 50.4973709)
Сонячне озеро,POINT (30.6433451 50.4158692)
Одеський ринок,POINT (30.4502839 50.3646421)
Гідрометеорологічна,POINT (30.5306051 50.3929692)
Вул. Лисогірська,POINT (30.5292922 50.3899376)
вул. Панорамна,POINT (30.5317505 50.3834439)
вул. Галини Севрук,POINT (30.534623 50.3790465)
Школа,POINT (30.5598594 50.3636031)
Вул. Ділова,POINT (30.5133595 50.4296512)
Вул. Лабораторна,POINT (30.5157696 50.4242045)
Вул. Ковпака,POINT (30.5209185 50.4160438)
Вул. Заболотного,POINT (30.463416 50.3661899)
Вул. Заболотного,POINT (30.4640247 50.3665129)
Магелан,POINT (30.4608376 50.3694801)
Торговий центр,POINT (30.4660571 50.3643175)
Вул. Івана Сірка,POINT (30.4708252 50.3614101)
Вул. Івана Сірка,POINT (30.4707108 50.3608967)
Вул. Степового,POINT (30.4731976 50.3590597)
