name,geometry
Старовокзальна,POINT (30.4892424 50.4437092)
Політехнічна,POINT (30.4671073 50.4464763)
Національний Авіаційний Університет,POINT (30.4311852 50.4412087)
Академіка Шалімова,POINT (30.4199883 50.4383095)
Вацлава Гавела,POINT (30.411081 50.4359989)
Івана Дзюби,POINT (30.3997267 50.4331157)
Індустріальна,POINT (30.4421743 50.443971)
Олекси Тихого,POINT (30.4551199 50.4464131)
Старовокзальна,POINT (30.4897643 50.4440049)
Храм на честь Ікони Божої Матері «Всецариця»,POINT (30.6204144 50.5287996)
Олександри Екстер,POINT (30.6086261 50.5232243)
вул. Милославська,POINT (30.6166688 50.5319259)
Жуля Верна,POINT (30.374314 50.4265585)
Вулиця Вахтанга Кікабідзе,POINT (30.3998408 50.4093631)
Вулиця Милославська,POINT (30.6166114 50.5313762)
Площа Галицька,POINT (30.4884344 50.446252)
Вулиця Василя Доманицького,POINT (30.3847041 50.4259389)
Бульвар Миколи Руденка,POINT (30.3822423 50.4202339)
Вулиця Зодчих,POINT (30.3895934 50.4167955)
Михайлівська Борщагівка,POINT (30.4074686 50.4073318)
Вулиця Олександра Махова,POINT (30.3954124 50.4137334)
Вулиця Василя Доманицького,POINT (30.3847478 50.4259261)
Вулиця Олександра Махова,POINT (30.3954645 50.4137382)
Бульвар Миколи Руденка,POINT (30.3822651 50.4202543)
Вулиця Вахтанга Кікабідзе,POINT (30.3998709 50.4093854)
Вулиця Зодчих,POINT (30.3889903 50.4170697)
Індустріальна,POINT (30.442197 50.4439444)
Академіка Шалімова,POINT (30.4200152 50.4382724)
Гната Юри,POINT (30.3864091 50.4296393)
Гната Юри,POINT (30.3863816 50.4296758)
Кільцева дорога,POINT (30.367535 50.4252245)
Національний Авіаційний Університет,POINT (30.4312021 50.4411797)
Площа Галицька,POINT (30.488432 50.4462213)
Олекси Тихого,POINT (30.4551137 50.446382)
Політехнічна,POINT (30.4671156 50.4464482)
Жуля Верна,POINT (30.3743316 50.4265311)
Івана Дзюби,POINT (30.3997493 50.4330839)
Вацлава Гавела,POINT (30.4111062 50.4359654)
Михайлівська Борщагівка,POINT (30.4071621 50.4077402)
Вулиця Сержа Лифаря,POINT (30.6212783 50.5089487)
бул. Володимира Висоцького,POINT (30.6239775 50.5126807)
Бульвар Леоніда Бикова,POINT (30.6268503 50.5175121)
Поліклініка,POINT (30.6281572 50.523228)
СоцЗабез,POINT (30.6284591 50.5258444)
