name,geometry
Завод залізобетонних виробів,POINT (30.4751182 50.5000371)
ст. м. «Позняки»,POINT (30.6326128 50.400108)
Вул. Пластова,POINT (30.6293104 50.4437198)
Вулиця Йорданська,POINT (30.5044494 50.4989178)
Вулиця Семена Скляренка,POINT (30.4628853 50.4977875)
м. Чернігівська,POINT (30.6307851 50.459152)
Завод залізобетонних конструкцій (ЗЗБК),POINT (30.6911456 50.4245252)
Завод залізобетонних конструкцій,POINT (30.6917008 50.4247249)
Вул. Андрія Малишка,POINT (30.6284727 50.4626671)
Парк Партизанської Слави,POINT (30.6669235 50.415969)
ст. м. Бориспільська,POINT (30.6853626 50.4044936)
Галицька площа,POINT (30.4907197 50.4466109)
вул. Рональда Рейгана,POINT (30.6068283 50.4988369)
вул. Миколи Кибальчича,POINT (30.6027908 50.4921711)
просп. Леоніда Каденюка,POINT (30.6334371 50.4545774)
Фінський провулок,POINT (30.6354846 50.450543)
Станція метро «Мінська»,POINT (30.493042 50.5116179)
Вулиця Пріорська,POINT (30.4575541 50.5089064)
Вулиця Дубровицька,POINT (30.4563677 50.5122259)
Вулиця Полярна,POINT (30.4536844 50.5197806)
ДВРЗ,POINT (30.6777204 50.4492104)
Вул. Якова Гніздовського,POINT (30.6379128 50.4615244)
Вул. Вербицького,POINT (30.6491204 50.4153165)
вул. Оленівська,POINT (30.5012089 50.4706379)
Храм на честь Ікони Божої Матері «Всецариця»,POINT (30.6204144 50.5287996)
вул. Милославська,POINT (30.6166688 50.5319259)
Інститут Газу,POINT (30.4423734 50.4627357)
ст. м. Берестейська,POINT (30.4229289 50.4592607)
Автогенний завод,POINT (30.4253049 50.4208833)
Проспект Відрадний,POINT (30.4243912 50.4199936)
Верхній Вал,POINT (30.5135635 50.4669097)
проспект Воскресенський,POINT (30.5992655 50.4846044)
"Ст. м. ""Лісова""",POINT (30.6427441 50.4633563)
Каланча,POINT (30.4193063 50.5295044)
Спецдиспансер,POINT (30.3955264 50.5263125)
Вулиця Йорданська,POINT (30.5040836 50.4991287)
ТЦ Lake Plaza,POINT (30.4965469 50.501228)
Пожежне депо,POINT (30.4933838 50.5012678)
вулиця Левка Лукʼяненка,POINT (30.4910542 50.5095037)
Вул. Героїв полку Азов,POINT (30.4895292 50.5056927)
Житловий комплекс «Мега-сіті»,POINT (30.6327088 50.4335152)
бул. Ярослава Гашека,POINT (30.6304507 50.4373038)
Вул. Празька,POINT (30.6285206 50.4405546)
"Станція метро ""Героїв Дніпра""",POINT (30.4967004 50.5231041)
Вулиця Семена Скляренка,POINT (30.4624411 50.4978127)
Вулиця Героїв Дніпра,POINT (30.4913386 50.5199631)
Вулиця Зої Гайдай,POINT (30.4915353 50.5148536)
Вул. Милославська,POINT (30.6166114 50.5313762)
Вулиця Міська,POINT (30.3671971 50.5262537)
вулиця Василя Макуха,POINT (30.4367405 50.4621589)
Вулиця Старовокзальна,POINT (30.4882613 50.4437859)
просп. Алішера Навої,POINT (30.6145777 50.4714813)
Вул. Микитенка,POINT (30.6028956 50.4867022)
Вул. Анатолія Солов'яненка,POINT (30.6262424 50.4656804)
вулиця Чорних Запорожців,POINT (30.6062827 50.4803091)
вул. Миколи Кибальчича,POINT (30.6024188 50.4919333)
Вул. Юності,POINT (30.6207471 50.4694301)
вул. Привокзальна,POINT (30.6385005 50.4280774)
Новодарницька вулиця,POINT (30.654648 50.4255958)
ст. м. «Бориспільська»,POINT (30.6842154 50.4044827)
Тростянецька вулиця,POINT (30.6590543 50.4208387)
Музична школа,POINT (30.6634104 50.4181304)
вулиця Юрія Шевельова,POINT (30.6561118 50.4231753)
Залізничний вокзал «Дарниця»,POINT (30.6484365 50.4308978)
Вул. Грузинська,POINT (30.6725133 50.4111425)
вул. Володмира Рибака,POINT (30.6680349 50.4137028)
вулиця Ісмаїла Гаспринського,POINT (30.6527201 50.4288182)
пров. Ялинковий,POINT (30.6768001 50.4087114)
Вул. Вакуленчука,POINT (30.6820359 50.4057638)
Вул. Анни Ахматової,POINT (30.6335305 50.4100008)
просп. Григоренка,POINT (30.6313796 50.4045448)
Вул. Ревуцького,POINT (30.6469434 50.4139121)
вул. Дениса Антіпова,POINT (30.6579169 50.4208691)
АТС,POINT (30.6292987 50.4082011)
Дарницький ринок,POINT (30.6538377 50.4311252)
Вулиця Миколи Гулака,POINT (30.4551039 50.5157611)
проспект Степана Бандери,POINT (30.4663471 50.4899631)
проспект Степана Бандери,POINT (30.4678825 50.4890943)
Академіка Білецького,POINT (30.4144915 50.4300212)
Академіка Білецького,POINT (30.4143539 50.4301504)
Лікарня,POINT (30.4548215 50.4630962)
Лікарня,POINT (30.455297 50.4631244)
