route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1_1,31725604,1,Михайлівська Борщагівка - Станція «Старовокзальна»,"Трамвай розпочинає рух із житлового масиву Михайлівська Борщагівка,рухається вул. Симиренка, просп. Леся Курбаса, просп. Любомира Гузара, вул. Борщагівською до ст. «Старовокзальна». Тривалість маршруту 38 хв. Частота відправлення трамваїв 4-9 хв.",0,https://kpt.kyiv.ua/schedule/tram/1,,
1_36,31725604,11,Вулиця Йорданська - Контрактова площа,"Трамвай розпочинає рух із вул. Йорданської, рухається поруч з ст.м. «Оболонь» до ст. м. «Контрактова площа». Тривалість маршруту 38 хв. Частота відправлення трамваїв 16-27хв.",0,https://kpt.kyiv.ua/schedule/tram/11,,
1_37,31725604,12,"Пуща-Водиця, 14 лінія - Контрактова площа","Трамвай розпочинає рух із Контрактової пл. (ст.м. «Контрактова пл.»), рухається поруч із станцією міської електрички «Пріорка» та з'єднує  основну  частину міста з селищем Пуща-Водиця, проходячи відокремленою трасою через Пущеводицький ліс . Тривалість маршруту 72 хв. Частота відправлення трамваїв 11-17 хв.",0,https://kpt.kyiv.ua/schedule/tram/12,,
1_38,31725604,14,Проспект Відрадний - Контрактова площа,,0,,,
1_389,31725604,17,"Пуща-Водиця, 14 лін. - Вулиця Йорданська","Трамвай розпочинає рух із вул. Йорданської, рухається поруч із ст. м. «Оболонь», ст. міської електрички «Пріорка» та  з'єднує основну частину міста з селищем Пуща-Водиця, проходячи відокремленою трасою через Пущеводицький ліс. Тривалість маршруту 62хв. Частота відправлення трамваїв 19-44 хв.",0,https://kpt.kyiv.ua/schedule/tram/17,,
1_39,31725604,15,Проспект Відрадний - Вулиця Старовокзальна,"Трамвай розпочинає рух із просп. Відрадного, рухається поруч з ст.м. «Берестейська», ст. швидкісного трамваю «Вацлава Гавела» та ст.м. «Лук'янівська» до ст. «Старовокзальна» . Тривалість маршруту 55 хв.Частота відправлення трамваїв 11-13хв.",0,https://kpt.kyiv.ua/schedule/tram/15,,
1_4,31725604,2,проспект Корольова - станція «Жуля Верна»,"Трамвай розпочинає рух із просп. Академіка Корольова, рухається вул. Симиренка, вул. Володимира Покотила,  просп. Леся Курбаса  до ст.«Жуля Верна». Тривалість маршруту 21 хв. Частота відправлення трамваїв 30 хв.",0,https://kpt.kyiv.ua/schedule/tram/2,,
1_40,31725604,16,Станція метро «Героїв Дніпра» - Контрактова площа,"Трамвай розпочинає рух із ст.м. «Героїв Дніпра», рухається поруч із ст.м. «Мінська», станцією міської електрички «Пріорка»  до ст. м. «Контрактова площа». Тривалість маршруту 43 хв.Частота відправлення трамваїв 9-19 хв.",0,https://kpt.kyiv.ua/schedule/tram/16,,
1_41,31725604,18,Контрактова площа - Вулиця Старовокзальна,,0,,,
1_42,31725604,19,Контрактова площа - Площа Шевченка,"Трамвай розпочинає рух із пл. Тараса Шевченка, рухається поруч з ст. міської електрички «Пріорка»  та прибуває до ст. м. «Контрактова площа». Тривалість маршруту 37 хв. Частота відправлення трамваїв 12-40 хв.",0,https://kpt.kyiv.ua/schedule/tram/19,,
1_46,31725604,8,Станція метро  «Позняки» - Станція метро «Лісова»,"Трамвай розпочинає рух із ст.м. «Позняки», рухається поруч з залізничним вокзалом Дарниця, до ст. м. «Лісова». Тривалість маршруту 49 хв. Частота відправлення трамваїв 12-16 хв.",0,https://kpt.kyiv.ua/schedule/tram/8,,
1_466,31725604,33к,вул. Алішера Навої - ДВРЗ,,0,,,
1_49,31725604,25,"ЗЗБК - ст. м. ""Позняки""",,0,,,
