shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_1_0,50.44358444213867,30.488853454589844,10,
1_1_1,50.408260345458984,30.40936279296875,10,
1_36_0,50.465145111083984,30.516555786132812,10,
1_36_1,50.49858856201172,30.504966735839844,10,
1_37_0,50.465179443359375,30.516666412353516,10,
1_37_1,50.55317687988281,30.334793090820312,10,
1_38_0,50.465118408203125,30.516481399536133,10,
1_38_1,50.41991424560547,30.42448616027832,10,
1_389_0,50.49858856201172,30.504966735839844,10,
1_389_1,50.552947998046875,30.33473014831543,10,
1_39_0,50.443641662597656,30.488271713256836,10,
1_39_1,50.41991424560547,30.42448616027832,10,
1_4_0,50.42502212524414,30.367589950561523,10,
1_4_1,50.414981842041016,30.409887313842773,10,
1_40_0,50.46507263183594,30.51639175415039,10,
1_40_1,50.523128509521484,30.496740341186523,10,
1_41_0,50.44356155395508,30.488462448120117,10,
1_41_1,50.46510314941406,30.516508102416992,10,
1_42_0,50.52117919921875,30.450668334960938,10,
1_42_1,50.465179443359375,30.516666412353516,10,
1_46_0,50.463321685791016,30.643877029418945,10,
1_46_1,50.40038299560547,30.63324737548828,10,
1_5_0,50.44371032714844,30.4892520904541,10,
1_5_1,50.424957275390625,30.367721557617188,10,
1_51_0,50.4634895324707,30.64382553100586,10,
1_51_1,50.40419006347656,30.68497085571289,10,
1_667_0,50.463096618652344,30.643369674682617,10,
1_667_1,50.4482536315918,30.677400588989258,10,
1_1_0,50.44367980957031,30.48914337158203,20,
1_1_1,50.40788269042969,30.404027938842773,20,
1_36_0,50.46567916870117,30.517337799072266,20,
1_36_1,50.499168395996094,30.504417419433594,20,
1_37_0,50.46543884277344,30.517038345336914,20,
1_37_1,50.55305480957031,30.334598541259766,20,
1_38_0,50.46537399291992,30.516847610473633,20,
1_38_1,50.41986083984375,30.42476463317871,20,
1_389_0,50.499996185302734,30.50362777709961,20,
1_389_1,50.55283737182617,30.334596633911133,20,
1_39_0,50.4434700012207,30.488468170166016,20,
1_39_1,50.41986083984375,30.42476463317871,20,
1_4_0,50.42491149902344,30.367708206176758,20,
1_4_1,50.41415786743164,30.40833282470703,20,
1_40_0,50.465675354003906,30.51730728149414,20,
1_40_1,50.5228385925293,30.49628257751465,20,
1_41_0,50.44345474243164,30.48873519897461,20,
1_41_1,50.465702056884766,30.51731300354004,20,
1_42_0,50.52105712890625,30.45026969909668,20,
1_42_1,50.46566390991211,30.517362594604492,20,
1_46_0,50.46343231201172,30.643760681152344,20,
1_46_1,50.40437698364258,30.631559371948242,20,
1_5_0,50.443851470947266,30.489585876464844,20,
1_5_1,50.424888610839844,30.367813110351562,20,
1_51_0,50.46367263793945,30.64374351501465,20,
1_51_1,50.40420150756836,30.68522071838379,20,
1_667_0,50.4609375,30.636260986328125,20,
1_667_1,50.44854736328125,30.67765235900879,20,
1_1_0,50.443824768066406,30.489538192749023,30,
1_1_1,50.40986633300781,30.398693084716797,30,
1_36_0,50.469482421875,30.511234283447266,30,
1_36_1,50.499996185302734,30.50362777709961,30,
1_37_0,50.465579986572266,30.517240524291992,30,
1_37_1,50.552921295166016,30.33462142944336,30,
1_38_0,50.46559524536133,30.517175674438477,30,
1_38_1,50.41992950439453,30.425003051757812,30,
1_389_0,50.50111389160156,30.502498626708984,30,
1_389_1,50.55270004272461,30.33453941345215,30,
1_39_0,50.44345474243164,30.48880386352539,30,
1_39_1,50.41992950439453,30.425003051757812,30,
1_4_0,50.42490005493164,30.367834091186523,30,
1_4_1,50.41326141357422,30.409406661987305,30,
1_40_0,50.46944808959961,30.511194229125977,30,
1_40_1,50.522804260253906,30.4947452545166,30,
1_41_0,50.443519592285156,30.489017486572266,30,
1_41_1,50.466590881347656,30.515775680541992,30,
1_42_0,50.5207633972168,30.45024871826172,30,
1_42_1,50.469482421875,30.511234283447266,30,
