route_id,service_id,trip_id,direction_id,shape_id,trip_headsign,block_id
1_1,1_87865,1_170915_10_0,0,1_1_0,,
1_1,1_87865,1_170915_12_0,0,1_1_0,,
1_1,1_87865,1_170915_2_0,0,1_1_0,,
1_1,1_87865,1_170915_4_0,0,1_1_0,,
1_1,1_87865,1_170915_6_0,0,1_1_0,,
1_1,1_87865,1_170916_10_0,0,1_1_0,,
1_1,1_87865,1_170916_12_0,0,1_1_0,,
1_1,1_87865,1_170916_14_0,0,1_1_0,,
1_1,1_87865,1_170916_2_0,0,1_1_0,,
1_1,1_87865,1_170916_4_0,0,1_1_0,,
1_1,1_87865,1_170916_6_0,0,1_1_0,,
1_1,1_87865,1_170915_1_1,1,1_1_1,,
1_1,1_87865,1_170915_11_1,1,1_1_1,,
1_1,1_87865,1_170915_3_1,1,1_1_1,,
1_1,1_87865,1_170915_5_1,1,1_1_1,,
1_1,1_87865,1_170915_9_1,1,1_1_1,,
1_1,1_87865,1_170916_11_1,1,1_1_1,,
1_1,1_87865,1_170916_13_1,1,1_1_1,,
1_1,1_87865,1_170916_3_1,1,1_1_1,,
1_1,1_87865,1_170916_5_1,1,1_1_1,,
1_1,1_87865,1_170916_9_1,1,1_1_1,,
1_1,1_87866,1_170917_2_0,0,1_1_0,,
1_1,1_87866,1_170917_4_0,0,1_1_0,,
1_1,1_87866,1_170917_6_0,0,1_1_0,,
1_1,1_87866,1_170918_2_0,0,1_1_0,,
1_1,1_87866,1_170918_4_0,0,1_1_0,,
1_1,1_87866,1_170917_1_1,1,1_1_1,,
1_1,1_87866,1_170917_3_1,1,1_1_1,,
1_1,1_87866,1_170917_5_1,1,1_1_1,,
1_1,1_87866,1_170918_1_1,1,1_1_1,,
1_1,1_87866,1_170918_3_1,1,1_1_1,,
1_1,1_87867,1_170919_10_0,0,1_1_0,,
1_1,1_87867,1_170919_12_0,0,1_1_0,,
1_1,1_87867,1_170919_2_0,0,1_1_0,,
1_1,1_87867,1_170919_4_0,0,1_1_0,,
1_1,1_87867,1_170919_8_0,0,1_1_0,,
1_1,1_87867,1_170920_12_0,0,1_1_0,,
1_1,1_87867,1_170920_14_0,0,1_1_0,,
1_1,1_87867,1_170920_2_0,0,1_1_0,,
1_1,1_87867,1_170920_4_0,0,1_1_0,,
1_1,1_87867,1_170920_6_0,0,1_1_0,,
1_1,1_87867,1_170920_8_0,0,1_1_0,,
1_1,1_87867,1_170919_1_1,1,1_1_1,,
1_1,1_87867,1_170919_11_1,1,1_1_1,,
1_1,1_87867,1_170919_3_1,1,1_1_1,,
1_1,1_87867,1_170919_7_1,1,1_1_1,,
1_1,1_87867,1_170919_9_1,1,1_1_1,,
1_1,1_87867,1_170920_11_1,1,1_1_1,,
1_1,1_87867,1_170920_13_1,1,1_1_1,,
1_1,1_87867,1_170920_3_1,1,1_1_1,,
1_1,1_87867,1_170920_5_1,1,1_1_1,,
1_1,1_87867,1_170920_7_1,1,1_1_1,,
1_1,1_87868,1_170921_2_0,0,1_1_0,,
1_1,1_87868,1_170921_4_0,0,1_1_0,,
1_1,1_87868,1_170922_2_0,0,1_1_0,,
1_1,1_87868,1_170922_4_0,0,1_1_0,,
1_1,1_87868,1_170922_6_0,0,1_1_0,,
1_1,1_87868,1_170921_1_1,1,1_1_1,,
1_1,1_87868,1_170921_3_1,1,1_1_1,,
1_1,1_87868,1_170922_1_1,1,1_1_1,,
1_1,1_87868,1_170922_3_1,1,1_1_1,,
1_1,1_87868,1_170922_5_1,1,1_1_1,,
1_1,1_87869,1_170923_2_0,0,1_1_0,,
1_1,1_87869,1_170923_4_0,0,1_1_0,,
1_1,1_87869,1_170924_2_0,0,1_1_0,,
1_1,1_87869,1_170924_4_0,0,1_1_0,,
1_1,1_87869,1_170924_6_0,0,1_1_0,,
1_1,1_87869,1_170923_1_1,1,1_1_1,,
1_1,1_87869,1_170923_3_1,1,1_1_1,,
1_1,1_87869,1_170924_1_1,1,1_1_1,,
1_1,1_87869,1_170924_3_1,1,1_1_1,,
1_1,1_87869,1_170924_5_1,1,1_1_1,,
1_1,1_87870,1_170925_10_0,0,1_1_0,,
1_1,1_87870,1_170925_12_0,0,1_1_0,,
1_1,1_87870,1_170925_2_0,0,1_1_0,,
1_1,1_87870,1_170925_4_0,0,1_1_0,,
1_1,1_87870,1_170925_8_0,0,1_1_0,,
1_1,1_87870,1_170926_10_0,0,1_1_0,,
1_1,1_87870,1_170926_12_0,0,1_1_0,,
1_1,1_87870,1_170926_14_0,0,1_1_0,,
1_1,1_87870,1_170926_2_0,0,1_1_0,,
1_1,1_87870,1_170926_4_0,0,1_1_0,,
1_1,1_87870,1_170926_6_0,0,1_1_0,,
1_1,1_87870,1_170925_1_1,1,1_1_1,,
1_1,1_87870,1_170925_11_1,1,1_1_1,,
1_1,1_87870,1_170925_3_1,1,1_1_1,,
1_1,1_87870,1_170925_7_1,1,1_1_1,,
1_1,1_87870,1_170925_9_1,1,1_1_1,,
1_1,1_87870,1_170926_11_1,1,1_1_1,,
1_1,1_87870,1_170926_13_1,1,1_1_1,,
1_1,1_87870,1_170926_3_1,1,1_1_1,,
1_1,1_87870,1_170926_5_1,1,1_1_1,,
1_1,1_87870,1_170926_9_1,1,1_1_1,,
1_1,1_87871,1_170927_2_0,0,1_1_0,,
1_1,1_87871,1_170927_4_0,0,1_1_0,,
1_1,1_87871,1_170927_6_0,0,1_1_0,,
1_1,1_87871,1_170928_2_0,0,1_1_0,,
1_1,1_87871,1_170928_4_0,0,1_1_0,,
1_1,1_87871,1_170927_1_1,1,1_1_1,,
1_1,1_87871,1_170927_3_1,1,1_1_1,,
1_1,1_87871,1_170927_5_1,1,1_1_1,,
1_1,1_87871,1_170928_1_1,1,1_1_1,,
1_1,1_87871,1_170928_3_1,1,1_1_1,,
1_1,1_87872,1_170929_2_0,0,1_1_0,,
1_1,1_87872,1_170929_4_0,0,1_1_0,,
1_1,1_87872,1_170930_2_0,0,1_1_0,,
1_1,1_87872,1_170930_4_0,0,1_1_0,,
1_1,1_87872,1_170930_6_0,0,1_1_0,,
1_1,1_87872,1_170929_1_1,1,1_1_1,,
1_1,1_87872,1_170929_3_1,1,1_1_1,,
1_1,1_87872,1_170930_1_1,1,1_1_1,,
1_1,1_87872,1_170930_3_1,1,1_1_1,,
1_1,1_87872,1_170930_5_1,1,1_1_1,,
1_1,1_87873,1_170931_10_0,0,1_1_0,,
1_1,1_87873,1_170931_12_0,0,1_1_0,,
1_1,1_87873,1_170931_2_0,0,1_1_0,,
1_1,1_87873,1_170931_4_0,0,1_1_0,,
1_1,1_87873,1_170931_8_0,0,1_1_0,,
1_1,1_87873,1_170932_10_0,0,1_1_0,,
1_1,1_87873,1_170932_12_0,0,1_1_0,,
