Автобус №10;Четвер 28 травня 2026. Діє з 01.01.2026.
Станція метро «Лісова» - селище Рибне
№ випуску;Станція метро «Лісова»;селище Рибне
1;06:45;07:13
1;07:45;08:13
1;08:45;09:13
1;10:05;10:33
1;11:05;11:33
1;12:25;12:53
1;13:25;13:53
1;14:25;14:53
1;15:25;15:53
1;16:45;17:13
1;17:45;18:13
1;18:45;19:13
1;20:05;20:33
1;21:05;21:33
селище Рибне - Станція метро «Лісова»
№ випуску;селище Рибне;Станція метро «Лісова»
1;06:15;06:43
1;07:15;07:43
1;08:15;08:43
1;09:15;09:43
1;10:35;11:03
1;11:35;12:02
1;12:55;13:23
1;13:55;14:23
1;14:55;15:23
1;15:55;16:23
1;17:15;17:43
1;18:15;18:43
1;19:15;19:42
1;20:35;21:03
1;21:35;22:03
