Автобус №102А;Четвер 28 травня 2026. Діє з 01.05.2026. Зміна розкладу з 01.06.2026.
Мікрорайон Варшавський - Кінотеатр Братислава
№ випуску;Мікрорайон Варшавський;Вулиця Світлицького;Вулиця Вишгородська;3 мікрорайон;Кінотеатр Братислава
4;06:00;06:11;06:18;06:34;06:41
5;06:16;06:27;06:34;06:50;06:57
6;06:32;06:43;06:50;07:06;07:13
1;06:48;06:59;07:06;07:22;07:29
2;07:03;07:14;07:21;07:37;07:44
3;07:18;07:29;07:36;07:52;07:59
4;07:33;07:44;07:51;08:07;08:14
5;07:48;07:59;08:06;08:22;08:29
6;08:03;08:14;08:21;08:37;08:44
1;08:18;08:29;08:36;08:52;08:59
2;08:33;08:44;08:51;09:07;09:14
3;08:52;09:03;09:10;09:26;09:33
4;09:12;09:23;09:30;09:46;09:53
5;09:22;09:33;09:40;09:56;10:03
6;09:42;09:53;10:00;10:16;10:23
1;10:11;10:22;10:29;10:45;10:52
3;10:40;10:51;10:58;11:14;11:21
4;11:08;11:19;11:26;11:42;11:49
6;11:36;11:47;11:54;12:10;12:17
1;12:01;12:12;12:19;12:35;12:42
3;12:25;12:36;12:43;12:59;13:06
4;12:47;12:58;13:05;13:21;13:28
6;13:10;13:21;13:28;13:44;13:51
1;13:32;13:43;13:50;14:06;14:13
3;13:54;14:05;14:12;14:28;14:35
4;14:17;14:28;14:35;14:51;14:58
6;14:40;14:51;14:58;15:14;15:21
1;15:02;15:13;15:20;15:36;15:43
3;15:24;15:35;15:42;15:58;16:05
4;15:47;15:58;16:05;16:21;16:28
6;16:10;16:21;16:28;16:44;16:51
1;16:32;16:43;16:50;17:06;17:13
2;16:47;16:58;17:05;17:21;17:28
3;17:03;17:14;17:21;17:37;17:44
5;17:26;17:37;17:44;18:00;18:07
4;17:44;17:55;18:02;18:18;18:25
6;18:02;18:13;18:20;18:36;18:43
2;18:20;18:31;18:38;18:54;19:01
1;18:38;18:49;18:56;19:12;19:19
5;18:56;19:07;19:14;19:30;19:37
3;19:11;19:22;19:29;19:45;19:52
4;19:33;19:44;19:51;20:07;20:14
6;19:55;20:06;20:13;20:29;20:36
1;20:17;20:28;20:35;20:51;20:58
3;20:40;20:51;20:58;21:14;21:21
4;21:03;21:14;21:21;21:37;21:44
6;21:25;21:36;21:43;21:59;22:06
1;21:47;21:58;22:05;22:21;22:28
3;22:08;22:19;22:26;22:42;22:49
4;22:30;22:41;22:48;23:04;23:11
6;22:52;23:03;23:10;23:26;23:33
Кінотеатр Братислава - Мікрорайон Варшавський
№ випуску;Кінотеатр Братислава;Вулиця Вишгородська;Вулиця Світлицького;Мікрорайон Варшавський
1;06:00;06:21;06:29;06:42
2;06:15;06:36;06:44;06:57
3;06:30;06:51;06:59;07:12
4;06:45;07:06;07:14;07:27
5;07:00;07:21;07:29;07:42
6;07:15;07:36;07:44;07:57
1;07:30;07:51;07:59;08:12
2;07:45;08:06;08:14;08:27
3;08:00;08:21;08:29;08:42
4;08:15;08:36;08:44;08:57
5;08:30;08:51;08:59;09:12
6;08:45;09:06;09:14;09:27
1;09:00;09:21;09:29;09:42
2;09:16;09:37;09:45;09:58
3;09:34;09:55;10:03;10:16
4;09:54;10:15;10:23;10:36
6;10:24;10:45;10:53;11:06
1;10:53;11:14;11:22;11:35
3;11:22;11:43;11:51;12:04
4;11:50;12:12;12:20;12:33
6;12:18;12:39;12:47;13:00
1;12:43;13:04;13:12;13:25
3;13:07;13:28;13:36;13:49
4;13:29;13:50;13:58;14:11
6;13:52;14:13;14:21;14:34
1;14:14;14:35;14:43;14:56
3;14:36;14:57;15:05;15:18
4;14:59;15:20;15:28;15:41
6;15:22;15:43;15:51;16:04
1;15:44;16:05;16:13;16:26
2;15:55;16:16;16:24;16:37
3;16:06;16:27;16:35;16:48
4;16:29;16:50;16:58;17:11
5;16:41;17:02;17:10;17:23
6;16:52;17:13;17:21;17:34
1;17:14;17:35;17:43;17:56
2;17:29;17:50;17:58;18:11
3;17:45;18:06;18:14;18:27
5;18:08;18:29;18:37;18:50
4;18:26;18:47;18:55;19:08
6;18:44;19:05;19:13;19:26
2;19:02;19:23;19:31;19:44
1;19:20;19:41;19:49;20:02
5;19:38;19:59;20:07;20:20
3;19:53;20:14;20:22;20:35
4;20:15;20:36;20:44;20:57
6;20:37;20:58;21:06;21:19
1;20:59;21:20;21:28;21:41
3;21:22;21:43;21:51;22:04
4;21:45;22:06;22:14;22:27
6;22:07;22:28;22:36;22:49
1;22:30;22:51;22:59;23:12
