Автобус №103;Четвер 28 травня 2026. Діє з 27.04.2026.
Масив Виноградар - Вулиця Чорнобильська
№ випуску;Масив Виноградар;Проспект Палладіна (Гіпермаркет);Вулиця Чорнобильська
1;06:10;06:31;06:47
2;06:38;06:59;07:15
3;07:07;07:28;07:45
1;07:35;07:56;08:12
2;08:03;08:26;08:43
3;08:35;08:58;09:15
1;09:05;09:28;09:45
2;09:43;10:06;10:23
3;10:22;10:44;11:01
1;11:15;11:38;11:55
3;12:07;12:30;12:47
1;12:51;13:14;13:31
3;13:35;13:58;14:15
1;14:19;14:42;14:59
3;15:03;15:26;15:43
1;15:47;16:10;16:27
3;16:31;16:56;17:13
2;16:59;17:24;17:41
1;17:29;17:54;18:11
3;17:59;18:24;18:41
2;18:27;18:52;19:09
1;19:05;19:30;19:47
3;19:50;20:15;20:32
1;21:00;21:25;21:42
3;21:45;22:10;22:27
Вулиця Чорнобильська - Масив Виноградар
№ випуску;Вулиця Чорнобильська;Проспект Палладіна (Гіпермаркет);Масив Виноградар
1;06:50;07:06;07:31
2;07:18;07:34;07:59
3;07:50;08:06;08:31
1;08:18;08:34;08:59
2;08:58;09:14;09:39
3;09:39;09:54;10:19
1;10:30;10:46;11:11
3;11:22;11:38;12:03
1;12:06;12:22;12:47
3;12:50;13:06;13:31
1;13:34;13:50;14:15
3;14:18;14:34;14:59
1;15:02;15:18;15:43
3;15:46;16:04;16:25
2;16:16;16:34;16:55
1;16:46;17:04;17:25
3;17:16;17:34;17:55
2;17:44;18:02;18:23
1;18:22;18:40;19:01
3;19:00;19:18;19:39
2;19:38;19:56;20:17
1;20:15;20:33;20:54
3;21:00;21:18;21:39
1;21:47;22:05;22:26
3;22:35;22:53;23:14
