Автобус №104;Четвер 28 травня 2026. Діє з 01.04.2026.
Станція метро «Харківська» - Мікрорайон "Бортничі"
№ випуску;Станція метро «Харківська»;АЗС;Вулиця Автотранспортна;Мікрорайон "Бортничі"
1;06:25;06:35;06:47;06:58
2;06:39;06:49;07:01;07:12
3;06:53;07:03;07:15;07:26
4;07:07;07:17;07:29;07:40
5;07:21;07:31;07:43;07:54
1;07:35;07:45;07:57;08:08
2;07:49;07:59;08:11;08:22
3;08:04;08:14;08:26;08:37
4;08:19;08:29;08:41;08:52
5;08:33;08:43;08:55;09:06
6;08:40;08:50;09:02;09:13
1;08:47;08:57;09:09;09:20
2;09:06;09:16;09:28;09:39
4;09:28;09:38;09:50;10:01
3;09:42;09:52;10:04;10:15
6;10:01;10:11;10:23;10:34
5;10:20;10:30;10:42;10:53
1;10:47;10:57;11:09;11:20
3;11:14;11:24;11:36;11:47
5;11:42;11:52;12:04;12:15
1;12:05;12:15;12:27;12:38
3;12:28;12:38;12:50;13:01
5;12:52;13:02;13:14;13:25
1;13:13;13:28;13:40;13:51
3;13:38;13:48;14:00;14:11
5;14:02;14:12;14:24;14:35
1;14:27;14:37;14:49;15:00
3;14:50;15:00;15:12;15:23
5;15:13;15:28;15:40;15:51
1;15:38;15:48;16:00;16:11
3;16:03;16:13;16:25;16:36
4;16:18;16:28;16:40;16:51
5;16:33;16:43;16:55;17:06
1;16:48;16:58;17:10;17:21
2;17:03;17:13;17:25;17:36
4;17:26;17:36;17:48;17:59
3;17:37;17:47;17:59;18:10
6;17:48;17:58;18:10;18:21
5;17:59;18:09;18:21;18:32
2;18:13;18:23;18:35;18:46
1;18:27;18:37;18:49;19:00
4;18:47;18:57;19:09;19:20
3;19:07;19:17;19:29;19:40
2;19:22;19:32;19:44;19:55
5;19:37;19:47;19:59;20:10
1;20:00;20:10;20:22;20:33
3;20:23;20:33;20:45;20:56
5;20:47;20:57;21:09;21:20
1;21:10;21:20;21:32;21:43
3;21:33;21:43;21:55;22:06
5;21:57;22:07;22:19;22:30
1;22:20;22:30;22:42;22:53
3;22:45;22:55;23:07;23:18
Мікрорайон "Бортничі" - Станція метро «Харківська»
№ випуску;Мікрорайон "Бортничі";Вулиця Автотранспортна;Станція метро «Бориспільська»;Станція метро «Харківська»
1;05:50;06:01;06:12;06:22
3;06:13;06:24;06:35;06:45
5;06:37;06:48;06:59;07:09
1;07:00;07:11;07:22;07:32
2;07:14;07:25;07:36;07:46
3;07:28;07:39;07:50;08:00
4;07:42;07:53;08:07;08:17
5;07:56;08:07;08:18;08:28
1;08:10;08:21;08:32;08:42
2;08:24;08:35;08:46;08:56
3;08:39;08:50;09:01;09:11
4;08:54;09:05;09:16;09:26
5;09:08;09:19;09:30;09:40
6;09:15;09:26;09:37;09:47
1;09:22;09:33;09:44;09:54
2;09:41;09:52;10:03;10:13
4;10:03;10:14;10:25;10:35
3;10:17;10:28;10:39;10:49
6;10:36;10:47;10:58;11:08
5;10:55;11:06;11:17;11:27
1;11:22;11:33;11:44;11:54
3;11:49;12:00;12:11;12:21
5;12:17;12:28;12:39;12:49
1;12:40;12:51;13:02;13:12
3;13:03;13:14;13:25;13:35
5;13:27;13:38;13:49;13:59
1;13:53;14:04;14:15;14:25
3;14:13;14:24;14:35;14:45
5;14:37;14:48;14:59;15:09
1;15:02;15:13;15:24;15:34
3;15:25;15:36;15:47;15:57
5;15:53;16:04;16:15;16:25
1;16:13;16:24;16:35;16:45
3;16:38;16:49;17:00;17:10
4;16:53;17:04;17:15;17:24
5;17:08;17:19;17:30;17:40
1;17:23;17:34;17:45;17:55
2;17:38;17:49;18:00;18:10
4;18:01;18:12;18:23;18:33
3;18:12;18:23;18:34;18:44
6;18:23;18:34;18:45;18:55
5;18:34;18:45;18:56;19:06
2;18:48;18:59;19:10;19:20
1;19:02;19:13;19:24;19:34
4;19:22;19:33;19:44;19:54
3;19:42;19:53;20:04;20:14
2;19:57;20:08;20:19;20:29
5;20:12;20:23;20:34;20:44
1;20:35;20:46;20:57;21:07
3;20:58;21:09;21:20;21:30
5;21:22;21:33;21:44;21:54
1;21:45;21:56;22:07;22:17
3;22:10;22:21;22:32;22:42
5;22:40;22:51;23:02;23:12
