Автобус №109;Четвер 28 травня 2026. Діє з 20.05.2026. Зміна розкладу з 01.06.2026.
Станція метро «Харківська» - ст. м. Театральна
№ випуску;Станція метро «Харківська»;вулиця Березняківська;Станція метро «Либідська»;ст. м. Театральна
1;05:55;06:15;06:31;06:48
2;06:30;06:51;07:08;07:25
3;07:00;07:23;07:43;08:03
4;07:27;07:52;08:14;08:35
1;07:47;08:13;08:36;08:58
5;08:13;08:38;09:00;09:21
2;08:40;09:05;09:27;09:48
3;09:10;09:35;09:57;10:18
4;09:45;10:09;10:29;10:49
5;10:25;10:49;11:08;11:26
1;10:55;11:19;11:38;11:57
2;11:40;12:04;12:22;12:40
3;12:25;12:49;13:07;13:26
1;13:10;13:34;13:52;14:11
2;13:50;14:15;14:34;14:55
3;14:40;15:04;15:22;15:41
1;15:20;15:44;16:02;16:21
4;15:53;16:18;16:37;16:56
2;16:23;16:48;17:07;17:26
5;16:49;17:14;17:33;17:52
3;17:18;17:43;18:02;18:21
1;17:45;18:10;18:29;18:48
4;18:11;18:37;18:56;19:15
2;18:50;19:14;19:31;19:48
5;19:20;19:42;19:59;20:16
3;20:05;20:25;20:41;20:58
1;20:50;21:10;21:26;21:43
2;21:35;21:55;22:11;22:28
ст. м. Театральна - Станція метро «Харківська»
№ випуску;ст. м. Театральна;Станція метро «Либідська»;вулиця Березняківська;Станція метро «Харківська»
1;06:50;07:06;07:22;07:45
2;07:27;07:43;08:00;08:24
3;08:06;08:23;08:41;09:07
4;08:37;08:54;09:11;09:37
1;09:00;09:17;09:34;10:00
5;09:23;09:40;09:57;10:23
2;09:52;10:09;10:26;10:52
3;10:22;10:39;10:56;11:22
4;10:53;11:10;11:27;11:52
5;11:28;11:45;12:02;12:27
1;12:02;12:19;12:36;13:02
2;12:45;13:02;13:19;13:45
3;13:30;13:47;14:04;14:30
1;14:15;14:32;14:49;15:15
2;15:00;15:17;15:35;16:02
3;15:45;16:02;16:20;16:47
1;16:25;16:43;17:01;17:28
4;17:00;17:19;17:39;18:06
2;17:28;17:49;18:10;18:37
5;17:55;18:16;18:38;19:05
3;18:23;18:45;19:05;19:35
1;18:50;19:11;19:32;20:00
4;19:20;19:39;19:58;20:24
2;19:50;20:07;20:25;20:50
5;20:18;20:34;20:51;21:14
3;21:00;21:16;21:33;21:55
1;21:45;22:00;22:17;22:38
2;22:30;22:45;23:01;23:21
