Автобус №11;Четвер 28 травня 2026. Діє з 01.04.2026.
Станція метро «Лісова» - Радіоцентр
№ випуску;Станція метро «Лісова»;Кадіївський провулок;Радіоцентр
1;06:00;06:08;06:16
2;06:19;06:27;06:35
1;06:38;06:46;06:54
2;06:56;07:04;07:12
1;07:14;07:22;07:30
2;07:32;07:40;07:48
1;07:48;07:56;08:04
2;08:08;08:16;08:24
1;08:23;08:31;08:39
2;08:44;08:52;09:00
1;09:02;09:10;09:18
2;09:33;09:41;09:49
1;10:07;10:15;10:23
2;10:39;10:47;10:55
1;11:00;11:08;11:16
2;11:20;11:28;11:36
1;11:40;11:48;11:56
2;12:00;12:08;12:16
1;12:20;12:28;12:36
2;12:40;12:48;12:56
1;13:00;13:08;13:16
2;13:20;13:28;13:36
1;13:40;13:48;13:56
2;14:00;14:08;14:16
1;14:20;14:28;14:36
2;14:40;14:48;14:56
1;15:00;15:08;15:16
2;15:20;15:28;15:36
1;15:40;15:48;15:56
2;16:00;16:08;16:16
1;16:23;16:31;16:39
2;17:00;17:08;17:16
1;17:18;17:26;17:34
2;17:36;17:44;17:52
1;17:54;18:02;18:09
2;18:12;18:20;18:28
1;18:27;18:35;18:43
2;18:48;18:56;19:04
1;19:06;19:14;19:22
2;19:41;19:49;19:57
1;20:05;20:13;20:21
2;20:25;20:33;20:41
1;20:45;20:53;21:01
2;21:05;21:13;21:21
1;21:25;21:33;21:41
2;21:45;21:53;22:01
1;22:05;22:13;22:21
2;22:25;22:33;22:41
1;22:50;22:58;23:06
Радіоцентр - Станція метро «Лісова»
№ випуску;Радіоцентр;Биківня;Станція метро «Лісова»
1;06:20;06:27;06:34
2;06:37;06:44;06:51
1;06:56;07:03;07:10
2;07:14;07:21;07:28
1;07:32;07:39;07:46
2;07:50;07:57;08:04
1;08:06;08:13;08:20
2;08:26;08:33;08:40
1;08:44;08:51;08:58
2;09:15;09:22;09:29
1;09:47;09:54;10:01
2;10:19;10:26;10:33
1;10:40;10:47;10:54
2;11:00;11:07;11:14
1;11:20;11:27;11:34
2;11:40;11:47;11:54
1;12:00;12:07;12:14
2;12:20;12:27;12:34
1;12:40;12:47;12:54
2;13:00;13:07;13:14
1;13:20;13:27;13:34
2;13:40;13:47;13:54
1;14:00;14:07;14:14
2;14:20;14:27;14:34
1;14:40;14:47;14:54
2;15:00;15:07;15:14
1;15:20;15:27;15:34
2;15:40;15:47;15:54
1;16:05;16:12;16:19
2;16:42;16:49;16:56
1;17:00;17:07;17:14
2;17:18;17:25;17:32
1;17:36;17:43;17:50
2;17:54;18:01;18:08
1;18:11;18:18;18:25
2;18:30;18:37;18:44
1;18:48;18:55;19:02
2;19:23;19:30;19:37
1;19:46;19:53;20:00
2;20:05;20:12;20:19
1;20:25;20:32;20:39
2;20:45;20:52;20:59
1;21:05;21:12;21:19
2;21:25;21:32;21:39
1;21:45;21:52;21:59
2;22:05;22:12;22:19
1;22:25;22:32;22:39
2;22:50;22:57;23:04
