Автобус №110;Четвер 28 травня 2026. Діє з 29.04.2026.
Вулиця Милославська - Станція метро «Площа Українських Героїв»
№ випуску;Вулиця Милославська;вулиця Кибальчича;станція "Райдужний";Поштова площа;Станція метро «Площа Українських Героїв»
1;05:30;05:55;06:09;06:21;06:36
2;05:55;06:19;06:33;06:48;07:03
3;06:15;06:39;06:55;07:10;07:27
4;06:31;06:55;07:11;07:28;07:45
5;06:47;07:11;07:29;07:46;08:03
6;07:03;07:29;07:46;08:04;08:22
7;07:19;07:43;08:03;08:23;08:41
8;07:35;08:03;08:23;08:42;09:00
9;07:55;08:23;08:43;09:02;09:19
1;08:15;08:45;09:03;09:21;09:38
2;08:35;09:05;09:21;09:39;09:56
3;09:00;09:30;09:45;10:04;10:22
5;09:25;09:55;10:10;10:27;10:43
4;09:50;10:18;10:32;10:47;11:02
6;10:25;10:52;11:06;11:20;11:35
8;11:00;11:27;11:42;11:56;12:11
1;11:30;11:57;12:12;12:26;12:42
2;12:00;12:26;12:41;12:55;13:09
4;12:30;12:56;13:11;13:24;13:39
6;13:00;13:25;13:40;13:54;14:10
8;13:30;13:55;14:10;14:24;14:40
1;14:03;14:28;14:43;14:57;15:13
2;14:23;14:48;15:03;15:17;15:32
4;14:55;15:20;15:35;15:49;16:05
7;15:17;15:42;15:57;16:12;16:28
6;15:35;16:00;16:15;16:30;16:46
9;15:51;16:16;16:31;16:45;17:01
8;16:09;16:34;16:49;17:03;17:19
3;16:26;16:51;17:06;17:21;17:37
1;16:43;17:08;17:23;17:38;17:54
5;17:01;17:28;17:43;17:57;18:12
2;17:21;17:48;18:03;18:17;18:33
4;17:41;18:08;18:23;18:38;18:54
7;18:00;18:28;18:43;18:58;19:13
6;18:22;18:50;19:05;19:20;19:35
9;18:44;19:12;19:27;19:41;19:55
8;19:17;19:44;19:59;20:14;20:29
1;19:50;20:17;20:32;20:45;20:59
2;20:21;20:46;21:01;21:14;21:29
4;20:53;21:17;21:31;21:44;21:59
6;21:25;21:49;22:03;22:14;22:28
Станція метро «Площа Українських Героїв» - Вулиця Милославська
№ випуску;Станція метро «Площа Українських Героїв»;Поштова площа;станція "Райдужний";вулиця Кибальчича;Вулиця Милославська
8;06:15;06:27;06:39;06:54;07:20
1;06:37;06:50;07:02;07:17;07:46
2;07:07;07:20;07:32;07:47;08:17
3;07:28;07:41;07:53;08:08;08:39
4;07:47;08:01;08:14;08:29;09:00
5;08:05;08:20;08:33;08:48;09:19
6;08:23;08:38;08:51;09:06;09:40
7;08:42;08:58;09:11;09:26;09:57
8;09:01;09:16;09:28;09:43;10:16
9;09:20;09:35;09:47;10:02;10:31
1;09:39;09:53;10:05;10:20;10:53
2;09:57;10:11;10:23;10:38;11:11
3;10:24;10:38;10:50;11:05;11:33
4;11:03;11:17;11:29;11:44;12:14
6;11:36;11:50;12:02;12:17;12:45
8;12:12;12:27;12:39;12:54;13:23
1;12:44;12:59;13:11;13:26;13:54
2;13:10;13:24;13:36;13:51;14:21
4;13:40;13:56;14:08;14:23;14:51
6;14:12;14:28;14:40;14:55;15:25
8;14:42;14:58;15:10;15:25;15:54
1;15:15;15:31;15:43;15:58;16:27
2;15:33;15:49;16:01;16:16;16:46
5;15:47;16:03;16:15;16:30;16:59
4;16:06;16:22;16:34;16:49;17:20
7;16:30;16:46;17:00;17:15;17:45
6;16:47;17:03;17:20;17:35;18:07
9;17:02;17:19;17:36;17:51;18:24
8;17:20;17:38;17:57;18:12;18:46
3;17:38;17:54;18:14;18:29;19:00
1;17:56;18:13;18:35;18:50;19:21
5;18:13;18:30;18:52;19:07;19:38
2;18:34;18:50;19:12;19:27;20:01
4;18:56;19:12;19:32;19:47;20:19
7;19:14;19:29;19:49;20:04;20:34
6;19:36;19:48;20:05;20:20;20:53
9;19:56;20:10;20:24;20:39;21:07
8;20:30;20:43;20:55;21:10;21:38
1;21:00;21:13;21:25;21:39;22:07
2;21:30;21:43;21:54;22:08;22:36
4;22:00;22:13;22:24;22:38;23:06
6;22:30;22:42;22:53;23:07;23:35
