Автобус №111;Четвер 28 травня 2026. Діє з 06.04.2026.
площа Дарницька - Станція метро «Площа Українських Героїв»
№ випуску;площа Дарницька;Станція метро «Лівобережна»;Поштова площа;Станція метро «Площа Українських Героїв»
1;06:00;06:13;06:42;06:52
2;06:30;06:43;07:12;07:22
3;06:58;07:11;07:40;07:50
4;07:25;07:38;08:06;08:15
1;07:52;08:05;08:34;08:44
2;08:20;08:33;09:02;09:12
3;09:00;09:13;09:42;09:52
4;09:40;09:53;10:22;10:32
1;10:18;10:31;11:00;11:10
2;11:05;11:18;11:47;11:57
3;11:45;11:58;12:27;12:37
1;12:25;12:38;13:07;13:17
2;13:03;13:16;13:45;13:55
3;13:41;13:54;14:23;14:33
1;14:20;14:33;15:02;15:12
2;14:58;15:11;15:40;15:50
3;15:36;15:49;16:18;16:28
1;16:14;16:27;16:56;17:06
4;16:42;16:55;17:24;17:34
2;17:25;17:38;18:07;18:17
3;18:00;18:13;18:42;18:52
4;18:35;18:48;19:17;19:27
1;19:10;19:23;19:52;20:02
2;19:50;20:03;20:32;20:42
3;20:30;20:43;21:12;21:22
1;21:10;21:23;21:52;22:02
2;21:50;22:03;22:32;22:42
Станція метро «Площа Українських Героїв» - площа Дарницька
№ випуску;Станція метро «Площа Українських Героїв»;Поштова площа;Станція метро «Лівобережна»;площа Дарницька
1;06:53;07:07;07:36;07:50
2;07:23;07:36;08:05;08:19
3;07:51;08:05;08:34;08:48
4;08:16;08:30;08:59;09:13
1;08:45;08:59;09:28;09:41
2;09:13;09:27;09:56;10:09
3;09:53;10:07;10:36;10:50
4;10:33;10:47;11:16;11:30
1;11:11;11:25;11:54;12:07
2;11:58;12:12;12:41;12:55
3;12:38;12:52;13:21;13:35
1;13:18;13:32;14:01;14:15
2;13:56;14:10;14:39;14:53
3;14:34;14:48;15:17;15:31
1;15:13;15:27;15:56;16:10
2;15:51;16:05;16:34;16:48
3;16:29;16:43;17:12;17:26
1;17:07;17:21;17:50;18:04
4;17:35;17:49;18:18;18:32
2;18:18;18:32;19:01;19:15
3;18:53;19:07;19:36;19:50
4;19:28;19:42;20:11;20:25
1;20:03;20:17;20:46;21:00
2;20:43;20:57;21:26;21:40
3;21:23;21:37;22:06;22:20
1;22:03;22:17;22:46;23:00
2;22:43;22:57;23:26;23:40
