Автобус №112;Четвер 28 травня 2026. Діє з 01.04.2026.
Вулиця Микитенка - Лук'янівська площа
№ випуску;Вулиця Микитенка;вулиця Кибальчича;станція "Райдужний";вул.Нижній Вал (ст.м. Контрактова пл.);Лук'янівська площа
1;05:45;05:53;06:08;06:25;06:39
3;06:20;06:28;06:43;07:00;07:14
4;06:54;07:02;07:17;07:34;07:47
5;07:15;07:23;07:38;07:54;08:07
1;07:37;07:45;08:00;08:17;08:31
2;08:02;08:10;08:25;08:41;08:55
3;08:25;08:33;08:48;09:05;09:19
4;08:49;08:57;09:12;09:29;09:43
5;09:16;09:24;09:39;09:56;10:10
2;09:52;10:00;10:15;10:32;10:46
1;10:24;10:32;10:47;11:04;11:18
3;10:59;11:07;11:22;11:38;11:52
5;11:36;11:44;11:59;12:15;12:29
1;12:14;12:22;12:37;12:54;13:08
3;12:50;12:58;13:13;13:30;13:44
5;13:27;13:35;13:50;14:07;14:21
1;14:04;14:12;14:27;14:44;14:58
3;14:43;14:51;15:06;15:22;15:36
5;15:17;15:25;15:40;15:57;16:11
1;15:54;16:02;16:17;16:34;16:48
2;16:30;16:38;16:53;17:10;17:24
3;16:55;17:00;17:15;17:32;17:46
4;17:14;17:22;17:37;17:54;18:08
5;17:37;17:45;18:00;18:17;18:31
1;17:57;18:05;18:20;18:37;18:51
2;18:18;18:26;18:41;18:58;19:12
3;18:45;18:53;19:08;19:24;19:38
4;19:05;19:13;19:28;19:44;19:58
5;19:38;19:46;20:01;20:18;20:32
1;20:14;20:22;20:37;20:54;21:08
3;20:55;21:03;21:18;21:35;21:49
5;21:28;21:36;21:51;22:08;22:22
Лук'янівська площа - Вулиця Микитенка
№ випуску;Лук'янівська площа;Станція метро «Контрактова площа»;станція "Райдужний";вулиця Кибальчича;Вулиця Микитенка
1;06:42;06:55;07:09;07:26;07:32
3;07:17;07:30;07:44;08:01;08:07
4;07:49;08:02;08:16;08:33;08:39
5;08:09;08:22;08:36;08:53;08:59
1;08:32;08:45;08:59;09:16;09:22
2;08:57;09:10;09:24;09:41;09:47
3;09:26;09:39;09:53;10:10;10:16
4;09:45;09:58;10:12;10:29;10:35
5;10:15;10:28;10:42;10:59;11:05
2;10:49;11:02;11:16;11:33;11:39
1;11:23;11:36;11:50;12:07;12:12
3;11:54;12:07;12:21;12:38;12:44
5;12:31;12:44;12:58;13:15;13:21
1;13:11;13:24;13:38;13:55;14:01
3;13:47;14:00;14:14;14:31;14:37
5;14:24;14:37;14:51;15:08;15:14
1;15:01;15:14;15:28;15:45;15:51
3;15:38;15:51;16:05;16:22;16:28
5;16:14;16:27;16:41;16:58;17:04
1;16:50;17:02;17:16;17:33;17:41
2;17:26;17:39;17:53;18:10;18:16
3;17:49;18:02;18:16;18:33;18:39
4;18:11;18:24;18:38;18:55;19:01
5;18:32;18:45;18:59;19:16;19:22
1;18:54;19:07;19:21;19:38;19:44
2;19:15;19:28;19:42;19:59;20:05
3;19:40;19:53;20:07;20:24;20:30
4;20:00;20:13;20:27;20:44;20:50
5;20:35;20:48;21:02;21:19;21:25
1;21:11;21:24;21:38;21:55;22:01
3;21:54;22:07;22:21;22:38;22:44
5;22:25;22:38;22:52;23:09;23:15
