Автобус №119;Четвер 28 травня 2026. Діє з 27.04.2026.
Вулиця Касіяна - Контрактова площа
№ випуску;Вулиця Касіяна;Станція метро «Васильківська»;Севастопольська пл.;ОХМАТДИТ;Контрактова площа
4;06:15;06:29;06:52;07:06;07:23
5;06:50;07:04;07:27;07:41;07:58
6;07:14;07:28;07:51;08:05;08:22
1;07:37;07:51;08:14;08:28;08:45
2;08:01;08:15;08:38;08:52;09:09
3;08:25;08:39;09:02;09:16;09:33
4;09:00;09:14;09:37;09:51;10:08
6;09:35;09:49;10:12;10:26;10:43
5;10:00;10:14;10:37;10:51;11:08
1;10:35;10:49;11:12;11:26;11:43
2;11:10;11:24;11:47;12:01;12:18
4;11:45;11:59;12:22;12:36;12:53
5;12:20;12:34;12:57;13:11;13:28
1;12:55;13:09;13:32;13:46;14:03
2;13:30;13:44;14:07;14:21;14:38
4;14:05;14:19;14:42;14:56;15:13
5;14:40;14:54;15:17;15:31;15:48
1;15:15;15:29;15:52;16:06;16:23
2;15:55;16:09;16:32;16:46;17:03
6;16:35;16:49;17:12;17:26;17:43
4;17:00;17:14;17:37;17:51;18:08
5;17:25;17:39;18:02;18:16;18:33
1;17:55;18:09;18:32;18:46;19:03
2;18:27;18:41;19:04;19:18;19:35
3;18:50;19:04;19:27;19:41;19:58
6;19:13;19:27;19:50;20:04;20:21
4;19:35;19:49;20:12;20:26;20:43
5;20:10;20:24;20:47;21:01;21:18
1;20:45;20:59;21:22;21:36;21:53
2;21:20;21:34;21:57;22:11;22:28
4;21:55;22:09;22:32;22:46;23:03
Контрактова площа - Вулиця Касіяна
№ випуску;Контрактова площа;ОХМАТДИТ;Севастопольська пл.;Станція метро «Васильківська»;Вулиця Касіяна
1;06:15;06:31;06:47;07:09;07:22
2;06:38;06:54;07:10;07:32;07:46
3;07:01;07:17;07:33;07:55;08:09
4;07:25;07:41;07:57;08:19;08:33
5;08:00;08:16;08:32;08:54;09:08
6;08:24;08:40;08:56;09:18;09:32
1;08:47;09:03;09:19;09:41;09:55
2;09:11;09:27;09:43;10:05;10:19
3;09:35;09:51;10:07;10:29;10:43
4;10:10;10:26;10:42;11:04;11:18
5;11:10;11:26;11:42;12:04;12:18
1;11:45;12:01;12:17;12:39;12:53
2;12:20;12:36;12:52;13:14;13:28
4;12:55;13:11;13:27;13:49;14:03
5;13:30;13:46;14:02;14:24;14:38
1;14:05;14:21;14:37;14:59;15:13
2;14:40;14:56;15:12;15:34;15:48
4;15:15;15:31;15:47;16:09;16:23
5;15:50;16:06;16:22;16:44;16:58
1;16:25;16:41;16:57;17:19;17:33
2;17:04;17:20;17:36;17:58;18:12
3;17:27;17:43;17:59;18:21;18:35
6;17:50;18:06;18:22;18:44;18:58
4;18:13;18:29;18:45;19:06;19:20
5;18:36;18:52;19:08;19:30;19:44
1;19:06;19:21;19:37;19:59;20:13
2;19:36;19:52;20:08;20:30;20:44
3;20:06;20:22;20:38;21:00;21:14
4;20:45;21:01;21:17;21:39;21:53
5;21:20;21:36;21:52;22:14;22:28
1;21:55;22:11;22:27;22:49;23:03
