Автобус №11д;Четвер 28 травня 2026. Діє з 06.04.2026.
Станція метро «Лісова» - Дачне містечко
№ випуску;Станція метро «Лісова»;Кадіївський провулок;Радіоцентр;Дачне містечко
1;07:25;07:33;07:41;07:51
1;08:25;08:33;08:41;08:51
1;09:25;09:33;09:41;09:51
1;11:05;11:13;11:21;11:31
1;12:00;12:08;12:16;12:26
1;15:30;15:38;15:46;15:56
1;18:32;18:40;18:48;18:58
Дачне містечко - Станція метро «Лісова»
№ випуску;Дачне містечко;Радіоцентр;Биківня;Станція метро «Лісова»
1;08:00;08:10;08:17;08:24
1;09:00;09:10;09:17;09:24
1;09:55;10:05;10:12;10:19
1;11:33;11:43;11:50;11:57
1;12:28;12:38;12:45;12:52
1;16:00;16:08;16:15;16:24
1;19:00;19:10;19:17;19:24
