Автобус №12;Четвер 28 травня 2026. Діє з 01.05.2026. Зміна розкладу з 01.06.2026.
Вулиця Ізюмська - Залізничний вокзал Південний
№ випуску;Вулиця Ізюмська;Вулиця Яслинська;Вулиця Олексіївська;Залізничний вокзал Південний
1;06:00;06:10;06:16;06:28
2;06:33;06:43;06:49;07:02
1;07:05;07:15;07:21;07:34
2;07:38;07:48;07:54;08:07
1;08:10;08:20;08:26;08:39
2;08:43;08:53;08:59;09:12
1;09:15;09:25;09:31;09:44
2;10:00;10:10;10:16;10:29
1;10:45;10:55;11:01;11:14
2;11:30;11:40;11:46;11:59
1;12:05;12:15;12:21;12:34
2;12:38;12:48;12:54;13:07
1;13:10;13:20;13:26;13:39
2;13:43;13:53;13:59;14:12
1;14:15;14:25;14:31;14:44
2;14:48;14:58;15:04;15:17
1;15:20;15:30;15:36;15:49
2;15:53;16:03;16:09;16:22
1;16:25;16:35;16:41;16:54
2;17:10;17:20;17:26;17:39
1;17:55;18:05;18:11;18:24
2;18:40;18:50;18:56;19:09
1;19:15;19:25;19:31;19:44
2;19:48;19:58;20:04;20:17
1;20:20;20:30;20:36;20:49
2;20:55;21:05;21:11;21:23
Залізничний вокзал Південний - Вулиця Ізюмська
№ випуску;Залізничний вокзал Південний;Вулиця Олексіївська;І-т цукр буряк;Вулиця Ізюмська
1;06:30;06:38;06:49;07:01
2;07:04;07:12;07:23;07:35
1;07:36;07:44;07:55;08:07
2;08:09;08:17;08:28;08:40
1;08:41;08:49;09:00;09:12
2;09:14;09:22;09:33;09:45
1;09:46;09:54;10:05;10:17
2;10:31;10:39;10:49;11:00
1;11:16;11:24;11:35;11:47
2;12:01;12:09;12:20;12:32
1;12:36;12:44;12:55;13:07
2;13:09;13:17;13:28;13:40
1;13:41;13:49;14:00;14:12
2;14:14;14:22;14:33;14:45
1;14:46;14:54;15:05;15:17
2;15:19;15:27;15:38;15:50
1;15:51;15:59;16:10;16:22
2;16:24;16:32;16:43;16:55
1;16:56;17:04;17:15;17:27
2;17:41;17:49;17:59;18:10
1;18:26;18:34;18:45;18:57
2;19:11;19:19;19:30;19:42
1;19:46;19:54;20:05;20:17
2;20:19;20:27;20:38;20:50
1;20:51;20:59;21:10;21:22
2;21:25;21:33;21:44;21:56
