Автобус №120;Четвер 28 травня 2026. Діє з 27.04.2026.
станція метро "Теремки" (Кібцентр) - Станція метро «Васильківська»
№ випуску;станція метро "Теремки" (Кібцентр);Вулиця Касіяна;Станція метро «Васильківська»
1;08:00;08:10;08:27
1;09:00;09:10;09:27
1;09:56;10:06;10:23
1;11:10;11:20;11:37
1;12:30;12:40;12:57
1;13:30;13:40;13:57
1;14:24;14:34;14:51
1;15:25;15:35;15:52
Станція метро «Васильківська» - станція метро "Теремки" (Кібцентр)
№ випуску;Станція метро «Васильківська»;Вулиця Касіяна;станція метро "Теремки" (Кібцентр)
1;08:30;08:44;08:54
1;09:30;09:44;09:54
1;10:25;10:39;10:49
1;11:40;11:54;12:04
1;13:00;13:14;13:24
1;13:59;14:13;14:23
1;14:53;15:07;15:17
1;15:55;16:09;16:19
