Автобус №14;Четвер 28 травня 2026. Діє з 01.05.2026.
Станція метро «Нивки» - Лісорозсадник
№ випуску;Станція метро «Нивки»;Площа Валерія Марченка;Лісорозсадник
1;06:40;06:51;07:00
2;07:10;07:21;07:30
1;07:35;07:46;07:55
2;08:00;08:11;08:20
1;08:25;08:36;08:45
2;08:55;09:06;09:15
1;09:20;09:31;09:40
2;09:50;10:01;10:10
1;10:25;10:36;10:45
1;11:20;11:31;11:40
1;12:40;12:51;13:00
1;13:35;13:46;13:55
1;14:30;14:41;14:50
1;15:25;15:36;15:45
1;16:20;16:31;16:41
2;17:15;17:26;17:36
1;17:40;17:51;18:01
2;18:05;18:16;18:26
1;18:35;18:46;18:56
2;19:00;19:11;19:21
1;19:30;19:41;19:51
2;19:55;20:06;20:16
1;20:40;20:51;21:01
1;21:35;21:46;21:56
Лісорозсадник - Станція метро «Нивки»
№ випуску;Лісорозсадник;Проспект Палладіна (Гіпермаркет);Площа Валерія Марченка;Станція метро «Нивки»
1;06:10;06:12;06:25;06:35
2;06:40;06:42;06:55;07:05
1;07:05;07:07;07:20;07:30
2;07:32;07:34;07:47;07:57
1;07:57;07:59;08:12;08:22
2;08:22;08:24;08:37;08:47
1;08:50;08:52;09:05;09:15
2;09:17;09:19;09:32;09:42
1;09:55;09:57;10:10;10:20
1;10:50;10:52;11:05;11:15
1;12:10;12:12;12:25;12:35
1;13:05;13:07;13:20;13:30
1;14:00;14:02;14:15;14:25
1;14:55;14:57;15:10;15:20
1;15:50;15:52;16:05;16:15
2;16:45;16:47;17:00;17:10
1;17:10;17:12;17:25;17:35
2;17:38;17:40;17:53;18:03
1;18:05;18:07;18:20;18:30
2;18:28;18:30;18:43;18:53
1;19:00;19:02;19:15;19:25
2;19:25;19:27;19:40;19:50
1;20:10;20:12;20:25;20:35
1;21:05;21:07;21:20;21:30
