Автобус №17;Четвер 28 травня 2026. Діє з 04.03.2026. Зміна розкладу з 01.06.2026.
Станція метро «Харківська» - Вулиця Драгоманова
№ випуску;Станція метро «Харківська»;ринок Позняки;Вулиця Драгоманова
1;06:05;06:13;06:19
2;06:23;06:31;06:37
1;06:38;06:46;06:52
2;06:53;07:01;07:07
1;07:08;07:16;07:22
2;07:23;07:31;07:37
1;07:38;07:46;07:52
2;07:53;08:01;08:07
1;08:08;08:16;08:22
2;08:23;08:31;08:37
1;08:38;08:46;08:52
2;08:53;09:01;09:07
1;09:08;09:16;09:22
2;09:23;09:31;09:37
2;09:53;10:01;10:07
1;10:15;10:23;10:29
1;10:50;10:58;11:04
1;11:20;11:28;11:34
1;11:50;11:58;12:04
1;12:45;12:53;12:59
1;13:15;13:23;13:29
1;13:45;13:53;13:59
1;14:15;14:23;14:29
1;14:45;14:53;14:59
1;15:15;15:23;15:29
1;15:45;15:53;15:59
2;16:13;16:21;16:27
1;16:28;16:36;16:42
2;16:43;16:51;16:57
1;16:58;17:06;17:12
2;17:13;17:21;17:27
1;17:28;17:36;17:42
2;17:43;17:51;17:57
1;17:58;18:06;18:12
2;18:13;18:21;18:27
1;18:28;18:36;18:42
2;18:43;18:51;18:57
1;18:58;19:06;19:12
2;19:13;19:21;19:27
2;19:43;19:51;19:57
1;20:00;20:08;20:14
1;20:30;20:38;20:44
1;21:00;21:08;21:14
1;21:30;21:38;21:44
1;22:00;22:08;22:14
1;22:30;22:38;22:44
1;23:00;23:08;23:14
Вулиця Драгоманова - Станція метро «Харківська»
№ випуску;Вулиця Драгоманова;Озеро Сонячне;Станція метро «Харківська»
1;06:20;06:26;06:33
2;06:38;06:44;06:51
1;06:53;06:59;07:06
2;07:08;07:14;07:21
1;07:23;07:29;07:36
2;07:38;07:44;07:51
1;07:53;07:59;08:06
2;08:08;08:14;08:21
1;08:23;08:29;08:36
2;08:38;08:44;08:51
1;08:53;08:59;09:06
2;09:08;09:14;09:21
1;09:23;09:29;09:36
2;09:38;09:44;09:51
2;10:08;10:14;10:21
1;10:30;10:36;10:43
1;11:05;11:11;11:18
1;11:35;11:41;11:48
1;12:05;12:11;12:18
1;13:00;13:06;13:13
1;13:30;13:36;13:43
1;14:00;14:06;14:13
1;14:30;14:36;14:43
1;15:00;15:06;15:13
1;15:30;15:36;15:43
1;16:00;16:06;16:13
2;16:28;16:34;16:41
1;16:43;16:49;16:56
2;16:58;17:04;17:11
1;17:13;17:19;17:26
2;17:28;17:34;17:41
1;17:43;17:49;17:56
2;17:58;18:04;18:11
1;18:13;18:19;18:26
2;18:28;18:34;18:41
1;18:43;18:49;18:56
2;18:58;19:04;19:11
1;19:13;19:19;19:26
2;19:28;19:34;19:41
1;20:15;20:21;20:28
1;20:45;20:51;20:58
1;21:15;21:21;21:28
1;21:45;21:51;21:58
1;22:15;22:21;22:28
1;22:45;22:51;22:58
