Автобус №18;Четвер 28 травня 2026. Діє з 04.03.2026. Зміна розкладу з 01.06.2026.
Станція метро «Харківська» - Харківське шосе
№ випуску;Станція метро «Харківська»;Вулиця Тростянецька;Харківське шосе
1;06:15;06:22;06:29
2;06:30;06:37;06:44
1;06:45;06:52;06:59
2;07:00;07:07;07:14
1;07:15;07:22;07:29
2;07:30;07:37;07:44
1;07:45;07:52;07:59
2;08:00;08:07;08:14
1;08:15;08:22;08:29
2;08:30;08:37;08:44
1;08:45;08:52;08:59
2;09:00;09:07;09:14
1;09:15;09:22;09:29
2;09:30;09:37;09:44
1;09:45;09:52;09:59
2;10:00;10:07;10:14
1;10:35;10:42;10:49
1;11:05;11:12;11:19
1;11:35;11:42;11:49
1;12:30;12:37;12:44
1;13:00;13:07;13:14
1;13:30;13:37;13:44
1;14:00;14:07;14:14
1;14:30;14:37;14:44
1;15:00;15:07;15:14
1;15:30;15:37;15:44
1;16:00;16:07;16:14
2;16:35;16:42;16:49
1;16:50;16:57;17:04
2;17:05;17:12;17:19
1;17:20;17:27;17:34
2;17:35;17:42;17:49
1;17:50;17:57;18:04
2;18:05;18:12;18:19
1;18:20;18:27;18:34
2;18:35;18:42;18:49
1;18:50;18:57;19:04
2;19:05;19:12;19:19
1;19:20;19:27;19:34
2;19:35;19:42;19:49
1;20:15;20:22;20:29
1;20:45;20:52;20:59
1;21:15;21:22;21:29
1;21:45;21:52;21:59
1;22:15;22:22;22:29
1;22:45;22:52;22:59
Харківське шосе - Станція метро «Харківська»
№ випуску;Харківське шосе;Озеро Сонячне;Станція метро «Харківська»
1;06:00;06:05;06:12
2;06:15;06:20;06:27
1;06:30;06:35;06:42
2;06:45;06:50;06:57
1;07:00;07:05;07:12
2;07:15;07:20;07:27
1;07:30;07:35;07:42
2;07:45;07:50;07:57
1;08:00;08:05;08:12
2;08:15;08:20;08:27
1;08:30;08:35;08:42
2;08:45;08:50;08:57
1;09:00;09:05;09:12
2;09:15;09:20;09:27
1;09:30;09:35;09:42
2;09:45;09:50;09:57
1;10:20;10:25;10:32
1;10:50;10:55;11:02
1;11:20;11:25;11:32
1;12:15;12:20;12:27
1;12:45;12:50;12:57
1;13:15;13:20;13:27
1;13:45;13:50;13:57
1;14:15;14:20;14:27
1;14:45;14:50;14:57
1;15:15;15:20;15:27
1;15:45;15:50;15:57
2;16:20;16:25;16:32
1;16:35;16:40;16:47
2;16:50;16:55;17:02
1;17:05;17:10;17:17
2;17:20;17:25;17:32
1;17:35;17:40;17:47
2;17:50;17:55;18:02
1;18:05;18:10;18:17
2;18:20;18:25;18:32
1;18:35;18:40;18:47
2;18:50;18:55;19:02
1;19:05;19:10;19:17
2;19:20;19:25;19:32
1;20:00;20:05;20:12
1;20:30;20:35;20:42
1;21:00;21:05;21:12
1;21:30;21:35;21:42
1;22:00;22:05;22:12
1;22:30;22:35;22:42
1;23:00;23:05;23:12
