Автобус №2;Четвер 28 травня 2026. Діє з 01.05.2026.
Вулиця Вахтанга Кікабідзе - Вулиця Шолуденка
№ випуску;Вулиця Вахтанга Кікабідзе;Залізнична станція «Київ-Волинський»;Медмістечко;Станція метро «Шулявська»;Вулиця Шолуденка
1;06:15;06:20;06:32;06:51;06:56
2;06:52;06:57;07:09;07:28;07:33
3;07:30;07:35;07:47;08:06;08:11
1;08:00;08:05;08:17;08:36;08:41
2;08:30;08:35;08:47;09:06;09:11
3;09:15;09:20;09:32;09:51;09:56
1;10:00;10:05;10:17;10:36;10:41
2;10:45;10:50;11:02;11:21;11:26
1;11:30;11:35;11:47;12:06;12:11
2;12:15;12:20;12:32;12:51;12:56
1;13:05;13:10;13:22;13:41;13:46
2;13:55;14:00;14:12;14:31;14:36
1;14:40;14:45;14:57;15:16;15:21
2;15:25;15:30;15:42;16:01;16:06
3;15:55;16:00;16:12;16:31;16:36
1;16:25;16:30;16:42;17:01;17:06
2;16:55;17:00;17:12;17:31;17:36
3;17:25;17:30;17:42;18:01;18:06
1;18:20;18:25;18:37;18:56;19:01
2;19:07;19:12;19:24;19:42;19:47
1;19:50;19:55;20:07;20:26;20:32
2;20:35;20:40;20:52;21:11;21:17
Вулиця Шолуденка - Вулиця Вахтанга Кікабідзе
№ випуску;Вулиця Шолуденка;Поліклініка;Вулиця Новопольова;Залізнична станція «Київ-Волинський»;Вулиця Вахтанга Кікабідзе
1;07:00;07:24;07:35;07:36;07:45
2;07:42;08:06;08:17;08:19;08:28
3;08:12;08:36;08:47;08:49;08:58
1;08:42;09:06;09:17;09:19;09:28
2;09:12;09:36;09:47;09:49;09:58
3;09:57;10:21;10:32;10:34;10:43
1;10:42;11:06;11:17;11:19;11:28
2;11:27;11:51;12:02;12:04;12:13
1;12:12;12:36;12:47;12:49;12:58
2;12:57;13:21;13:32;13:34;13:43
1;13:47;14:11;14:22;14:24;14:33
2;14:37;15:01;15:12;15:14;15:23
1;15:22;15:46;15:57;15:59;16:08
2;16:07;16:31;16:42;16:44;16:53
3;16:37;17:01;17:12;17:14;17:23
1;17:07;17:30;17:41;17:43;17:52
2;17:37;18:00;18:11;18:13;18:22
3;18:07;18:31;18:42;18:44;18:53
1;19:02;19:26;19:37;19:39;19:48
2;19:48;20:11;20:22;20:24;20:33
1;20:35;20:59;21:10;21:12;21:21
2;21:20;21:44;21:55;21:57;22:06
