Автобус №21;Четвер 28 травня 2026. Діє з 30.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Почайна» - Вулиця Милославська
№ випуску;Станція метро «Почайна»;проспект Володимира Івасюка;масив Райдужний;Вулиця Данькевича;Вулиця Милославська;Вулиця Милославська
1;06:05;06:11;06:19;06:34;06:38;06:41
3;06:21;06:28;06:36;06:51;06:55;07:03
5;06:37;06:44;06:52;07:07;07:11;07:26
6;06:53;07:00;07:08;07:23;07:27;07:37
7;07:08;07:15;07:23;07:38;07:42;07:49
1;07:23;07:30;07:38;07:53;07:57;08:01
2;07:35;07:42;07:50;08:05;08:09;08:13
3;07:46;07:53;08:01;08:16;08:20;08:24
4;07:57;08:04;08:12;08:27;08:31;08:35
5;08:09;08:16;08:24;08:39;08:43;08:47
6;08:20;08:27;08:35;08:50;08:54;08:58
7;08:32;08:39;08:47;09:02;09:06;09:12
1;08:43;08:50;08:58;09:13;09:17;10:18
2;08:55;09:02;09:10;09:25;09:29;09:33
3;09:06;09:13;09:21;09:36;09:40;10:38
4;09:17;09:24;09:32;09:47;09:51;09:55
5;09:29;09:36;09:44;09:59;10:03;10:57
6;09:40;09:47;09:55;10:10;10:14;—
7;09:55;10:02;10:10;10:25;10:29;11:18
2;10:16;10:23;10:31;10:46;10:50;—
4;10:37;10:44;10:52;11:07;11:11;—
1;11:00;11:07;11:15;11:30;11:34;11:38
3;11:20;11:27;11:35;11:50;11:54;11:58
5;11:40;11:47;11:55;12:10;12:14;12:18
7;12:00;12:07;12:15;12:30;12:34;12:38
1;12:20;12:27;12:35;12:50;12:54;12:58
3;12:40;12:47;12:55;13:10;13:14;13:18
5;13:00;13:07;13:15;13:30;13:34;13:38
7;13:20;13:27;13:35;13:50;13:54;13:58
1;13:40;13:47;13:55;14:10;14:14;14:18
3;14:00;14:07;14:15;14:30;14:34;14:38
5;14:20;14:27;14:35;14:50;14:54;14:58
7;14:40;14:47;14:55;15:10;15:14;15:18
1;15:00;15:07;15:15;15:30;15:34;15:38
3;15:20;15:27;15:35;15:50;15:54;15:58
5;15:40;15:47;15:55;16:10;16:14;16:18
7;16:00;16:07;16:19;16:34;16:38;16:48
1;16:20;16:27;16:39;16:54;16:58;17:02
3;16:40;16:47;16:59;17:14;17:18;17:22
4;16:53;17:00;17:12;17:27;17:31;17:35
5;17:05;17:12;17:24;17:39;17:43;17:47
6;17:18;17:25;17:37;17:52;17:56;18:00
7;17:31;17:38;17:50;18:05;18:09;18:16
1;17:40;17:47;17:59;18:14;18:18;18:46
2;17:52;17:59;18:11;18:26;18:30;18:34
3;18:03;18:10;18:22;18:37;18:41;19:10
4;18:14;18:21;18:33;18:48;18:52;18:58
5;18:26;18:33;18:45;19:00;19:04;19:38
6;18:38;18:45;18:57;19:12;19:16;19:21
7;18:55;19:02;19:14;19:29;19:33;20:06
2;19:12;19:19;19:31;19:46;19:50;19:53
1;19:24;19:31;19:43;19:58;20:02;20:29
4;19:36;19:43;19:55;20:10;20:14;—
3;19:48;19:55;20:07;20:22;20:26;20:51
6;20:00;20:07;20:19;20:34;20:38;—
5;20:16;20:23;20:35;20:50;20:54;21:13
2;20:31;20:38;20:50;21:05;21:09;—
7;20:42;20:49;21:00;21:14;21:18;21:36
1;21:07;21:14;21:26;21:41;21:45;21:49
3;21:29;21:36;21:47;22:02;22:06;22:09
5;21:51;21:58;22:08;22:22;22:26;22:29
7;22:12;22:19;22:31;22:46;22:50;—
1;22:30;22:37;22:49;23:04;23:08;—
3;22:48;22:55;23:07;23:22;23:26;—
5;23:05;23:12;23:24;23:39;23:43;—
Вулиця Милославська - Станція метро «Почайна»
№ випуску;Вулиця Милославська;Вулиця Данькевича;масив Райдужний;проспект Володимира Івасюка;Станція метро «Почайна»;Станція метро «Почайна»
1;05:30;05:34;05:47;05:54;06:02;06:03
3;05:45;05:49;06:02;06:12;06:19;06:20
5;06:00;06:04;06:16;06:27;06:35;06:36
6;06:15;06:19;06:31;06:42;06:50;06:51
7;06:29;06:33;06:46;06:57;07:05;07:06
1;06:43;06:47;07:00;07:12;07:20;07:21
2;06:55;06:59;07:12;07:24;07:32;07:33
3;07:06;07:10;07:23;07:35;07:43;07:44
4;07:17;07:21;07:34;07:46;07:54;07:55
5;07:29;07:33;07:46;07:58;08:06;08:07
6;07:40;07:44;07:57;08:09;08:17;08:18
7;07:52;07:56;08:09;08:21;08:29;08:30
1;08:03;08:07;08:20;08:32;08:40;08:41
2;08:15;08:19;08:32;08:44;08:52;08:53
3;08:26;08:30;08:43;08:55;09:03;09:04
4;08:37;08:41;08:54;09:06;09:14;09:15
5;08:49;08:53;09:06;09:18;09:26;09:27
6;09:00;09:04;09:17;09:29;09:37;09:38
7;09:15;09:19;09:32;09:44;09:52;09:53
2;09:36;09:40;09:53;10:05;10:13;10:14
4;09:57;10:01;10:14;10:26;10:34;10:35
1;10:20;10:24;10:37;10:49;10:57;10:58
3;10:40;10:44;10:57;11:09;11:17;11:18
5;11:00;11:04;11:17;11:29;11:37;11:38
7;11:20;11:24;11:37;11:49;11:57;11:58
1;11:40;11:44;11:57;12:09;12:17;12:18
3;12:00;12:04;12:17;12:29;12:37;12:38
5;12:20;12:24;12:37;12:49;12:57;12:58
7;12:40;12:44;12:57;13:09;13:17;13:18
