Автобус №22;Четвер 28 травня 2026. Діє з 25.05.2026. Зміна розкладу з 01.06.2026.
Вулиця Тростянецька - Музей Авіаціі
№ випуску;Вулиця Тростянецька;Станція метро «Славутич»;Проспект Лобановського;проспект Повітряних Сил;Музей Авіаціі
6;06:00;06:18;06:30;06:50;06:58
7;06:15;06:33;06:45;07:05;07:13
8;06:30;06:48;07:00;07:20;07:28
9;06:45;07:03;07:15;07:35;07:43
1;07:00;07:18;07:30;07:50;07:58
2;07:14;07:32;07:44;08:04;08:12
3;07:27;07:45;07:57;08:17;08:25
4;07:40;07:58;08:10;08:30;08:38
5;07:54;08:12;08:24;08:44;08:52
6;08:07;08:25;08:37;08:57;09:05
7;08:20;08:38;08:50;09:10;09:18
8;08:34;08:52;09:04;09:24;09:32
9;08:47;09:05;09:17;09:37;09:45
1;09:00;09:18;09:30;09:50;09:58
2;09:20;09:38;09:50;10:10;10:18
4;09:40;09:58;10:10;10:30;10:38
3;09:55;10:13;10:25;10:45;10:53
5;10:15;10:33;10:45;11:05;11:13
6;10:35;10:53;11:05;11:25;11:33
7;10:55;11:13;11:25;11:45;11:53
8;11:15;11:33;11:45;12:04;12:12
9;11:35;11:53;12:05;12:25;12:34
1;11:55;12:13;12:25;12:45;12:53
3;12:15;12:33;12:45;13:05;13:13
5;12:35;12:53;13:05;13:25;13:33
6;12:52;13:10;13:22;13:42;13:50
7;13:10;13:28;13:40;14:00;14:08
8;13:27;13:45;13:57;14:17;14:25
9;13:44;14:02;14:14;14:34;14:42
1;14:01;14:19;14:31;14:51;14:59
3;14:18;14:36;14:48;15:08;15:16
5;14:35;14:53;15:05;15:25;15:33
6;14:52;15:10;15:22;15:42;15:50
7;15:10;15:28;15:40;16:00;16:08
8;15:27;15:45;15:57;16:17;16:25
9;15:44;16:02;16:14;16:34;16:42
1;16:01;16:19;16:31;16:51;16:59
3;16:18;16:36;16:48;17:08;17:16
4;16:30;16:48;17:00;17:20;17:28
5;16:40;16:58;17:10;17:30;17:38
6;16:54;17:12;17:24;17:44;17:52
