Автобус №23;Четвер 28 травня 2026. Діє з 26.02.2026.
Вулиця Симиренка - Вулиця Салютна
№ випуску;Вулиця Симиренка;Бульвар Миколи Руденка;Проспект Берестейський;Вулиця Салютна
1;06:00;06:07;06:23;06:39
2;06:30;06:37;06:53;07:09
3;07:00;07:07;07:23;07:39
1;07:30;07:37;07:53;08:09
2;08:00;08:07;08:23;08:39
3;08:30;08:37;08:53;09:09
1;09:10;09:17;09:33;09:49
2;09:45;09:52;10:08;10:24
3;10:20;10:27;10:43;10:59
1;11:12;11:19;11:35;11:51
3;12:05;12:12;12:28;12:44
1;12:50;12:57;13:14;13:30
3;13:35;13:42;13:59;14:15
1;14:20;14:27;14:44;15:00
3;15:05;15:12;15:28;15:44
1;15:50;15:57;16:13;16:29
2;16:25;16:32;16:48;17:04
3;17:00;17:07;17:23;17:39
1;17:35;17:42;17:58;18:14
2;18:05;18:12;18:28;18:44
3;18:35;18:42;18:58;19:14
1;19:30;19:37;19:54;20:10
3;20:15;20:22;20:38;20:54
1;21:00;21:07;21:24;21:40
3;21:45;21:51;22:08;22:24
1;22:30;22:37;22:54;23:10
Вулиця Салютна - Вулиця Симиренка
№ випуску;Вулиця Салютна;Проспект Берестейський;Вулиця Івана Дзюби;Вулиця Симиренка
3;06:10;06:27;06:48;06:56
1;06:40;06:57;07:18;07:26
2;07:10;07:27;07:48;07:56
3;07:40;07:57;08:18;08:26
1;08:10;08:26;08:47;08:55
2;08:40;08:56;09:17;09:25
3;09:10;09:27;09:47;09:55
1;09:50;10:07;10:28;10:36
2;10:25;10:42;11:03;11:11
3;11:00;11:17;11:37;11:45
1;11:52;12:09;12:30;12:38
3;12:45;13:02;13:23;13:31
1;13:31;13:48;14:09;14:17
3;14:16;14:33;14:54;15:02
1;15:01;15:18;15:39;15:47
3;15:45;16:02;16:22;16:30
1;16:30;16:47;17:08;17:16
2;17:05;17:22;17:43;17:51
3;17:40;17:57;18:18;18:26
1;18:15;18:32;18:53;19:01
2;18:45;19:02;19:23;19:31
3;19:15;19:32;19:52;20:00
1;20:11;20:28;20:49;20:57
3;20:55;21:12;21:33;21:41
1;21:41;21:58;22:19;22:27
3;22:25;22:42;23:03;23:11
