Автобус №24;Четвер 28 травня 2026. Діє з 27.04.2026.
Музей історії України у Другій світовій війні - Залізничний вокзал
№ випуску;Музей історії України у Другій світовій війні;Станція метро «Арсенальна»;Бессарабська площа;Залізничний вокзал
1;07:00;07:07;07:21;07:33
2;07:35;07:43;07:58;08:11
1;08:15;08:22;08:36;08:48
2;08:55;09:02;09:16;09:27
1;09:40;09:47;10:01;10:13
2;10:13;10:20;10:36;10:48
1;11:20;11:27;11:41;11:53
1;12:30;12:37;12:51;13:02
1;13:40;13:47;14:01;14:12
1;14:50;14:57;15:11;15:22
2;15:50;15:57;16:11;16:23
1;16:27;16:34;16:48;17:00
2;17:05;17:12;17:26;17:38
1;17:42;17:49;18:03;18:15
2;18:20;18:27;18:41;18:53
1;19:28;19:35;19:51;20:03
1;20:45;20:52;21:06;21:18
Залізничний вокзал - Музей історії України у Другій світовій війні
№ випуску;Залізничний вокзал;Бессарабська площа;Станція метро «Кловська»;Станція метро «Арсенальна»;Музей історії України у Другій світовій війні
1;07:37;07:49;07:54;08:02;08:09
2;08:15;08:27;08:32;08:40;08:47
1;08:52;09:04;09:09;09:17;09:24
2;09:29;09:41;09:46;09:54;10:01
1;10:15;10:27;10:32;10:40;10:47
2;10:50;11:02;11:07;11:15;11:22
1;11:55;12:07;12:12;12:20;12:27
1;13:04;13:16;13:21;13:29;13:37
1;14:14;14:26;14:31;14:39;14:47
1;15:24;15:36;15:41;15:49;15:57
2;16:27;16:39;16:44;16:52;16:59
1;17:04;17:16;17:21;17:29;17:36
2;17:42;17:54;17:59;18:07;18:14
1;18:19;18:31;18:36;18:44;18:51
2;18:57;19:09;19:14;19:22;19:29
1;20:05;20:17;20:22;20:30;20:37
1;21:20;21:32;21:37;21:45;21:52
