Автобус №25;Четвер 28 травня 2026. Діє з 19.05.2026. Зміна розкладу з 01.06.2026.
Музей історії України у Другій світовій війні - Залізнична станція «Київ-Волинський»
№ випуску;Музей історії України у Другій світовій війні;Вулиця Лабораторна;проспект Повітряних Сил;Вулиця Борщагівська;Залізнична станція «Київ-Волинський»
5;06:00;06:19;06:38;06:50;07:07
6;06:17;06:36;06:55;07:07;07:24
7;06:33;06:52;07:11;07:23;07:41
8;06:49;07:08;07:27;07:39;07:57
1;07:05;07:24;07:43;07:55;08:13
2;07:22;07:41;08:00;08:12;08:33
3;07:39;07:58;08:17;08:30;08:51
4;07:56;08:15;08:37;08:50;09:11
5;08:13;08:35;08:57;09:10;09:31
6;08:32;08:54;09:16;09:29;09:50
7;08:50;09:12;09:34;09:47;10:08
8;09:08;09:30;09:52;10:05;10:26
1;09:30;09:52;10:14;10:27;10:48
2;10:03;10:25;10:47;11:00;11:21
4;10:46;11:08;11:30;11:43;12:04
6;11:30;11:52;12:14;12:27;12:48
8;12:13;12:35;12:57;13:10;13:31
2;12:56;13:18;13:40;13:53;14:14
4;13:36;13:58;14:20;14:33;14:54
6;14:16;14:38;15:00;15:13;15:34
8;14:56;15:18;15:40;15:53;16:14
1;15:15;15:37;15:59;16:12;16:33
2;15:34;15:56;16:18;16:31;16:52
3;15:52;16:14;16:36;16:49;17:10
4;16:11;16:33;16:55;17:08;17:29
5;16:30;16:52;17:14;17:27;17:48
6;16:49;17:11;17:33;17:46;18:07
7;17:07;17:29;17:51;18:04;18:25
8;17:26;17:48;18:10;18:23;18:44
1;17:54;18:16;18:38;18:51;19:12
3;18:22;18:44;19:06;19:19;19:40
2;18:41;19:03;19:25;19:38;19:59
5;19:01;19:23;19:45;19:58;20:19
4;19:21;19:43;20:05;20:18;20:39
7;19:41;20:03;20:25;20:38;20:59
6;20:02;20:24;20:46;20:59;21:20
8;20:43;21:05;21:24;21:36;21:54
2;21:20;21:39;21:58;22:10;22:28
4;22:00;22:19;22:38;22:50;23:08
Залізнична станція «Київ-Волинський» - Музей історії України у Другій світовій війні
№ випуску;Залізнична станція «Київ-Волинський»;Вулиця Борщагівська;проспект Повітряних Сил;Вулиця Лабораторна;Музей історії України у Другій світовій війні
1;06:00;06:17;06:29;06:45;07:03
2;06:17;06:34;06:46;07:02;07:20
3;06:34;06:51;07:03;07:19;07:37
4;06:51;07:08;07:20;07:36;07:54
5;07:08;07:25;07:37;07:53;08:11
6;07:25;07:42;07:54;08:10;08:30
7;07:42;07:59;08:11;08:29;08:48
8;07:59;08:16;08:28;08:46;09:06
1;08:20;08:38;08:50;09:08;09:28
2;08:53;09:11;09:23;09:41;10:01
3;09:03;09:21;09:33;09:51;10:11
4;09:36;09:54;10:06;10:24;10:44
6;10:20;10:38;10:50;11:08;11:28
8;11:03;11:21;11:33;11:51;12:11
2;11:46;12:04;12:16;12:34;12:54
4;12:26;12:44;12:56;13:14;13:34
6;13:06;13:24;13:36;13:54;14:14
8;13:46;14:04;14:16;14:34;14:54
2;14:24;14:42;14:54;15:12;15:32
4;15:01;15:19;15:31;15:49;16:09
6;15:39;15:57;16:09;16:27;16:47
8;16:16;16:34;16:46;17:04;17:24
1;16:44;17:02;17:14;17:32;17:52
3;17:12;17:30;17:42;18:00;18:20
2;17:31;17:49;18:01;18:19;18:39
5;17:51;18:09;18:21;18:39;18:59
4;18:11;18:29;18:41;18:59;19:19
7;18:31;18:49;19:01;19:19;19:39
6;18:52;19:10;19:22;19:40;20:00
8;19:33;19:51;20:03;20:21;20:41
2;20:14;20:32;20:44;21:02;21:19
4;20:54;21:12;21:24;21:40;21:58
6;21:27;21:44;21:56;22:12;22:30
8;21:58;22:15;22:27;22:43;23:01
2;22:30;22:46;22:58;23:13;23:31
