Автобус №27;Четвер 28 травня 2026. Діє з 01.05.2026.
Станція метро «Либідська» - селище Пирогів
№ випуску;Станція метро «Либідська»;Проспект Науки;Вулиця Моторна;селище Пирогів
1;06:15;06:19;06:29;06:39
2;06:47;06:51;07:01;07:11
1;07:15;07:19;07:29;07:39
2;07:46;07:50;08:00;08:10
1;08:15;08:19;08:29;08:39
2;08:46;08:50;09:00;09:10
1;09:25;09:29;09:39;09:49
2;10:10;10:14;10:24;10:34
1;10:55;10:59;11:09;11:19
2;11:30;11:34;11:44;11:54
1;12:00;12:04;12:14;12:24
2;12:30;12:34;12:44;12:54
1;13:00;13:04;13:14;13:24
2;13:30;13:34;13:44;13:54
1;14:00;14:04;14:14;14:24
2;14:30;14:34;14:44;14:54
1;15:00;15:04;15:14;15:24
2;15:30;15:34;15:44;15:54
1;16:00;16:04;16:14;16:24
2;16:30;16:34;16:44;16:54
1;17:00;17:04;17:14;17:24
2;17:41;17:45;17:55;18:05
1;18:30;18:34;18:44;18:54
2;19:07;19:11;19:21;19:32
1;19:50;19:54;20:04;20:14
2;20:15;20:19;20:29;20:39
1;20:50;20:54;21:04;21:14
2;21:20;21:24;21:34;21:44
1;21:50;21:54;22:04;22:14
2;22:20;22:24;22:34;22:44
селище Пирогів - Станція метро «Либідська»
№ випуску;селище Пирогів;Вулиця Моторна;Стратегичне шосе, Центр комунікації;Станція метро «Либідська»
1;06:45;06:58;07:06;07:11
2;07:17;07:30;07:38;07:43
1;07:45;07:58;08:06;08:11
2;08:16;08:29;08:37;08:42
1;08:45;08:58;09:06;09:10
2;09:16;09:29;09:37;09:42
1;09:55;10:08;10:16;10:21
2;10:40;10:53;11:01;11:06
1;11:25;11:39;11:47;11:52
2;12:00;12:13;12:21;12:26
1;12:30;12:43;12:51;12:56
2;13:00;13:13;13:21;13:26
1;13:30;13:43;13:51;13:56
2;14:00;14:13;14:21;14:26
1;14:30;14:43;14:51;14:56
2;15:00;15:13;15:21;15:26
1;15:30;15:43;15:51;15:56
2;16:00;16:13;16:21;16:26
1;16:32;16:45;16:53;16:58
2;17:00;17:13;17:21;17:26
1;17:33;17:46;17:54;17:59
2;18:10;18:23;18:31;18:36
1;18:59;19:12;19:20;19:25
2;19:39;19:52;20:00;20:05
1;20:20;20:33;20:41;20:46
2;20:50;21:03;21:11;21:16
1;21:20;21:33;21:41;21:46
2;21:50;22:03;22:11;22:16
1;22:20;22:33;22:41;22:46
2;22:50;23:03;23:11;23:16
