Автобус №28;Четвер 28 травня 2026. Діє з 01.01.2026.
Вулиця Альпійська - Станція метро «Деміївська»
№ випуску;Вулиця Альпійська;Станція метро «Деміївська»
1;06:30;06:44
1;07:00;07:14
1;07:30;07:44
1;08:00;08:14
1;08:30;08:44
1;09:00;09:14
1;09:30;09:44
1;10:15;10:29
1;10:45;10:59
1;11:15;11:29
1;12:05;12:19
1;12:35;12:49
1;13:05;13:19
1;13:35;13:49
1;14:05;14:19
1;14:35;14:49
1;15:05;15:19
1;15:35;15:49
1;16:05;16:19
1;16:55;17:09
1;17:25;17:39
1;17:55;18:09
1;18:25;18:39
1;18:55;19:09
1;19:25;19:39
1;20:10;20:24
1;20:40;20:54
1;21:10;21:24
Станція метро «Деміївська» - Вулиця Альпійська
№ випуску;Станція метро «Деміївська»;Вулиця Альпійська
1;06:50;06:59
1;07:20;07:29
1;07:50;07:59
1;08:20;08:29
1;08:50;08:59
1;09:20;09:29
1;10:05;10:14
1;10:35;10:44
1;11:05;11:14
1;11:55;12:04
1;12:25;12:34
1;12:55;13:04
1;13:25;13:34
1;13:55;14:04
1;14:25;14:34
1;14:55;15:04
1;15:25;15:34
1;15:55;16:04
1;16:45;16:54
1;17:15;17:24
1;17:45;17:54
1;18:15;18:24
1;18:45;18:54
1;19:15;19:24
1;20:00;20:09
1;20:30;20:39
1;21:00;21:09
