Автобус №30;Четвер 28 травня 2026. Діє з 01.04.2026.
Вулиця Єфремова (Дитяча поліклініка) - Центр реабілітації ветеранів "Лісова поляна"
№ випуску;Вулиця Єфремова (Дитяча поліклініка);Лісорозсадник;7 лінія;Радіологічний центр;Центр реабілітації ветеранів "Лісова поляна"
4;06:20;06:33;06:45;06:46;06:48
1;06:40;06:53;07:05;07:06;07:08
2;07:00;07:13;07:25;07:26;07:28
3;07:20;07:33;07:45;07:46;07:48
4;07:40;07:53;08:05;08:06;08:08
1;08:00;08:13;08:25;08:26;08:28
2;08:20;08:33;08:45;08:46;08:48
3;08:40;08:53;09:05;09:06;09:08
4;09:00;09:13;09:25;09:26;09:28
1;09:30;09:43;09:55;09:56;09:58
3;10:00;10:13;10:25;10:26;10:28
2;10:25;10:38;10:50;10:51;10:53
4;11:05;11:18;11:30;11:31;11:33
2;11:45;11:58;12:10;12:11;12:13
4;12:25;12:38;12:50;12:51;12:53
2;13:05;13:18;13:30;13:31;13:33
4;13:45;13:58;14:10;14:11;14:13
2;14:25;14:38;14:50;14:51;14:53
4;15:05;15:18;15:30;15:31;15:33
2;15:45;15:58;16:10;16:11;16:13
3;16:05;16:18;16:30;16:31;16:33
4;16:25;16:38;16:50;16:51;16:53
1;16:45;16:58;17:10;17:11;17:13
2;17:05;17:18;17:30;17:31;17:33
3;17:25;17:38;17:50;17:51;17:53
4;17:45;17:58;18:10;18:11;18:13
1;18:15;18:28;18:40;18:41;18:43
3;18:45;18:58;19:10;19:11;19:13
2;19:10;19:23;19:35;19:36;19:38
4;19:50;20:03;20:15;20:16;20:18
2;20:30;20:43;20:55;20:56;20:58
4;21:10;21:23;21:35;21:36;21:38
2;21:50;22:03;22:15;22:16;22:18
Центр реабілітації ветеранів "Лісова поляна" - Вулиця Єфремова (Дитяча поліклініка)
№ випуску;Центр реабілітації ветеранів "Лісова поляна";Радіологічний центр;Вулиця Селянська;Вулиця Квітки Цісик;Лісорозсадник;Вулиця Єфремова (Дитяча поліклініка)
2;06:10;06:12;06:20;06:28;06:40;06:57
4;06:50;06:52;07:00;07:08;07:20;07:37
1;07:10;07:12;07:20;07:28;07:40;07:57
2;07:30;07:32;07:40;07:48;08:00;08:17
3;07:50;07:52;08:00;08:08;08:20;08:37
4;08:10;08:12;08:20;08:28;08:40;08:57
1;08:30;08:32;08:40;08:48;09:00;09:17
2;08:50;08:52;09:00;09:08;09:20;09:37
3;09:10;09:12;09:20;09:28;09:40;09:57
4;09:30;09:32;09:40;09:48;10:00;10:17
1;10:00;10:02;10:10;10:18;10:30;10:47
3;10:30;10:32;10:40;10:48;11:00;11:17
2;10:55;10:57;11:05;11:13;11:25;11:42
4;11:35;11:37;11:45;11:53;12:05;12:22
2;12:15;12:17;12:25;12:33;12:45;13:02
4;12:55;12:57;13:05;13:13;13:25;13:42
2;13:35;13:37;13:45;13:53;14:05;14:22
4;14:15;14:17;14:25;14:33;14:45;15:02
2;14:55;14:57;15:05;15:13;15:25;15:42
4;15:35;15:37;15:45;15:53;16:05;16:22
1;15:55;15:57;16:05;16:13;16:25;16:42
2;16:15;16:17;16:25;16:33;16:45;17:02
3;16:35;16:37;16:45;16:53;17:05;17:22
4;16:55;16:57;17:05;17:13;17:25;17:42
1;17:15;17:17;17:25;17:33;17:45;18:02
2;17:35;17:37;17:45;17:53;18:05;18:22
3;17:55;17:57;18:05;18:13;18:25;18:42
4;18:15;18:17;18:25;18:33;18:45;19:02
1;18:45;18:47;18:55;19:03;19:15;19:32
3;19:15;19:17;19:25;19:33;19:45;20:02
2;19:40;19:42;19:50;19:58;20:10;20:27
4;20:20;20:22;20:30;20:38;20:50;21:07
2;21:00;21:02;21:10;21:18;21:30;21:47
4;21:40;21:42;21:50;21:58;22:10;22:26
2;22:20;22:22;22:30;22:38;22:50;23:07
