Автобус №31;Четвер 28 травня 2026. Діє з 01.05.2026.
Вулиця Татарська - Станція метро «Політехнічний інститут»
№ випуску;Вулиця Татарська;Станція метро «Лук’янівська»;Станція метро «Політехнічний інститут»
1;06:00;06:16;06:28
2;06:30;06:46;06:58
1;07:00;07:16;07:28
2;07:30;07:46;07:58
1;08:00;08:16;08:28
2;08:30;08:46;08:58
1;09:10;09:26;09:38
2;09:55;10:11;10:23
1;10:35;10:51;11:03
2;11:05;11:21;11:33
1;11:35;11:51;12:03
2;12:05;12:21;12:33
1;12:35;12:51;13:03
2;13:05;13:21;13:33
1;13:35;13:51;14:03
2;14:05;14:21;14:33
1;14:35;14:51;15:03
2;15:05;15:21;15:33
1;15:35;15:51;16:03
2;16:05;16:21;16:33
1;16:35;16:51;17:03
2;17:05;17:21;17:33
1;17:35;17:51;18:03
2;18:05;18:21;18:33
1;18:45;19:01;19:13
2;19:30;19:46;19:58
1;20:10;20:26;20:38
2;20:40;20:56;21:08
1;21:10;21:26;21:38
2;21:40;21:56;22:08
1;22:15;22:31;22:43
Станція метро «Політехнічний інститут» - Вулиця Татарська
№ випуску;Станція метро «Політехнічний інститут»;Станція метро «Лук’янівська»;Вулиця Татарська
1;06:30;06:39;06:55
2;07:00;07:09;07:25
1;07:30;07:39;07:55
2;08:00;08:09;08:25
1;08:30;08:39;08:55
2;09:00;09:09;09:25
1;09:40;09:49;10:05
2;10:25;10:34;10:50
1;11:05;11:14;11:30
2;11:35;11:44;12:00
1;12:05;12:14;12:30
2;12:35;12:44;13:00
1;13:05;13:14;13:30
2;13:35;13:44;14:00
1;14:05;14:14;14:30
2;14:35;14:44;15:00
1;15:05;15:14;15:30
2;15:35;15:44;16:00
1;16:05;16:14;16:30
2;16:35;16:44;17:00
1;17:05;17:14;17:30
2;17:35;17:44;18:00
1;18:05;18:14;18:30
2;18:35;18:44;19:00
1;19:15;19:24;19:40
2;20:00;20:09;20:25
1;20:40;20:49;21:05
2;21:10;21:19;21:35
1;21:40;21:49;22:05
2;22:10;22:19;22:35
1;22:45;22:54;23:10
