Автобус №33;Четвер 28 травня 2026. Діє з 06.04.2026.
Станція метро «Лісова» - масив Лісовий
№ випуску;Станція метро «Лісова»;Вулиця Мілютенка;масив Лісовий
1;06:45;06:59;07:10
3;07:10;07:24;07:35
1;07:35;07:49;08:00
3;08:00;08:14;08:25
1;08:25;08:39;08:50
3;08:50;09:04;09:15
1;09:15;09:29;09:40
3;09:55;10:09;10:20
1;10:50;11:04;11:15
1;11:40;11:54;12:05
1;12:30;12:44;12:55
2;12:55;13:09;13:20
1;13:20;13:34;13:45
2;13:45;13:59;14:10
1;14:10;14:24;14:35
2;14:35;14:49;15:00
1;15:00;15:14;15:25
1;15:50;16:04;16:15
3;16:05;16:19;16:30
2;16:30;16:44;16:55
3;16:55;17:09;17:20
1;17:12;17:26;17:37
2;17:29;17:43;17:54
3;17:45;17:59;18:10
1;18:10;18:24;18:35
3;18:35;18:49;19:00
1;19:25;19:39;19:50
1;20:15;20:29;20:40
1;21:05;21:19;21:30
1;21:55;22:09;22:20
1;22:45;22:59;23:09
масив Лісовий - Станція метро «Лісова»
№ випуску;масив Лісовий;Проспект Лісовий;Станція метро «Лісова»
1;06:20;06:26;06:42
3;06:45;06:51;07:07
1;07:11;07:17;07:33
3;07:36;07:42;07:58
1;08:01;08:07;08:23
3;08:26;08:32;08:48
1;08:51;08:57;09:13
3;09:16;09:22;09:38
1;09:41;09:47;10:03
3;10:21;10:27;10:43
1;11:16;11:22;11:38
1;12:06;12:12;12:28
1;12:56;13:02;13:18
2;13:21;13:27;13:43
1;13:46;13:52;14:08
2;14:11;14:17;14:33
1;14:36;14:42;14:58
2;15:01;15:07;15:23
1;15:26;15:32;15:48
1;16:16;16:22;16:38
3;16:31;16:37;16:53
2;16:56;17:02;17:18
3;17:21;17:27;17:43
1;17:38;17:44;18:00
2;17:55;18:01;18:17
3;18:11;18:17;18:33
1;18:36;18:42;18:58
3;19:01;19:07;19:23
1;19:51;19:57;20:13
1;20:41;20:47;21:03
1;21:31;21:37;21:53
1;22:21;22:27;22:43
1;23:10;23:15;23:30
