Автобус №33т;Четвер 28 травня 2026. Діє з 27.04.2026. Зміна розкладу з 01.06.2026.
ДВРЗ - Станція метро «Чернігівська»
№ випуску;ДВРЗ;Площа Дарницька;Станція метро «Чернігівська»
3;06:00;06:17;06:32
1;06:20;06:37;06:52
2;06:40;06:57;07:12
3;07:00;07:17;07:32
1;07:20;07:37;07:52
2;07:40;07:57;08:12
3;08:00;08:17;08:32
1;08:20;08:37;08:52
2;08:40;08:57;09:12
3;09:00;09:17;09:32
1;09:20;09:37;09:52
2;09:45;10:02;10:17
3;10:20;10:37;10:52
1;11:00;11:17;11:32
3;11:40;11:57;12:12
1;12:10;12:27;12:42
3;12:40;12:57;13:12
1;13:10;13:27;13:42
3;13:40;13:57;14:12
1;14:10;14:27;14:42
3;14:40;14:57;15:12
1;15:10;15:27;15:42
3;15:40;15:57;16:12
1;16:10;16:27;16:42
2;16:45;17:02;17:17
3;17:05;17:22;17:37
1;17:25;17:42;17:57
2;17:45;18:02;18:17
3;18:05;18:22;18:37
1;18:25;18:42;18:57
2;18:50;19:07;19:22
3;19:20;19:37;19:52
1;19:50;20:07;20:22
3;20:20;20:37;20:52
1;20:50;21:07;21:22
3;21:25;21:42;21:57
1;21:55;22:12;22:27
3;22:30;22:47;23:02
Станція метро «Чернігівська» - ДВРЗ
№ випуску;Станція метро «Чернігівська»;Площа Дарницька;ДВРЗ
3;06:35;06:41;06:57
1;06:55;07:01;07:17
2;07:15;07:21;07:37
3;07:35;07:41;07:57
1;07:55;08:01;08:17
2;08:15;08:21;08:37
3;08:35;08:41;08:57
1;08:55;09:01;09:17
2;09:15;09:21;09:37
3;09:35;09:41;09:57
1;09:55;10:01;10:17
2;10:20;10:26;10:42
3;10:55;11:01;11:17
1;11:35;11:40;11:55
3;12:15;12:21;12:37
1;12:45;12:51;13:07
3;13:15;13:21;13:37
1;13:45;13:51;14:07
3;14:15;14:21;14:37
1;14:45;14:51;15:07
3;15:15;15:21;15:37
1;15:45;15:51;16:07
2;16:09;16:15;16:32
3;16:15;16:21;16:37
1;16:45;16:51;17:07
2;17:20;17:26;17:42
3;17:40;17:46;18:02
1;18:00;18:06;18:22
2;18:20;18:26;18:42
3;18:40;18:46;19:02
1;19:00;19:06;19:22
2;19:25;19:31;19:47
3;19:55;20:01;20:17
1;20:25;20:31;20:47
3;20:55;21:01;21:17
1;21:25;21:31;21:47
3;22:00;22:06;22:22
1;22:30;22:36;22:52
3;23:05;23:11;23:27
