Автобус №35т;Четвер 28 травня 2026. Діє з 11.05.2026. Зміна розкладу з 01.06.2026.
Вулиця Сержа Лифаря - Станція метро «Лісова»
№ випуску;Вулиця Сержа Лифаря;Вулиця Юності;Станція метро «Лісова»
1;06:00;06:22;06:40
3;06:18;06:40;06:58
5;06:36;06:58;07:16
6;06:45;07:07;07:25
7;06:54;07:16;07:34
8;07:03;07:25;07:43
9;07:13;07:35;07:53
1;07:21;07:43;08:01
2;07:30;07:52;08:10
3;07:38;08:00;08:18
4;07:47;08:09;08:27
5;07:56;08:18;08:36
6;08:05;08:27;08:45
7;08:14;08:36;08:54
8;08:25;08:47;09:05
9;08:33;08:55;09:13
1;08:42;09:04;09:22
2;08:50;09:12;09:30
3;08:59;09:21;09:39
4;09:09;09:31;09:49
5;09:17;09:39;09:57
6;09:25;09:47;10:05
7;09:35;09:57;10:15
8;09:45;10:07;10:25
9;09:55;10:17;10:35
2;10:13;10:35;10:53
4;10:30;10:52;11:10
1;10:47;11:11;11:29
3;11:04;11:26;11:44
5;11:21;11:43;12:01
7;11:38;12:00;12:18
8;11:53;12:15;12:33
1;12:09;12:31;12:49
3;12:25;12:47;13:05
5;12:41;13:03;13:21
7;12:57;13:19;13:37
8;13:13;13:35;13:53
1;13:28;13:50;14:08
3;13:46;14:08;14:26
5;14:01;14:23;14:41
7;14:17;14:39;14:57
8;14:33;14:55;15:13
1;14:49;15:11;15:29
3;15:05;15:27;15:45
5;15:20;15:42;16:00
7;15:37;15:59;16:17
8;15:53;16:15;16:33
1;16:09;16:31;16:49
3;16:25;16:47;17:05
5;16:41;17:03;17:21
6;16:59;17:21;17:39
7;17:14;17:36;17:54
9;17:27;17:49;18:07
8;17:36;17:58;18:16
2;17:46;18:08;18:26
1;17:55;18:17;18:35
4;18:04;18:26;18:44
3;18:13;18:35;18:53
6;18:22;18:44;19:02
5;18:31;18:53;19:11
7;18:39;19:01;19:19
9;18:49;19:11;19:29
8;19:00;19:22;19:40
2;19:12;19:34;19:52
4;19:24;19:46;20:04
1;19:38;20:00;20:18
3;19:53;20:15;20:33
5;20:09;20:31;20:49
7;20:25;20:47;21:05
8;20:41;21:03;21:21
1;20:57;21:19;21:37
3;21:13;21:35;21:53
5;21:29;21:51;22:09
7;21:43;22:05;22:23
8;21:59;22:21;22:38
Станція метро «Лісова» - Вулиця Сержа Лифаря
№ випуску;Станція метро «Лісова»;Р-к Лісовий;Вулиця Сержа Лифаря
8;06:00;06:08;06:37
1;06:41;06:49;07:18
3;06:59;07:07;07:36
5;07:17;07:25;07:54
6;07:26;07:34;08:03
7;07:35;07:43;08:12
8;07:44;07:52;08:21
9;07:54;08:02;08:31
1;08:02;08:10;08:38
2;08:11;08:19;08:48
3;08:19;08:27;08:56
4;08:28;08:36;09:05
5;08:37;08:45;09:14
6;08:46;08:54;09:23
7;08:55;09:03;09:32
8;09:06;09:14;09:42
9;09:14;09:22;09:51
1;09:23;09:31;10:00
2;09:31;09:39;10:08
3;09:40;09:48;10:17
4;09:50;09:58;10:27
5;09:58;10:06;10:35
6;10:06;10:14;10:43
7;10:16;10:24;10:53
8;10:26;10:34;11:03
9;10:36;10:44;11:13
2;10:54;11:02;11:31
4;11:11;11:19;11:48
1;11:30;11:38;12:07
3;11:46;11:54;12:23
5;12:03;12:11;12:39
7;12:19;12:27;12:55
8;12:34;12:42;13:11
1;12:50;12:58;13:26
3;13:06;13:14;13:43
5;13:22;13:30;13:59
7;13:38;13:46;14:15
8;13:54;14:02;14:31
1;14:09;14:17;14:46
3;14:28;14:36;15:04
5;14:43;14:51;15:19
7;14:58;15:06;15:35
8;15:14;15:22;15:51
1;15:30;15:38;16:07
3;15:47;15:55;16:23
5;16:01;16:09;16:38
6;16:14;16:22;16:51
7;16:18;16:26;16:55
8;16:34;16:42;17:11
9;16:46;16:54;17:23
1;16:50;16:58;17:27
2;17:02;17:10;17:39
3;17:06;17:14;17:43
4;17:18;17:26;17:55
5;17:22;17:30;17:59
6;17:40;17:48;18:17
7;17:56;18:04;18:33
9;18:10;18:18;18:47
8;18:17;18:25;18:54
2;18:27;18:35;19:04
1;18:36;18:44;19:13
4;18:45;18:53;19:22
3;18:54;19:02;19:31
6;19:03;19:11;19:40
5;19:12;19:20;19:49
7;19:20;19:28;19:58
9;19:30;19:38;20:07
8;19:43;19:51;20:20
2;19:54;20:02;20:31
4;20:05;20:13;20:42
1;20:19;20:27;20:55
3;20:34;20:42;21:11
5;20:50;20:58;21:27
7;21:06;21:14;21:41
8;21:22;21:30;21:57
1;21:38;21:46;22:15
3;21:54;22:02;22:31
5;22:10;22:18;22:47
7;22:25;22:33;23:02
8;22:40;22:48;23:17
