Автобус №36;Четвер 28 травня 2026. Діє з 01.04.2026.
Вулиця Сирецька - Станція метро «Дорогожичі»
№ випуску;Вулиця Сирецька;Станція метро «Дорогожичі»
1;05:45;06:02
1;06:25;06:42
1;07:05;07:22
1;07:45;08:02
1;08:25;08:42
1;09:05;09:21
1;10:10;10:26
1;11:25;11:42
1;12:05;12:22
1;12:45;13:02
1;13:25;13:42
1;14:05;14:22
1;14:45;15:02
1;15:25;15:42
1;16:05;16:21
1;17:10;17:27
1;17:50;18:07
1;18:30;18:47
1;19:10;19:26
1;20:25;20:42
1;21:10;21:27
1;22:00;22:17
Станція метро «Дорогожичі» - Вулиця Сирецька
№ випуску;Станція метро «Дорогожичі»;Вулиця Сирецька
1;06:05;06:23
1;06:45;07:03
1;07:25;07:43
1;08:05;08:23
1;08:45;09:03
1;09:50;10:08
1;11:05;11:23
1;11:45;12:03
1;12:25;12:43
1;13:05;13:23
1;13:45;14:03
1;14:25;14:43
1;15:05;15:23
1;15:45;16:03
1;16:50;17:08
1;17:30;17:48
1;18:10;18:28
1;18:50;19:08
1;20:05;20:23
1;20:50;21:08
1;21:35;21:53
