Автобус №37;Четвер 28 травня 2026. Діє з 29.04.2026.
Станція метро «Святошин» - Житловий масив Західний
№ випуску;Станція метро «Святошин»;автостанція Дачна;поворот на с/к Чайку;Санаторій Перемога;Житловий масив Західний
2;06:00;06:09;06:15;06:23;06:30
3;06:15;06:24;06:30;06:38;06:45
4;06:30;06:39;06:45;06:53;07:00
1;06:47;06:56;07:02;07:10;07:17
2;07:05;07:14;07:20;07:28;07:35
3;07:22;07:31;07:37;07:45;07:52
4;07:40;07:49;07:55;08:03;08:10
1;07:57;08:06;08:12;08:20;08:27
2;08:15;08:24;08:30;08:38;08:45
3;08:30;08:39;08:45;08:53;09:00
4;08:46;08:55;09:01;09:09;09:16
1;09:02;09:11;09:17;09:25;09:32
2;09:19;09:28;09:34;09:42;09:49
3;09:35;09:44;09:50;09:58;10:05
4;09:51;10:00;10:06;10:14;10:21
1;10:13;10:22;10:28;10:36;10:43
2;10:53;11:02;11:08;11:16;11:23
4;11:38;11:47;11:53;12:01;12:08
2;12:11;12:20;12:26;12:34;12:41
4;12:43;12:52;12:58;13:06;13:13
2;13:16;13:25;13:31;13:39;13:46
4;13:48;13:57;14:03;14:11;14:18
2;14:21;14:30;14:36;14:44;14:51
4;14:53;15:02;15:08;15:16;15:23
2;15:26;15:35;15:41;15:49;15:56
3;15:46;15:55;16:01;16:09;16:16
4;16:05;16:14;16:20;16:28;16:35
1;16:20;16:29;16:35;16:43;16:50
2;16:36;16:45;16:51;16:59;17:06
3;16:52;17:01;17:07;17:15;17:22
4;17:09;17:18;17:24;17:32;17:39
1;17:25;17:34;17:40;17:48;17:55
2;17:41;17:50;17:56;18:04;18:11
3;17:56;18:05;18:11;18:19;18:26
4;18:14;18:23;18:29;18:37;18:43
1;18:35;18:44;18:50;18:58;19:05
3;19:00;19:09;19:15;19:23;19:30
2;19:15;19:24;19:30;19:38;19:45
1;19:38;19:47;19:53;20:01;20:08
4;20:01;20:10;20:16;20:24;20:31
2;20:32;20:41;20:47;20:55;21:02
4;21:06;21:15;21:21;21:29;21:36
2;21:38;21:47;21:53;22:01;22:08
4;22:10;22:19;22:25;22:33;22:39
2;22:40;22:48;22:54;23:02;23:09
Житловий масив Західний - Станція метро «Святошин»
№ випуску;Житловий масив Західний;Санаторій Перемога;поворот на с/к Чайку;автостанція Дачна;Станція метро «Святошин»
2;06:32;06:38;06:45;06:53;07:03
3;06:49;06:55;07:02;07:10;07:20
4;07:05;07:11;07:18;07:26;07:36
1;07:21;07:27;07:34;07:42;07:53
2;07:38;07:44;07:51;07:59;08:10
3;07:55;08:01;08:08;08:16;08:26
4;08:12;08:18;08:25;08:33;08:43
1;08:29;08:35;08:42;08:50;09:00
2;08:46;08:52;08:59;09:07;09:17
3;09:02;09:08;09:15;09:23;09:33
4;09:18;09:24;09:31;09:39;09:49
1;09:40;09:46;09:53;10:01;10:11
3;10:06;10:12;10:19;10:27;10:37
2;10:20;10:26;10:33;10:41;10:51
1;10:45;10:51;10:58;11:06;11:16
4;11:06;11:12;11:19;11:26;11:36
2;11:38;11:44;11:51;11:59;12:09
4;12:10;12:16;12:23;12:31;12:41
2;12:43;12:49;12:56;13:04;13:14
4;13:15;13:21;13:28;13:36;13:46
2;13:48;13:54;14:01;14:09;14:19
4;14:20;14:26;14:33;14:41;14:51
2;14:53;14:59;15:06;15:14;15:24
4;15:25;15:32;15:40;15:48;15:59
2;15:58;16:04;16:11;16:19;16:30
3;16:18;16:24;16:31;16:39;16:49
4;16:36;16:42;16:49;16:57;17:07
1;16:52;16:58;17:05;17:13;17:23
2;17:08;17:14;17:21;17:29;17:39
3;17:24;17:30;17:37;17:44;17:54
4;17:41;17:47;17:54;18:02;18:12
1;18:01;18:07;18:14;18:22;18:32
3;18:28;18:34;18:41;18:48;18:58
2;18:42;18:48;18:55;19:03;19:13
1;19:06;19:12;19:19;19:26;19:36
4;19:28;19:34;19:41;19:49;19:59
3;19:42;19:48;19:55;20:03;20:13
2;20:00;20:06;20:13;20:20;20:30
1;20:17;20:23;20:30;20:38;20:48
4;20:33;20:39;20:46;20:54;21:04
2;21:05;21:11;21:18;21:26;21:36
4;21:37;21:43;21:50;21:58;22:08
2;22:09;22:15;22:22;22:29;22:39
4;22:40;22:46;22:53;23:01;23:11
2;23:10;23:16;23:23;23:31;23:41
