Автобус №37Д;Четвер 28 травня 2026. Діє з 16.03.2026. Зміна розкладу з 01.06.2026.
Поліклініка (вул. Закревського) - Станція метро «Лісова»
№ випуску;Поліклініка (вул. Закревського);Вулиця Лаврухина;Кінотеатр Флоренція;Вулиця Братиславська;Станція метро «Лісова»
4;06:35;06:47;07:00;07:12;07:23
1;07:00;07:12;07:25;07:37;07:48
2;07:25;07:37;07:50;08:02;08:13
3;07:50;08:02;08:15;08:27;08:38
4;08:15;08:27;08:40;08:52;09:03
1;08:40;08:52;09:05;09:17;09:28
2;09:05;09:17;09:30;09:42;09:53
3;09:36;09:48;10:01;10:13;10:24
4;10:07;10:19;10:32;10:44;10:55
1;10:50;11:02;11:15;11:27;11:38
2;11:32;11:44;11:57;12:09;12:20
4;12:14;12:26;12:39;12:51;13:02
1;12:47;12:59;13:12;13:24;13:35
2;13:20;13:32;13:45;13:57;14:08
4;13:54;14:06;14:19;14:31;14:42
1;14:27;14:39;14:52;15:04;15:15
2;15:00;15:12;15:25;15:37;15:48
4;15:34;15:46;15:59;16:11;16:22
1;16:07;16:19;16:32;16:44;16:55
2;16:40;16:52;17:05;17:17;17:28
3;17:05;17:17;17:30;17:42;17:53
4;17:35;17:47;18:00;18:12;18:23
1;18:05;18:17;18:30;18:42;18:53
2;18:35;18:47;19:00;19:12;19:23
3;19:05;19:17;19:30;19:42;19:53
4;19:35;19:47;19:59;20:11;20:22
1;20:06;20:18;20:31;20:43;20:54
2;20:40;20:52;21:05;21:17;21:28
4;21:13;21:25;21:38;21:50;22:01
1;21:45;21:57;22:10;22:22;22:33
2;22:20;22:32;22:45;22:57;23:08
Станція метро «Лісова» - Поліклініка (вул. Закревського)
№ випуску;Станція метро «Лісова»;Вулиця Братиславська;Кінотеатр Флоренція;Вулиця Лаврухина;Поліклініка (вул. Закревського)
1;06:10;06:21;06:34;06:47;06:57
3;06:48;06:59;07:12;07:25;07:35
4;07:25;07:36;07:49;08:02;08:12
1;07:50;08:01;08:14;08:27;08:37
2;08:15;08:26;08:39;08:52;09:02
3;08:40;08:51;09:04;09:17;09:27
4;09:05;09:16;09:29;09:42;09:52
1;09:30;09:41;09:54;10:07;10:17
2;09:55;10:06;10:19;10:32;10:42
3;10:26;10:37;10:50;11:03;11:13
4;10:57;11:08;11:21;11:34;11:44
1;11:40;11:51;12:04;12:17;12:27
2;12:22;12:33;12:46;12:59;13:09
4;13:04;13:15;13:28;13:41;13:51
1;13:37;13:48;14:01;14:14;14:24
2;14:10;14:21;14:34;14:47;14:57
4;14:44;14:55;15:08;15:21;15:31
1;15:17;15:28;15:41;15:54;16:04
2;15:50;16:01;16:14;16:27;16:37
3;16:07;16:18;16:31;16:44;16:54
4;16:24;16:35;16:48;17:01;17:11
1;16:57;17:08;17:21;17:34;17:44
2;17:30;17:41;17:54;18:07;18:17
3;17:55;18:06;18:19;18:32;18:42
4;18:25;18:36;18:49;19:02;19:12
1;18:55;19:06;19:19;19:32;19:42
2;19:25;19:36;19:49;20:02;20:12
3;19:55;20:06;20:19;20:32;20:42
4;20:24;20:35;20:48;21:01;21:11
1;20:56;21:07;21:20;21:33;21:43
2;21:30;21:41;21:54;22:07;22:17
4;22:03;22:14;22:27;22:40;22:50
1;22:35;22:46;22:59;23:12;23:22
