Автобус №38;Четвер 28 травня 2026. Діє з 01.05.2026. Зміна розкладу з 01.06.2026.
Вулиця Метрологічна - Станція метро «Деміївська»
№ випуску;Вулиця Метрологічна;Музей Народної Архітектури;Вулиця Васильківська;Станція метро «Васильківська»;Станція метро «Деміївська»
1;06:00;06:10;06:25;06:30;06:40
3;06:28;06:38;06:53;06:58;07:08
4;06:41;06:51;07:06;07:11;07:21
5;06:55;07:05;07:20;07:25;07:35
6;07:09;07:19;07:34;07:39;07:49
1;07:22;07:32;07:47;07:52;08:02
2;07:36;07:46;08:01;08:06;08:16
3;07:50;08:00;08:15;08:20;08:30
4;08:03;08:13;08:28;08:33;08:43
5;08:17;08:27;08:42;08:47;08:57
6;08:31;08:41;08:56;09:01;09:11
1;08:44;08:54;09:09;09:14;09:24
2;09:04;09:14;09:29;09:34;09:44
3;09:24;09:34;09:49;09:54;10:04
5;09:38;09:48;10:03;10:08;10:18
4;09:52;10:02;10:17;10:22;10:32
6;10:07;10:17;10:32;10:37;10:47
2;10:28;10:38;10:53;10:58;11:08
1;10:50;11:00;11:15;11:20;11:30
3;11:12;11:22;11:37;11:42;11:52
4;11:33;11:43;11:58;12:03;12:13
6;11:54;12:04;12:19;12:24;12:34
1;12:14;12:24;12:39;12:44;12:54
3;12:35;12:45;13:00;13:05;13:15
4;12:55;13:05;13:20;13:25;13:35
6;13:16;13:26;13:41;13:46;13:56
1;13:36;13:46;14:01;14:06;14:16
3;13:57;14:07;14:22;14:27;14:37
4;14:17;14:27;14:42;14:47;14:57
6;14:38;14:48;15:03;15:08;15:18
1;14:58;15:08;15:23;15:28;15:38
3;15:19;15:29;15:44;15:49;15:59
4;15:39;15:49;16:04;16:09;16:19
6;16:00;16:10;16:25;16:30;16:40
1;16:20;16:30;16:45;16:50;17:00
2;16:32;16:42;16:57;17:02;17:12
3;16:46;16:56;17:11;17:16;17:26
5;17:00;17:10;17:25;17:30;17:40
4;17:16;17:26;17:41;17:46;17:56
6;17:34;17:44;17:59;18:04;18:14
2;17:52;18:02;18:17;18:22;18:32
1;18:07;18:17;18:32;18:37;18:47
5;18:22;18:32;18:47;18:52;19:02
3;18:37;18:47;19:02;19:07;19:17
4;19:00;19:10;19:25;19:30;19:40
2;19:15;19:25;19:40;19:45;19:55
6;19:30;19:40;19:55;20:00;20:10
1;19:50;20:00;20:15;20:20;20:30
3;20:11;20:21;20:36;20:41;20:51
4;20:31;20:41;20:56;21:01;21:11
6;20:52;21:02;21:17;21:22;21:32
1;21:12;21:22;21:37;21:42;21:52
3;21:33;21:43;21:58;22:03;22:14
4;21:53;22:03;22:18;22:23;22:33
6;22:14;22:24;22:39;22:44;22:54
1;22:35;22:45;23:00;23:05;23:15
Станція метро «Деміївська» - Вулиця Метрологічна
№ випуску;Станція метро «Деміївська»;Станція метро «Васильківська»;Станція метро «Виставковий центр»;Одеська площа;Вулиця Метрологічна
1;06:43;06:53;06:59;07:06;07:19
3;07:11;07:21;07:27;07:34;07:47
4;07:24;07:34;07:40;07:47;08:00
5;07:38;07:48;07:54;08:01;08:14
6;07:52;08:02;08:08;08:15;08:28
1;08:05;08:15;08:21;08:28;08:41
2;08:19;08:29;08:35;08:42;08:55
3;08:33;08:43;08:49;08:56;09:09
4;08:46;08:56;09:02;09:09;09:22
5;09:00;09:10;09:16;09:23;09:36
6;09:14;09:24;09:30;09:37;09:50
1;09:27;09:37;09:43;09:50;10:03
2;09:47;09:57;10:03;10:10;10:23
3;10:07;10:17;10:23;10:29;10:42
5;10:21;10:31;10:37;10:44;10:57
4;10:35;10:45;10:51;10:58;11:11
6;10:50;11:00;11:06;11:13;11:26
2;11:11;11:21;11:27;11:33;11:46
1;11:33;11:43;11:49;11:56;12:09
3;11:55;12:05;12:11;12:18;12:31
4;12:16;12:26;12:32;12:39;12:52
6;12:37;12:47;12:53;13:00;13:13
1;12:57;13:07;13:13;13:20;13:33
3;13:18;13:28;13:34;13:41;13:54
4;13:38;13:48;13:54;14:01;14:14
6;13:59;14:09;14:15;14:22;14:35
1;14:19;14:29;14:35;14:42;14:55
3;14:40;14:50;14:56;15:03;15:16
4;15:00;15:10;15:16;15:23;15:36
6;15:21;15:31;15:37;15:44;15:57
1;15:41;15:51;15:57;16:04;16:17
3;16:01;16:11;16:17;16:24;16:37
5;16:11;16:21;16:27;16:34;16:47
4;16:22;16:32;16:38;16:44;16:57
6;16:43;16:53;16:59;17:06;17:19
1;17:03;17:13;17:19;17:26;17:39
2;17:15;17:25;17:31;17:38;17:50
3;17:29;17:39;17:45;17:52;18:05
5;17:43;17:53;17:59;18:06;18:19
4;17:59;18:09;18:15;18:21;18:34
6;18:17;18:27;18:33;18:40;18:53
2;18:35;18:45;18:51;18:58;19:11
1;18:50;19:00;19:06;19:13;19:26
5;19:05;19:15;19:21;19:28;19:41
3;19:20;19:30;19:36;19:43;19:56
4;19:43;19:53;19:59;20:06;20:20
2;19:57;20:07;20:13;20:19;20:32
6;20:13;20:23;20:29;20:36;20:49
1;20:33;20:43;20:49;20:56;21:09
3;20:54;21:04;21:10;21:17;21:30
4;21:14;21:24;21:30;21:37;21:50
6;21:35;21:45;21:51;21:58;22:11
1;21:55;22:05;22:11;22:18;22:31
3;22:20;22:30;22:36;22:43;22:56
