Автобус №40;Четвер 28 травня 2026. Діє з 27.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Героїв Дніпра» - селище ДВС
№ випуску;Станція метро «Героїв Дніпра»;проспект Литовський (Мінський масив);селище ДВС
1;06:55;07:10;07:22
2;07:25;07:40;07:52
1;08:00;08:15;08:27
2;08:35;08:50;09:02
1;09:00;09:15;09:27
2;09:35;09:50;10:02
1;10:10;10:25;10:37
2;10:45;11:00;11:12
1;11:35;11:50;12:02
1;12:35;12:50;13:02
1;13:45;14:00;14:12
1;14:45;15:00;15:12
1;15:45;16:00;16:12
2;16:30;16:45;16:57
1;17:05;17:20;17:32
2;17:35;17:50;18:02
1;18:05;18:20;18:32
2;18:35;18:50;19:02
1;19:05;19:20;19:32
1;20:20;20:35;20:47
1;21:20;21:35;21:47
1;22:20;22:35;22:47
селище ДВС - Станція метро «Героїв Дніпра»
№ випуску;селище ДВС;проспект Литовський (Мінський масив);Станція метро «Героїв Дніпра»
1;06:20;06:32;06:45
1;07:25;07:37;07:50
2;08:00;08:12;08:25
1;08:30;08:42;08:55
2;09:05;09:17;09:30
1;09:30;09:42;09:55
2;10:05;10:17;10:30
1;10:40;10:52;11:05
2;11:15;11:27;11:40
1;12:05;12:17;12:30
1;13:05;13:17;13:30
1;14:15;14:27;14:40
1;15:15;15:27;15:40
1;16:15;16:27;16:40
2;17:00;17:12;17:25
1;17:35;17:47;18:00
2;18:08;18:20;18:32
1;18:35;18:47;19:00
2;19:05;19:17;19:30
1;19:35;19:47;20:00
1;20:50;21:02;21:15
1;21:50;22:02;22:15
1;22:50;23:02;23:15
