Автобус №41;Четвер 28 травня 2026. Діє з 27.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Героїв Дніпра» - селище ДВС
№ випуску;Станція метро «Героїв Дніпра»;Лікарня;селище ДВС
1;06:40;06:52;07:00
2;07:15;07:27;07:35
1;07:50;08:02;08:10
2;08:25;08:37;08:45
1;09:15;09:27;09:35
2;09:50;10:02;10:10
1;10:30;10:42;10:50
1;12:05;12:17;12:25
1;13:15;13:27;13:35
1;14:25;14:37;14:45
1;15:35;15:47;15:55
2;16:10;16:22;16:30
1;16:45;16:57;17:05
2;17:25;17:37;17:45
1;18:20;18:32;18:40
2;18:50;19:02;19:10
1;19:45;19:57;20:05
1;20:55;21:07;21:15
1;22:05;22:17;22:25
селище ДВС - Станція метро «Героїв Дніпра»
№ випуску;селище ДВС;Лікарня;Станція метро «Героїв Дніпра»
1;05:55;06:03;06:37
2;06:30;06:38;07:12
1;07:05;07:13;07:47
2;07:40;07:48;08:22
1;08:15;08:23;08:57
2;08:50;08:58;09:32
1;09:40;09:48;10:22
2;10:15;10:23;10:57
1;10:55;11:03;11:37
1;12:30;12:38;13:12
1;13:40;13:48;14:22
1;14:50;14:58;15:32
1;16:00;16:08;16:42
2;16:35;16:43;17:17
1;17:10;17:18;17:52
2;18:00;18:08;18:42
1;18:45;18:53;19:27
2;19:15;19:23;19:57
1;20:10;20:18;20:52
1;21:20;21:28;22:02
1;22:30;22:38;23:12
