Автобус №42;Четвер 28 травня 2026. Діє з 01.05.2026. Зміна розкладу з 01.06.2026.
Микільська Слобідка - Вулиця Є. Чавдар
№ випуску;Микільська Слобідка;Вулиця Митрополита А. Шептицького;Станція метро «Лівобережна»;вулиця Празька;Вулиця Тепловозна;Станція метро «Осокорки»;Вулиця Є. Чавдар
3;06:05;06:10;06:14;06:26;06:31;06:49;06:59
4;06:31;06:36;06:40;06:52;06:57;07:15;07:25
5;06:57;07:02;07:06;07:18;07:23;07:41;07:51
1;07:23;07:28;07:32;07:44;07:49;08:07;08:17
2;07:46;07:51;07:55;08:07;08:12;08:30;08:40
3;08:09;08:14;08:18;08:30;08:35;08:53;09:03
4;08:32;08:37;08:41;08:53;08:58;09:16;09:26
5;09:00;09:05;09:09;09:21;09:26;09:43;09:53
1;09:39;09:44;09:48;10:00;10:05;10:23;10:33
3;10:04;10:09;10:13;—;—;—;—
2;10:24;10:29;10:33;10:45;10:50;11:08;11:18
5;10:51;10:56;11:00;—;—;—;—
4;11:08;11:13;11:17;11:29;11:34;11:52;12:02
1;11:51;11:56;12:00;12:12;12:17;12:35;12:45
2;12:30;12:35;12:39;12:51;12:56;13:14;13:24
4;13:09;13:14;13:18;13:30;13:35;13:53;14:03
1;13:47;13:52;13:56;14:08;14:13;14:31;14:41
2;14:25;14:30;14:34;14:47;14:52;15:10;15:20
4;15:04;15:09;15:13;15:25;15:30;15:48;15:58
1;15:42;15:47;15:51;16:03;16:08;16:26;16:36
3;16:08;16:13;16:17;16:29;16:34;16:52;17:02
2;16:33;16:38;16:42;16:54;16:59;17:17;17:27
5;16:59;17:04;17:08;17:20;17:25;17:43;17:53
4;17:24;17:29;17:33;17:45;17:50;18:08;18:18
1;17:49;17:54;17:58;18:10;18:15;18:33;18:43
3;18:10;18:15;18:19;18:31;18:36;18:54;19:04
2;18:35;18:40;18:44;18:56;19:01;19:19;19:29
5;19:00;19:05;19:09;19:21;19:26;19:43;19:53
4;19:35;19:40;19:44;19:56;20:01;20:19;20:29
3;20:03;20:08;20:12;—;—;—;—
1;20:20;20:25;20:29;20:40;20:45;21:03;21:13
5;20:51;20:56;21:00;—;—;—;—
2;20:57;21:02;21:06;21:18;21:23;21:41;21:51
4;21:38;21:43;21:47;21:59;22:04;22:22;22:32
1;22:20;22:25;22:29;22:41;22:46;23:04;23:14
2;22:56;23:01;23:05;—;—;—;—
Вулиця Є. Чавдар - Микільська Слобідка
№ випуску;Вулиця Є. Чавдар;Станція метро «Осокорки»;Вулиця Тепловозна;Дарницький універмаг;Станція метро «Лівобережна»;Вулиця Митрополита А. Шептицького;Микільська Слобідка
3;—;—;—;05:40;05:53;05:57;06:01
4;—;—;—;06:08;06:21;06:25;06:29
5;—;—;—;06:34;06:47;06:51;06:55
1;06:25;06:35;06:52;06:59;07:12;07:16;07:20
2;06:48;06:58;07:15;07:22;07:35;07:39;07:43
3;07:11;07:21;07:38;07:45;07:58;08:02;08:06
4;07:34;07:44;08:01;08:08;08:21;08:25;08:29
5;07:57;08:07;08:24;08:31;08:44;08:48;08:52
1;08:20;08:30;08:46;08:53;09:06;09:10;09:14
2;08:43;08:53;09:10;09:17;09:30;09:34;09:38
3;09:06;09:16;09:33;09:40;09:53;09:57;10:01
4;09:29;09:39;09:55;10:02;10:15;10:19;10:23
5;09:55;10:05;10:22;10:29;10:42;10:46;10:50
1;10:36;10:46;11:02;11:09;11:22;11:26;11:30
2;11:21;11:31;11:47;11:54;12:07;12:11;12:15
4;12:06;12:16;12:33;12:40;12:53;12:57;13:01
1;12:47;12:57;13:14;13:21;13:34;13:38;13:42
2;13:27;13:37;13:54;14:01;14:14;14:18;14:22
4;14:06;14:16;14:33;14:41;14:54;14:58;15:02
1;14:44;14:54;15:11;15:19;15:32;15:36;15:40
3;—;—;—;15:44;15:57;16:01;16:05
2;15:22;15:32;15:49;15:56;16:09;16:13;16:17
5;—;—;—;16:30;16:43;16:47;16:51
4;16:01;16:11;16:28;16:35;16:48;16:52;16:56
1;16:39;16:49;17:06;17:13;17:26;17:30;17:34
3;17:05;17:15;17:32;17:39;17:52;17:56;18:00
2;17:30;17:40;17:57;18:04;18:17;18:21;18:25
5;17:56;18:06;18:23;18:30;18:43;18:47;18:51
4;18:21;18:31;18:48;18:55;19:08;19:12;19:16
1;18:46;18:56;19:13;19:20;19:33;19:37;19:41
3;19:07;19:17;19:34;19:41;19:54;19:58;20:02
2;19:32;19:42;19:59;20:06;20:19;20:23;20:27
5;19:55;20:05;20:22;20:29;20:42;20:46;20:50
4;20:34;20:44;21:01;21:08;21:21;21:25;21:29
1;21:15;21:25;21:42;21:49;22:02;22:06;22:10
2;22:00;22:10;22:27;22:34;22:47;22:51;22:55
