Автобус №43;Четвер 28 травня 2026. Діє з 15.05.2026.
Станція метро «Видубичі» - селище Козин
№ випуску;Станція метро «Видубичі»;Мікрорайон Віта Литовська;санаторій Конча-Заспа;селище Козин
1;06:10;06:28;06:34;06:49
2;06:40;06:58;07:04;07:19
3;07:10;07:28;07:34;07:49
1;07:35;07:53;07:59;08:14
2;08:05;08:23;08:29;08:44
3;08:35;08:53;08:59;09:14
1;09:15;09:33;09:39;09:54
2;09:30;09:48;09:54;10:09
3;10:30;10:48;10:54;11:09
1;11:10;11:28;11:34;11:49
3;12:05;12:23;12:29;12:44
1;12:35;12:53;12:59;13:14
3;13:30;13:48;13:54;14:09
1;14:00;14:18;14:24;14:39
3;14:55;15:13;15:19;15:34
1;15:25;15:43;15:49;16:04
2;15:55;16:13;16:19;16:34
3;16:25;16:43;16:49;17:04
1;17:05;17:23;17:29;17:44
2;17:35;17:53;17:59;18:14
3;18:05;18:23;18:29;18:44
1;18:30;18:48;18:54;19:09
2;19:00;19:18;19:24;19:38
3;19:25;19:43;19:49;20:04
1;20:20;20:38;20:44;20:59
3;21:15;21:33;21:39;21:54
1;21:50;22:08;22:14;22:29
селище Козин - Станція метро «Видубичі»
№ випуску;селище Козин;санаторій Конча-Заспа;Мікрорайон Віта Литовська;Станція метро «Видубичі» (вис);Станція метро «Видубичі»
3;06:20;06:35;06:41;06:57;07:07
1;06:50;07:06;07:12;07:28;07:32
2;07:21;07:36;07:42;07:58;08:02
3;07:51;08:06;08:12;08:28;08:32
1;08:16;08:31;08:37;08:53;09:12
2;08:46;09:01;09:07;09:23;09:27
3;09:16;09:31;09:37;09:53;10:28
1;09:58;10:13;10:19;10:35;11:08
2;10:11;10:26;10:32;10:48;—
3;11:11;11:26;11:32;11:48;12:04
1;11:51;12:06;12:12;12:28;12:32
3;12:46;13:01;13:07;13:23;13:27
1;13:16;13:31;13:37;13:53;13:57
3;14:11;14:26;14:32;14:48;14:52
1;14:41;14:56;15:02;15:18;15:22
3;15:36;15:51;15:57;16:13;16:20
1;16:06;16:21;16:27;16:43;17:03
2;16:36;16:51;16:57;17:13;17:32
3;17:06;17:21;17:27;17:43;18:02
1;17:46;18:01;18:07;18:23;18:27
2;18:16;18:31;18:37;18:53;18:57
3;18:46;19:01;19:07;19:23;19:24
1;19:11;19:26;19:32;19:48;20:19
2;19:40;19:55;20:01;20:17;—
3;20:06;20:21;20:27;20:43;21:14
1;21:01;21:16;21:22;21:38;21:42
3;21:56;22:11;22:17;22:33;—
1;22:30;22:45;22:50;23:06;—
