Автобус №43к;Четвер 28 травня 2026. Діє з 01.05.2026.
Станція метро «Видубичі» - санаторій Конча-Заспа
№ випуску;Станція метро «Видубичі»;Мікрорайон Віта Литовська;санаторій Конча-Заспа
1;06:25;06:42;06:48
2;06:55;07:12;07:18
1;07:20;07:37;07:43
2;07:50;08:07;08:13
1;08:20;08:37;08:43
2;08:50;09:07;09:13
1;09:45;10:02;10:08
2;10:15;10:32;10:38
1;10:55;11:12;11:18
2;11:25;11:42;11:48
1;11:55;12:12;12:18
2;12:20;12:37;12:43
1;12:50;13:07;13:13
2;13:15;13:32;13:38
1;13:45;14:02;14:08
2;14:15;14:32;14:38
1;14:40;14:57;15:03
2;15:10;15:27;15:33
1;15:40;15:57;16:03
2;16:10;16:27;16:33
1;16:50;17:07;17:13
2;17:20;17:37;17:43
1;18:15;18:32;18:38
2;18:45;19:02;19:08
1;19:10;19:27;19:33
2;19:40;19:57;20:03
1;20:05;20:22;20:28
2;20:40;20:57;21:03
1;21:00;21:17;21:23
2;21:35;21:52;21:58
санаторій Конча-Заспа - Станція метро «Видубичі»
№ випуску;санаторій Конча-Заспа;Мікрорайон Віта Литовська;Станція метро «Видубичі» (вис);Станція метро «Видубичі»
1;06:50;06:56;07:13;07:17
2;07:20;07:26;07:43;07:47
1;07:45;07:51;08:08;08:15
2;08:15;08:21;08:38;08:45
1;08:45;08:51;09:08;09:42
2;09:15;09:21;09:38;10:12
1;10:09;10:15;10:33;10:52
2;10:40;10:46;11:03;11:22
1;11:20;11:26;11:43;11:50
2;11:50;11:56;12:13;12:17
1;12:20;12:26;12:43;12:47
2;12:45;12:51;13:08;13:12
1;13:15;13:21;13:39;13:43
2;13:40;13:46;14:04;14:10
1;14:10;14:16;14:33;14:37
2;14:40;14:46;15:03;15:07
1;15:05;15:11;15:28;15:35
2;15:35;15:41;15:58;16:05
1;16:05;16:11;16:28;16:47
2;16:35;16:41;16:58;17:17
1;17:15;17:21;17:38;18:12
2;17:45;17:51;18:08;18:42
1;18:40;18:46;19:03;19:07
2;19:10;19:16;19:33;19:37
1;19:35;19:41;19:58;20:02
2;20:05;20:11;20:28;20:35
1;20:30;20:36;20:53;20:57
2;21:05;21:11;21:28;21:32
1;21:25;21:31;21:48;—
2;22:00;22:06;22:23;—
