Автобус №44;Четвер 28 травня 2026. Діє з 06.03.2026. Зміна розкладу з 01.06.2026.
Вулиця Милославська - Ст. міської електрички«Березняки»
№ випуску;Вулиця Милославська;Вулиця Бальзака;масив Райдужний;Вулиця Чорних Запорожців;Станція метро «Лівобережна»;Ст. міської електрички«Березняки»
1;06:00;06:11;06:25;06:33;06:50;07:02
2;06:22;06:33;06:47;06:55;07:12;07:25
3;06:44;06:55;07:09;07:17;07:34;07:46
4;07:06;07:17;07:31;07:39;07:56;08:09
5;07:28;07:39;07:53;08:01;08:18;08:30
6;07:45;07:56;08:10;08:18;08:35;08:47
1;08:09;08:20;08:34;08:42;08:59;09:11
2;08:32;08:43;08:57;09:05;09:22;09:34
3;08:54;09:05;09:19;09:27;09:44;09:56
4;09:16;09:27;09:41;09:49;10:06;10:18
5;09:38;09:49;10:03;10:11;10:28;10:40
6;10:20;10:31;10:45;10:53;11:10;11:22
2;11:05;11:16;11:30;11:38;11:55;12:07
3;11:55;12:06;12:20;12:28;12:45;12:57
5;12:30;12:41;12:55;13:03;13:20;13:32
6;13:02;13:13;13:27;13:35;13:52;14:04
2;13:35;13:46;14:00;14:08;14:25;14:37
3;14:10;14:21;14:35;14:43;15:00;15:12
5;14:45;14:56;15:10;15:18;15:35;15:47
6;15:17;15:28;15:42;15:50;16:07;16:19
2;15:49;16:00;16:14;16:22;16:39;16:51
1;16:10;16:21;16:35;16:43;17:00;17:13
3;16:35;16:46;17:00;17:08;17:25;17:37
4;16:58;17:09;17:23;17:31;17:48;18:00
5;17:16;17:27;17:41;17:49;18:06;18:18
6;17:32;17:43;17:57;18:05;18:22;18:34
2;18:05;18:16;18:30;18:38;18:55;19:07
1;18:25;18:36;18:50;18:58;19:15;19:27
3;18:50;19:01;19:15;19:23;19:40;19:52
4;19:15;19:25;19:39;19:47;20:03;20:15
5;19:40;19:51;20:05;20:13;20:30;20:42
6;20:15;20:26;20:40;20:48;21:05;21:17
2;20:58;21:09;21:23;21:31;21:48;22:00
3;21:37;21:47;22:01;22:09;22:25;22:37
5;22:10;22:20;22:33;22:41;22:57;23:09
Ст. міської електрички«Березняки» - Вулиця Милославська
№ випуску;Ст. міської електрички«Березняки»;Станція метро «Лівобережна»;Вулиця Чорних Запорожців;масив Райдужний;Вулиця архітектора Ніколаєва;Вулиця Милославська
1;07:04;07:17;07:34;07:43;07:51;08:06
2;07:27;07:43;07:59;08:07;08:15;08:29
3;07:49;08:05;08:21;08:29;08:37;08:51
4;08:11;08:24;08:41;08:50;08:58;09:13
5;08:33;08:46;09:03;09:12;09:20;09:35
6;08:55;09:08;09:25;09:34;09:42;09:57
1;09:25;09:38;09:55;10:04;10:12;10:27
2;10:00;10:13;10:30;10:39;10:47;11:02
4;10:25;10:38;10:55;11:04;11:12;11:27
3;10:50;11:03;11:20;11:29;11:37;11:52
5;11:25;11:38;11:55;12:04;12:12;12:27
6;11:57;12:10;12:27;12:36;12:44;12:59
2;12:30;12:43;13:00;13:09;13:17;13:32
3;13:05;13:18;13:35;13:44;13:52;14:07
5;13:40;13:53;14:10;14:19;14:27;14:42
6;14:12;14:25;14:42;14:51;14:59;15:14
2;14:44;14:57;15:14;15:23;15:31;15:45
3;15:17;15:30;15:47;15:56;16:04;16:19
5;15:50;16:03;16:20;16:29;16:37;16:52
6;16:22;16:35;16:52;17:01;17:09;17:29
2;16:55;17:08;17:25;17:34;17:42;18:02
1;17:15;17:28;17:45;17:54;18:02;18:22
3;17:40;17:53;18:10;18:19;18:27;18:47
4;18:05;18:18;18:35;18:44;18:52;19:12
5;18:30;18:43;19:00;19:09;19:17;19:37
6;19:00;19:13;19:30;19:39;19:47;20:07
1;19:30;19:43;20:00;20:09;20:17;20:32
2;19:55;20:07;20:24;20:33;20:41;20:56
4;20:17;20:30;20:47;20:56;21:04;21:19
3;20:35;20:47;21:03;21:12;21:20;21:35
5;21:07;21:19;21:35;21:44;21:52;22:07
6;21:40;21:52;22:08;22:17;22:25;22:40
2;22:10;22:22;22:38;22:47;22:55;23:10
3;22:40;22:52;23:08;23:17;23:25;23:40
