Автобус №45;Четвер 28 травня 2026. Діє з 21.04.2026.
Проспект Григоренка - Станція метро «Дарниця»
№ випуску;Проспект Григоренка;Станція метро «Харківська»;Вулиця Тростянецька;Бульвар Гашека;Дарницький універмаг;Станція метро «Дарниця»
1;06:00;06:17;06:28;06:38;06:41;06:48
3;06:35;06:52;07:03;07:13;07:16;07:23
4;07:10;07:27;07:38;07:48;07:51;07:58
1;07:43;08:00;08:11;08:21;08:24;08:32
2;08:09;08:26;08:37;08:47;08:50;08:57
3;08:35;08:52;09:03;09:13;09:16;09:23
4;09:10;09:27;09:38;09:48;09:51;09:58
2;09:50;10:07;10:18;10:28;10:31;10:38
1;10:25;10:42;10:53;11:03;11:06;11:13
3;11:00;11:17;11:28;11:38;11:41;11:48
4;11:35;11:52;12:03;12:13;12:16;12:23
1;12:10;12:27;12:38;12:48;12:51;12:58
3;12:45;13:02;13:13;13:23;13:26;13:33
4;13:20;13:37;13:48;13:58;14:01;14:08
1;13:55;14:12;14:23;14:33;14:36;14:43
3;14:30;14:47;14:58;15:08;15:11;15:18
4;15:05;15:22;15:33;15:43;15:46;15:53
1;15:40;15:57;16:08;16:18;16:21;16:28
2;16:15;16:32;16:43;16:53;16:56;17:03
3;16:41;16:58;17:09;17:19;17:22;17:30
4;17:09;17:26;17:37;17:47;17:50;17:58
1;17:36;17:53;18:04;18:14;18:17;18:25
2;18:05;18:22;18:33;18:43;18:46;18:53
3;18:40;18:57;19:08;19:18;19:21;19:28
4;19:15;19:32;19:43;19:53;19:56;20:03
1;19:50;20:07;20:18;20:28;20:31;20:38
3;20:25;20:42;20:53;21:03;21:06;21:13
4;21:00;21:17;21:28;21:38;21:41;21:48
1;21:35;21:52;22:03;22:13;22:16;22:24
3;22:10;22:27;22:38;22:48;22:51;22:59
4;22:45;23:02;23:13;23:23;23:26;23:34
Станція метро «Дарниця» - Проспект Григоренка
№ випуску;Станція метро «Дарниця»;вулиця Празька;Вулиця Тростянецька;Станція метро «Харківська»;Проспект Григоренка
3;—;05:52;06:04;06:14;06:32
4;06:15;06:25;06:37;06:47;07:05
1;06:50;07:00;07:12;07:22;07:40
2;07:08;07:18;07:30;07:40;07:58
3;07:25;07:35;07:47;07:57;08:17
4;08:00;08:10;08:22;08:32;08:52
1;08:34;08:44;08:56;09:06;09:24
2;08:59;09:09;09:21;09:31;09:48
3;09:25;09:35;09:47;09:57;10:15
4;10:00;10:10;10:22;10:32;10:50
2;10:40;10:50;11:02;11:12;11:30
1;11:15;11:25;11:37;11:47;12:05
3;11:50;12:00;12:12;12:22;12:40
4;12:25;12:35;12:47;12:57;13:15
1;13:00;13:10;13:22;13:32;13:50
3;13:35;13:45;13:57;14:07;14:25
4;14:10;14:20;14:32;14:42;15:00
1;14:45;14:55;15:07;15:17;15:35
2;—;15:25;15:37;15:47;16:05
3;15:20;15:30;15:42;15:52;16:10
4;15:55;16:05;16:17;16:27;16:45
1;16:30;16:40;16:52;17:02;17:20
2;17:05;17:15;17:27;17:37;17:55
3;17:32;17:42;17:54;18:04;18:22
4;18:00;18:10;18:22;18:32;18:50
1;18:27;18:37;18:49;18:59;19:17
2;18:55;19:05;19:17;19:27;19:45
3;19:30;19:40;19:52;20:02;20:20
4;20:05;20:15;20:27;20:37;20:55
1;20:40;20:50;21:02;21:12;21:30
3;21:15;21:25;21:37;21:47;22:05
4;21:50;22:00;22:12;22:22;22:40
1;22:35;22:45;22:57;23:07;23:25
