Автобус №48;Четвер 28 травня 2026. Діє з 04.03.2026.
Станція метро «Лівобережна» - Готель «Славутич»
№ випуску;Станція метро «Лівобережна»;Вулиця Ентузиастів;Готель «Славутич»
1;06:05;06:08;06:17
2;06:20;06:23;06:32
1;06:35;06:38;06:47
2;06:50;06:53;07:02
1;07:05;07:08;07:17
2;07:20;07:23;07:32
1;07:35;07:38;07:47
2;07:50;07:53;08:02
1;08:05;08:08;08:17
2;08:20;08:23;08:32
1;08:35;08:38;08:47
2;08:50;08:53;09:02
1;09:05;09:08;09:17
2;09:20;09:23;09:32
1;10:00;10:03;10:12
2;10:25;10:28;10:37
1;11:05;11:08;11:17
2;11:20;11:23;11:32
1;11:35;11:38;11:47
2;11:50;11:53;12:02
1;12:05;12:08;12:17
2;12:20;12:23;12:32
1;12:35;12:38;12:47
2;12:50;12:53;13:02
1;13:05;13:08;13:17
2;13:20;13:23;13:32
1;13:35;13:38;13:47
2;13:50;13:53;14:02
1;14:05;14:08;14:17
2;14:20;14:23;14:32
1;14:35;14:38;14:47
2;14:50;14:53;15:02
1;15:05;15:08;15:17
2;15:20;15:23;15:32
1;15:35;15:38;15:47
2;15:50;15:53;16:02
1;16:30;16:33;16:42
2;16:50;16:53;17:02
1;17:05;17:08;17:17
2;17:20;17:23;17:32
1;17:35;17:38;17:47
2;17:50;17:53;18:02
1;18:05;18:08;18:17
2;18:20;18:23;18:32
1;18:35;18:38;18:47
2;18:55;18:58;19:07
1;19:40;19:43;19:52
2;20:00;20:03;20:12
1;20:15;20:18;20:27
2;20:35;20:38;20:47
1;20:50;20:53;21:02
2;21:05;21:08;21:17
1;21:20;21:23;21:32
2;21:35;21:38;21:47
1;21:50;21:53;22:02
2;22:05;22:08;22:17
1;22:20;22:23;22:32
2;22:35;22:38;22:47
Готель «Славутич» - Станція метро «Лівобережна»
№ випуску;Готель «Славутич»;Вулиця Ентузиастів;Станція метро «Лівобережна»
1;06:20;06:30;06:33
2;06:35;06:45;06:48
1;06:50;07:00;07:03
2;07:05;07:15;07:18
1;07:20;07:30;07:33
2;07:35;07:45;07:48
1;07:50;08:00;08:03
2;08:05;08:15;08:18
1;08:20;08:30;08:33
2;08:35;08:45;08:48
1;08:50;09:00;09:03
2;09:05;09:15;09:18
1;09:20;09:30;09:33
2;09:35;09:45;09:48
1;10:15;10:25;10:27
2;10:40;10:50;10:52
1;11:20;11:30;11:33
2;11:35;11:45;11:48
1;11:50;12:00;12:03
2;12:05;12:15;12:18
1;12:20;12:30;12:33
2;12:35;12:45;12:48
1;12:50;13:00;13:03
2;13:05;13:15;13:18
1;13:20;13:30;13:33
2;13:35;13:45;13:48
1;13:50;14:00;14:03
2;14:05;14:15;14:18
1;14:20;14:30;14:33
2;14:35;14:45;14:48
1;14:50;15:00;15:03
2;15:05;15:15;15:18
1;15:20;15:30;15:33
2;15:35;15:45;15:48
1;15:50;16:00;16:03
2;16:05;16:15;16:18
1;16:50;17:00;17:03
2;17:05;17:15;17:18
1;17:20;17:30;17:33
2;17:35;17:45;17:48
1;17:50;18:00;18:03
2;18:05;18:15;18:18
1;18:20;18:30;18:33
2;18:35;18:45;18:48
1;18:50;19:00;19:03
2;19:10;19:20;19:23
1;19:55;20:05;20:08
2;20:20;20:30;20:33
1;20:35;20:45;20:48
2;20:50;21:00;21:03
1;21:05;21:15;21:18
2;21:20;21:30;21:33
1;21:35;21:45;21:48
2;21:50;22:00;22:03
1;22:05;22:15;22:18
2;22:20;22:30;22:33
1;22:35;22:45;22:48
2;22:50;23:00;23:03
