Автобус №49;Четвер 28 травня 2026. Діє з 01.01.2026. Зміна розкладу з 01.06.2026.
Станція метро «Лівобережна» - Ст. міської електрички«Березняки»
№ випуску;Станція метро «Лівобережна»;Готель «Славутич»;Ст. міської електрички«Березняки»
1;06:00;06:08;06:27
2;06:30;06:38;06:57
1;07:00;07:08;07:27
2;07:30;07:38;07:57
1;08:00;08:08;08:27
2;08:30;08:38;08:57
1;09:00;09:08;09:27
2;09:30;09:38;09:57
1;10:30;10:38;10:57
2;11:00;11:08;11:27
1;11:30;11:38;11:57
2;12:00;12:08;12:27
1;12:45;12:53;13:12
2;13:15;13:23;13:42
1;13:45;13:53;14:12
2;14:15;14:23;14:42
1;14:45;14:53;15:12
2;15:15;15:23;15:42
1;15:45;15:53;16:12
2;16:15;16:23;16:42
1;16:45;16:53;17:12
2;17:15;17:23;17:42
1;18:00;18:08;18:27
2;18:30;18:38;18:57
1;19:00;19:08;19:27
2;19:30;19:38;19:57
1;20:30;20:38;20:57
2;21:00;21:08;21:27
1;21:30;21:38;21:57
2;22:00;22:08;22:27
1;22:30;22:38;22:57
2;23:00;23:08;23:27
Ст. міської електрички«Березняки» - Станція метро «Лівобережна»
№ випуску;Ст. міської електрички«Березняки»;Готель «Славутич»;Станція метро «Лівобережна»
2;06:00;06:16;06:25
1;06:30;06:46;06:55
2;07:00;07:16;07:25
1;07:30;07:46;07:55
2;08:00;08:16;08:25
1;08:30;08:46;08:55
2;09:00;09:16;09:25
1;10:00;10:16;10:25
2;10:30;10:46;10:55
1;11:00;11:16;11:25
2;11:30;11:46;11:55
1;12:15;12:31;12:40
2;12:45;13:01;13:10
1;13:15;13:31;13:40
2;13:45;14:01;14:10
1;14:15;14:31;14:40
2;14:45;15:01;15:10
1;15:15;15:31;15:40
2;15:45;16:01;16:10
1;16:15;16:31;16:40
2;16:45;17:01;17:10
1;17:30;17:46;17:55
2;18:00;18:16;18:25
1;18:30;18:46;18:55
2;19:00;19:16;19:25
1;20:00;20:16;20:25
2;20:30;20:46;20:55
1;21:00;21:16;21:25
2;21:30;21:46;21:55
1;22:00;22:16;22:25
2;22:30;22:46;22:55
1;23:00;23:16;23:25
