Автобус №5;Четвер 28 травня 2026. Діє з 22.04.2026.
Вулиця Ізюмська - Залізничний вокзал
№ випуску;Вулиця Ізюмська;Вулиця Байкова;Станція метро «Олімпійська»;Вулиця Паньківська;Залізничний вокзал
1;07:00;07:08;07:18;07:24;07:29
1;08:05;08:13;08:23;08:29;08:35
1;09:10;09:18;09:28;09:34;09:40
1;10:56;11:04;11:14;11:20;11:26
1;12:01;12:09;12:19;12:25;12:31
1;13:06;13:14;13:24;13:30;13:36
1;14:11;14:19;14:29;14:35;14:41
1;16:00;16:08;16:18;16:24;16:30
1;17:05;17:13;17:23;17:29;17:35
1;18:10;18:18;18:28;18:34;18:40
Залізничний вокзал - Вулиця Ізюмська
№ випуску;Залізничний вокзал;Вулиця Гетьмана Скоропадського;Вулиця Жилянська;Вулиця Федорова;Вулиця Байкова;Вулиця Ізюмська
1;07:30;07:35;07:43;07:46;07:54;08:02
1;08:37;08:41;08:49;08:51;08:59;09:07
1;09:41;09:45;09:53;09:55;10:03;10:11
1;11:28;11:32;11:40;11:42;11:50;11:58
1;12:33;12:37;12:45;12:47;12:55;13:03
1;13:38;13:42;13:50;13:52;14:00;14:08
1;14:43;14:47;14:55;14:57;15:05;15:13
1;16:32;16:36;16:44;16:46;16:54;17:02
1;17:37;17:41;17:49;17:51;17:59;18:07
1;18:45;18:49;18:57;18:59;19:07;19:15
