Автобус №50;Четвер 28 травня 2026. Діє з 21.04.2026.
Вулиця Північна - Залізничний вокзал
№ випуску;Вулиця Північна;Станція метро «Оболонь»;Станція метро «Дорогожичі»;Станція метро «Лук’янівська»;Залізничний вокзал
1;06:00;06:12;06:28;06:38;06:52
3;06:30;06:42;06:59;07:10;07:27
4;07:00;07:12;07:30;07:43;08:03
5;07:28;07:40;07:59;08:14;08:34
1;07:55;08:07;08:27;08:42;09:04
2;08:22;08:34;08:54;09:09;09:31
3;08:52;09:04;09:23;09:38;09:59
4;09:25;09:37;09:56;10:11;10:32
5;10:10;10:22;10:40;10:55;11:14
1;10:55;11:07;11:23;11:38;11:57
3;11:40;11:52;12:08;12:22;12:40
5;12:30;12:42;12:58;13:10;13:28
1;13:10;13:22;13:38;13:50;14:08
3;13:50;14:02;14:18;14:29;14:45
5;14:30;14:42;14:58;15:10;15:27
1;15:10;15:22;15:38;15:50;16:07
2;15:40;15:52;16:09;16:21;16:39
3;16:10;16:22;16:39;16:51;17:09
5;16:35;16:47;17:04;17:16;17:34
4;17:05;17:17;17:34;17:46;18:04
1;17:35;17:47;18:04;18:16;18:34
2;18:10;18:22;18:38;18:49;19:05
3;18:50;19:02;19:18;19:28;19:43
5;19:30;19:42;19:58;20:07;20:21
1;20:08;20:20;20:35;20:44;20:58
3;20:55;21:07;21:22;21:31;21:45
5;21:40;21:52;22:08;22:17;22:28
Залізничний вокзал - Вулиця Північна
№ випуску;Залізничний вокзал;Станція метро «Лук’янівська»;Станція метро «Дорогожичі»;Станція метро «Оболонь»;Вулиця Північна
1;06:55;07:09;07:19;07:37;07:50
3;07:30;07:47;07:59;08:17;08:30
4;08:07;08:25;08:37;08:55;09:09
5;08:38;08:57;09:09;09:27;09:40
1;09:08;09:26;09:38;09:56;10:10
2;09:35;09:54;10:06;10:24;10:38
3;10:02;10:20;10:32;10:49;11:03
4;10:35;10:51;11:03;11:20;11:34
5;11:17;11:33;11:45;12:02;12:15
1;12:00;12:17;12:30;12:47;13:01
3;12:43;13:00;13:13;13:30;13:44
5;13:30;13:45;13:57;14:14;14:27
1;14:10;14:25;14:37;14:54;15:08
3;14:47;15:02;15:14;15:31;15:45
5;15:30;15:46;15:59;16:16;16:30
1;16:10;16:28;16:41;16:59;17:13
2;16:42;17:01;17:14;17:34;17:50
3;17:13;17:32;17:46;18:07;18:24
5;17:38;17:57;18:11;18:32;18:49
4;18:07;18:26;18:40;19:01;19:17
1;18:36;18:54;19:08;19:28;19:44
2;19:07;19:24;19:38;19:56;20:10
3;19:45;20:01;20:14;20:31;20:45
5;20:23;20:38;20:49;21:06;21:20
1;21:00;21:13;21:22;21:39;21:51
3;21:47;22:00;22:09;22:25;22:37
5;22:30;22:42;22:50;23:05;23:17
