Автобус №52;Четвер 28 травня 2026. Діє з 26.02.2026. Зміна розкладу з 01.06.2026.
Станція метро «Либідська» - Вулиця Закарпатська
№ випуску;Станція метро «Либідська»;Вулиця Моторна;Вулиця Закарпатська
1;06:51;07:10;07:23
2;07:27;07:46;07:59
1;07:59;08:17;08:30
2;08:37;08:56;09:08
1;09:06;09:25;09:38
2;09:46;10:05;10:18
1;10:32;10:51;11:04
1;12:03;12:22;12:35
1;13:11;13:30;13:43
1;14:18;14:37;14:49
1;15:25;15:44;15:57
2;15:59;16:18;16:31
1;16:36;16:55;17:08
2;17:12;17:31;17:44
1;17:44;18:03;18:16
2;18:25;18:44;18:57
1;19:15;19:34;19:47
1;20:44;21:03;21:16
1;22:00;22:19;22:32
Вулиця Закарпатська - Станція метро «Либідська»
№ випуску;Вулиця Закарпатська;Вулиця Моторна;Стратегичне шосе, Центр комунікації;Станція метро «Либідська»
1;06:20;06:32;06:45;06:50
2;06:53;07:06;07:19;07:25
1;07:26;07:38;07:51;07:57
2;08:03;08:16;08:29;08:35
1;08:32;08:45;08:58;09:04
2;09:10;09:23;09:36;09:42
1;09:40;09:53;10:06;10:12
2;10:21;10:34;10:47;10:53
1;11:06;11:19;11:32;11:38
1;12:37;12:50;13:03;13:09
1;13:45;13:57;14:10;14:16
1;14:51;15:04;15:17;15:23
1;16:02;16:15;16:28;16:34
2;16:36;16:49;17:02;17:08
1;17:11;17:24;17:37;17:43
2;17:46;17:59;18:12;18:18
1;18:21;18:34;18:47;18:53
2;18:58;19:10;19:23;19:29
1;19:49;20:02;20:15;20:21
1;21:23;21:36;21:49;21:55
1;22:35;22:48;23:01;23:07
