Автобус №53;Четвер 28 травня 2026. Діє з 27.05.2026.
Станція метро «Контрактова площа» - Рибальський півострів
№ випуску;Станція метро «Контрактова площа»;Провулок Електриків;Рибальський півострів
1;06:45;06:59;07:07
1;07:40;07:54;08:02
2;08:07;08:21;08:29
1;08:35;08:49;08:57
2;09:02;09:16;09:24
1;09:30;09:44;09:52
2;09:56;10:10;10:18
2;10:45;10:59;11:07
1;11:10;11:24;11:32
1;12:00;12:14;12:22
1;12:50;13:04;13:12
1;13:45;13:59;14:07
1;14:35;14:49;14:57
1;15:25;15:39;15:47
1;16:15;16:29;16:37
2;16:40;16:54;17:02
1;17:07;17:21;17:29
2;17:35;17:49;17:57
1;18:00;18:14;18:22
2;18:25;18:39;18:47
2;19:15;19:29;19:37
1;19:39;19:53;20:01
1;20:30;20:44;20:52
1;21:25;21:39;21:47
1;22:15;22:29;22:37
Рибальський півострів - Станція метро «Контрактова площа»
№ випуску;Рибальський півострів;Залізнична станція «Почайна»;Станція метро «Контрактова площа»
1;06:20;06:31;06:43
1;07:15;07:26;07:38
2;07:40;07:51;08:04
1;08:10;08:21;08:33
2;08:35;08:46;08:59
1;09:05;09:16;09:28
2;09:30;09:41;09:54
2;10:20;10:31;10:43
1;10:45;10:56;11:08
1;11:35;11:46;11:58
1;12:25;12:36;12:48
1;13:20;13:31;13:43
1;14:10;14:21;14:33
1;15:00;15:11;15:23
1;15:50;16:01;16:13
2;16:15;16:26;16:38
1;16:40;16:51;17:03
2;17:10;17:21;17:33
1;17:35;17:46;17:58
2;18:00;18:11;18:23
2;18:50;19:01;19:13
1;19:14;19:25;19:37
1;20:05;20:16;20:28
1;21:00;21:11;21:23
1;21:50;22:01;22:13
