Автобус №54;Четвер 28 травня 2026. Діє з 01.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Видубичі» - вулиця Покільська (пл. Михайла Співака)
№ випуску;Станція метро «Видубичі»;вулиця Покільська (пл. Михайла Співака)
1;06:15;06:21
1;06:45;06:51
1;07:15;07:21
1;07:45;07:51
1;08:15;08:21
1;08:50;08:55
1;09:40;09:46
1;10:10;10:16
1;10:40;10:46
1;11:20;11:26
1;11:50;11:56
1;12:20;12:26
1;12:50;12:56
1;13:20;13:26
1;13:50;13:56
1;14:20;14:26
1;14:50;14:56
1;15:20;15:26
1;15:50;15:56
1;16:20;16:26
1;17:10;17:16
1;17:40;17:46
1;18:10;18:16
1;18:40;18:46
1;19:10;19:16
1;20:00;20:06
1;20:30;20:36
1;21:00;21:06
вулиця Покільська (пл. Михайла Співака) - Станція метро «Видубичі»
№ випуску;вулиця Покільська (пл. Михайла Співака);ТЕЦ-5;Деревообробний комбінат;Станція метро «Видубичі»
1;06:25;06:32;06:35;06:40
1;06:56;07:03;07:06;07:10
1;07:26;07:33;07:36;07:40
1;07:56;08:03;08:06;08:10
1;08:26;08:33;08:36;08:40
1;08:57;09:03;09:06;09:10
1;09:51;09:58;10:01;10:05
1;10:21;10:28;10:31;10:35
1;10:51;10:58;11:01;11:05
1;11:31;11:38;11:41;11:45
1;12:01;12:08;12:11;12:15
1;12:31;12:38;12:41;12:45
1;13:01;13:08;13:11;13:15
1;13:31;13:38;13:41;13:45
1;14:01;14:08;14:11;14:15
1;14:31;14:38;14:41;14:45
1;15:01;15:08;15:11;15:15
1;15:31;15:38;15:41;15:45
1;16:01;16:08;16:11;16:15
1;16:31;16:38;16:41;16:45
1;17:21;17:28;17:31;17:35
1;17:51;17:58;18:01;18:05
1;18:21;18:28;18:31;18:35
1;18:51;18:58;19:01;19:05
1;19:21;19:28;19:31;19:35
1;20:11;20:18;20:21;20:25
1;20:41;20:48;20:51;20:55
1;21:10;21:17;21:20;21:24
