Автобус №56;Четвер 28 травня 2026. Діє з 01.05.2026. Зміна розкладу з 01.06.2026.
Станція метро «Виставковий центр» - Проспект Палладіна (Гіпермаркет)
№ випуску;Станція метро «Виставковий центр»;Шляхопровід;Проспект Л. Курбаса;Станція метро «Академмістечко»;Проспект Палладіна (Гіпермаркет)
1;06:30;06:45;06:57;07:10;07:25
2;06:55;07:09;07:21;07:35;07:48
3;07:13;07:28;07:40;07:53;08:06
4;07:32;07:47;07:59;08:12;08:25
5;07:50;08:05;08:17;08:30;08:43
6;08:08;08:23;08:35;08:48;09:01
1;08:27;08:42;08:54;09:07;09:20
2;08:45;09:00;09:12;09:25;09:38
3;09:03;09:18;09:30;09:43;09:56
4;09:22;09:37;09:49;10:02;10:15
5;09:40;09:55;10:07;10:20;10:33
6;10:01;10:17;10:29;10:41;10:54
1;10:36;10:53;11:05;11:16;11:29
2;11:11;11:26;11:38;11:51;12:04
4;11:46;12:01;12:13;12:26;12:39
5;12:18;12:33;12:45;12:58;13:11
6;12:35;12:50;13:02;13:15;13:28
1;12:53;13:08;13:20;13:33;13:46
2;13:20;13:35;13:47;14:00;14:13
4;13:49;14:04;14:16;14:29;14:42
5;14:08;14:23;14:35;14:48;15:01
6;14:30;14:45;14:57;15:10;15:23
1;14:47;15:02;15:14;15:27;15:40
2;15:11;15:26;15:38;15:51;16:04
4;15:39;15:54;16:06;16:19;16:32
5;15:58;16:13;16:25;16:38;16:51
6;16:20;16:35;16:47;17:00;17:13
1;16:37;16:52;17:04;17:17;17:30
2;17:01;17:16;17:28;17:41;17:54
3;17:19;17:33;17:45;17:58;18:11
4;17:44;17:59;18:11;18:24;18:37
5;18:09;18:23;18:36;18:50;19:03
6;18:31;18:46;18:58;19:11;19:24
1;18:50;19:05;19:17;19:30;19:43
3;19:10;19:25;19:37;19:50;20:03
2;19:40;19:55;20:07;20:20;20:34
4;20:10;20:25;20:37;20:51;21:05
5;20:34;20:50;21:03;21:17;21:31
6;20:52;21:07;21:19;21:32;21:45
1;21:11;21:26;21:38;21:51;22:04
2;21:40;21:55;22:07;22:20;22:33
4;22:10;22:25;22:37;22:50;23:03
5;22:40;22:55;23:07;23:20;23:33
Проспект Палладіна (Гіпермаркет) - Станція метро «Виставковий центр»
№ випуску;Проспект Палладіна (Гіпермаркет);Станція метро «Академмістечко»;Проспект Л. Курбаса;Шляхопровід;Станція метро «Виставковий центр»
2;06:00;06:10;06:22;06:34;06:52
3;06:17;06:26;06:39;06:51;07:09
4;06:37;06:46;06:58;07:10;07:28
5;06:55;07:05;07:17;07:29;07:47
6;07:12;07:21;07:34;07:46;08:05
1;07:32;07:43;07:55;08:07;08:24
2;07:50;08:00;08:12;08:24;08:42
3;08:08;08:17;08:29;08:42;09:00
4;08:28;08:39;08:51;09:03;09:20
5;08:47;08:58;09:08;09:20;09:37
6;09:06;09:16;09:28;09:40;09:58
1;09:41;09:51;10:03;10:15;10:33
2;10:16;10:26;10:38;10:50;11:08
4;10:49;10:59;11:11;11:23;11:41
5;11:23;11:33;11:45;11:57;12:15
6;11:41;11:51;12:03;12:15;12:33
1;11:56;12:07;12:19;12:30;12:48
2;12:27;12:38;12:50;13:01;13:18
4;12:54;13:04;13:16;13:28;13:46
5;13:13;13:23;13:35;13:47;14:05
6;13:30;13:40;13:52;14:04;14:22
1;13:52;14:02;14:14;14:26;14:44
2;14:17;14:28;14:40;14:51;15:09
4;14:44;14:54;15:06;15:18;15:36
5;15:03;15:13;15:25;15:37;15:55
6;15:26;15:35;15:47;16:00;16:18
1;15:43;15:53;16:05;16:17;16:35
2;16:06;16:16;16:28;16:40;16:58
3;16:24;16:34;16:46;16:58;17:16
4;16:49;16:59;17:11;17:23;17:41
5;17:15;17:25;17:37;17:49;18:07
6;17:36;17:45;17:57;18:10;18:28
1;17:55;18:05;18:17;18:29;18:47
3;18:15;18:25;18:37;18:49;19:07
2;18:46;18:57;19:09;19:20;19:38
4;19:15;19:26;19:38;19:50;20:08
5;19:38;19:48;20:00;20:12;20:30
6;19:56;20:06;20:18;20:30;20:48
1;20:15;20:26;20:38;20:50;21:08
2;20:45;20:55;21:07;21:19;21:37
4;21:15;21:25;21:37;21:49;22:07
5;21:45;21:55;22:07;22:19;22:37
1;22:15;22:25;22:37;22:49;23:07
