Автобус №57;Четвер 28 травня 2026. Діє з 26.02.2026.
Авторинок - Станція метро «Академмістечко»
№ випуску;Авторинок;Заболотного;Шляхопровід;Проспект Л. Курбаса;Станція метро «Академмістечко»
3;05:50;06:13;06:24;06:36;06:48
5;06:35;07:00;07:12;07:24;07:37
1;07:02;07:26;07:38;07:50;08:03
2;07:23;07:47;07:59;08:11;08:24
3;07:52;08:16;08:27;08:40;08:54
4;08:17;08:41;08:53;09:05;09:18
5;08:45;09:09;09:21;09:33;09:46
1;09:07;09:31;09:43;09:55;10:07
2;09:37;10:01;10:13;10:25;10:38
3;10:12;10:37;10:49;11:01;11:14
4;10:39;11:03;11:15;11:27;11:40
5;11:18;11:41;11:53;12:05;12:19
1;12:05;12:29;12:40;12:52;13:06
3;12:48;13:11;13:24;13:35;13:48
5;13:36;14:00;14:12;14:24;14:37
1;14:17;14:41;14:52;15:04;15:17
3;14:54;15:17;15:29;15:41;15:55
5;15:41;16:05;16:17;16:29;16:43
1;16:22;16:46;16:58;17:10;17:23
3;17:02;17:26;17:38;17:50;18:03
4;17:29;17:52;18:04;18:16;18:29
5;17:51;18:14;18:27;18:39;18:51
2;18:18;18:42;18:54;19:06;19:18
1;18:57;19:21;19:33;19:45;19:58
4;19:32;19:55;20:07;20:19;20:33
3;19:55;20:17;20:29;20:41;20:55
2;20:22;20:46;20:58;21:10;21:23
5;20:42;21:06;21:18;21:30;21:43
1;21:25;21:49;22:01;22:13;22:26
3;22:10;22:34;22:46;22:58;23:11
Станція метро «Академмістечко» - Авторинок
№ випуску;Станція метро «Академмістечко»;Проспект Л. Курбаса;Шляхопровід;Заболотного;Авторинок
5;05:35;05:46;05:58;06:10;06:33
1;06:00;06:12;06:24;06:36;07:00
2;06:20;06:32;06:44;06:56;07:20
3;06:50;07:02;07:14;07:26;07:50
4;07:15;07:27;07:39;07:51;08:15
5;07:39;07:51;08:03;08:16;08:40
1;08:05;08:17;08:29;08:41;09:05
2;08:34;08:46;08:58;09:10;09:34
3;09:09;09:21;09:33;09:45;10:09
4;09:36;09:48;10:00;10:12;10:36
5;10:16;10:28;10:40;10:52;11:16
1;11:03;11:15;11:27;11:39;12:03
3;11:45;11:57;12:09;12:21;12:45
5;12:34;12:46;12:58;13:10;13:34
1;13:15;13:27;13:39;13:51;14:15
3;13:52;14:04;14:16;14:28;14:52
5;14:39;14:51;15:03;15:15;15:39
1;15:19;15:31;15:43;15:55;16:19
3;16:00;16:12;16:24;16:36;17:00
4;16:27;16:39;16:51;17:03;17:27
5;16:49;17:01;17:13;17:25;17:49
2;17:17;17:29;17:41;17:53;18:16
1;17:55;18:07;18:19;18:31;18:55
4;18:30;18:42;18:54;19:06;19:30
3;18:53;19:05;19:17;19:29;19:53
2;19:20;19:32;19:44;19:56;20:20
5;19:40;19:52;20:04;20:16;20:40
1;20:21;20:33;20:45;20:57;21:21
3;21:03;21:15;21:27;21:39;22:04
5;21:45;21:57;22:09;22:21;22:45
