Автобус №5т;Четвер 28 травня 2026. Діє з 12.05.2026. Зміна розкладу з 01.06.2026.
Вулиця Сержа Лифаря - станція "Райдужний"
№ випуску;Вулиця Сержа Лифаря;Вулиця Милославська;Вулиця Бальзака;ТРЦ «Глобал»;станція "Райдужний"
1;05:40;05:52;06:00;06:06;06:14
2;06:31;06:43;06:51;06:57;07:13
1;07:01;07:13;07:21;07:27;07:43
3;07:26;07:38;07:46;07:52;08:08
2;08:01;08:13;08:21;08:27;08:43
1;08:34;08:46;08:54;09:00;09:13
3;09:04;09:16;09:24;09:30;09:43
2;09:38;09:50;09:58;10:04;10:13
3;10:28;10:40;10:48;10:54;11:03
1;11:03;11:15;11:23;11:29;11:37
2;11:38;11:50;11:58;12:04;12:12
1;12:23;12:35;12:43;12:49;12:57
2;13:23;13:35;13:43;13:49;13:57
1;14:03;14:15;14:23;14:29;14:37
2;14:43;14:55;15:03;15:08;15:16
1;15:23;15:35;15:43;15:49;15:57
3;15:53;16:05;16:13;16:18;16:26
2;16:23;16:35;16:43;16:48;16:56
1;16:53;17:05;17:13;17:19;17:27
3;17:23;17:35;17:43;17:48;17:56
2;17:53;18:05;18:13;18:18;18:26
1;18:23;18:35;18:43;18:49;18:57
3;18:53;19:05;19:13;19:18;19:26
2;19:23;19:35;19:43;19:48;19:56
1;20:23;20:35;20:43;20:49;20:57
2;21:23;21:35;21:43;21:48;21:56
1;22:23;22:35;22:43;22:49;22:57
станція "Райдужний" - Вулиця Сержа Лифаря
№ випуску;станція "Райдужний";Проспект Шухевича;Вулиця Рейгана;Вулиця Милославська;Вулиця Сержа Лифаря
1;06:18;06:22;06:32;06:40;06:58
2;07:17;07:21;07:31;07:39;07:57
1;07:47;07:51;08:01;08:09;08:27
3;08:17;08:22;08:33;08:40;08:58
2;08:47;08:51;09:01;09:09;09:27
1;09:17;09:21;09:31;09:39;09:57
3;09:47;09:52;10:01;10:08;10:26
2;10:17;10:21;10:31;10:38;10:56
3;11:07;11:12;11:22;11:29;11:47
1;11:41;11:45;11:55;12:03;12:21
2;12:17;12:21;12:31;12:38;12:56
1;13:01;13:05;13:15;13:23;13:41
2;14:01;14:05;14:15;14:23;14:40
1;14:41;14:45;14:55;15:03;15:21
2;15:21;15:26;15:36;15:43;16:01
1;16:01;16:05;16:15;16:23;16:41
3;16:31;16:36;16:46;16:53;17:11
2;17:01;17:06;17:16;17:23;17:41
1;17:31;17:35;17:45;17:55;18:13
3;18:01;18:06;18:16;18:23;18:41
2;18:31;18:36;18:46;18:53;19:11
1;19:01;19:05;19:15;19:23;19:41
3;19:31;19:36;19:46;19:53;20:11
2;20:01;20:06;20:16;20:23;20:41
1;21:01;21:05;21:15;21:23;21:41
2;22:01;22:06;22:16;22:23;22:41
1;23:01;23:05;23:15;23:23;23:39
