Автобус №6;Четвер 28 травня 2026. Діє з 30.04.2026. Зміна розкладу з 01.06.2026.
площа Дарницька - Вулиця Милославська
№ випуску;площа Дарницька;Станція метро «Чернігівська»;Вулиця Крайня;Кінотеатр Флоренція;школа № 278;селище Троєщина;Вулиця Милославська
1;06:35;06:44;06:55;07:03;07:18;07:23;07:33
2;07:10;07:20;07:31;07:38;07:54;07:59;08:08
3;07:50;08:00;08:12;08:20;08:38;08:43;08:52
1;08:55;09:05;09:16;09:24;09:39;09:45;09:55
2;09:45;09:55;10:06;10:18;10:33;10:39;10:47
3;10:41;10:50;11:00;11:07;11:21;11:26;11:34
1;11:50;11:59;12:09;12:16;12:30;12:35;12:43
3;13:00;13:09;13:19;13:26;13:40;13:45;13:53
1;13:55;14:04;14:14;14:21;14:35;14:40;14:48
3;14:50;14:59;15:09;15:16;15:30;15:35;15:43
1;15:45;15:54;16:04;16:11;16:26;16:32;16:42
2;16:35;16:45;16:56;17:04;17:19;17:25;17:35
3;17:25;17:35;17:46;17:54;18:09;18:15;18:25
1;18:15;18:25;18:36;18:44;18:59;19:05;19:15
2;19:00;19:10;19:21;19:29;19:44;19:50;20:00
3;19:45;19:55;20:06;20:13;20:27;20:32;20:40
1;20:45;20:54;21:04;21:11;21:25;21:30;21:38
3;21:45;21:54;22:04;22:11;22:25;22:30;22:38
1;22:35;22:44;22:54;23:01;23:15;23:20;23:28
Вулиця Милославська - площа Дарницька
№ випуску;Вулиця Милославська;селище Троєщина;школа № 278;Кінотеатр Флоренція;Вулиця Стальського;Станція метро «Чернігівська»;площа Дарницька
1;05:40;05:46;05:51;06:06;06:14;06:25;06:33
2;06:10;06:16;06:21;06:36;06:45;06:58;07:07
3;06:50;06:56;07:01;07:16;07:25;07:38;07:47
1;07:35;07:41;07:46;08:01;08:11;08:26;08:35
2;08:10;08:19;08:24;08:43;08:52;09:01;09:10
3;08:55;09:01;09:06;09:21;09:31;09:41;09:50
1;10:00;10:06;10:11;10:25;10:34;10:45;10:53
2;10:50;10:56;11:01;11:15;11:24;11:35;11:43
3;11:45;11:51;11:56;12:10;12:19;12:30;12:38
1;12:45;12:51;12:56;13:10;13:19;13:30;13:38
3;13:55;14:01;14:06;14:20;14:29;14:40;14:48
1;14:50;14:56;15:01;15:15;15:24;15:35;15:43
3;15:45;15:51;15:56;16:10;16:20;16:35;16:44
1;16:45;16:51;16:56;17:11;17:21;17:36;17:45
2;17:40;17:46;17:51;18:06;18:16;18:31;18:40
3;18:30;18:36;18:41;18:56;19:06;19:21;19:30
1;19:20;19:26;19:31;19:46;19:56;20:11;20:19
2;20:05;20:11;20:16;20:30;20:39;20:50;20:58
3;20:50;20:56;21:01;21:15;21:24;21:35;21:43
1;21:40;21:46;21:51;22:05;22:14;22:25;22:33
