Автобус №63;Четвер 28 травня 2026. Діє з 27.04.2026. Зміна розкладу з 01.06.2026.
Станція метро «Червоний хутір» - вул. Космонавта Поповича
№ випуску;Станція метро «Червоний хутір»;Рембаза;Залізничний вокзал Дарниця;Площа Дарницька;Станція метро «Чернігівська»;вул. Космонавта Поповича
5;06:10;06:17;06:30;06:42;06:51;07:05
1;07:00;07:07;07:21;07:34;07:43;07:57
2;07:20;07:28;07:42;07:55;08:04;08:18
3;07:41;07:49;08:03;08:16;08:25;08:39
4;08:01;08:09;08:23;08:36;08:45;08:59
5;08:22;08:30;08:44;08:57;09:06;09:20
6;08:49;08:57;09:11;09:24;09:33;09:47
2;09:22;09:30;09:44;09:57;10:06;10:20
1;09:45;09:53;10:07;10:20;10:29;10:43
4;10:04;10:12;10:26;—;—;—
3;10:26;10:34;10:48;11:01;11:10;11:24
6;10:52;11:00;11:14;—;—;—
5;11:07;11:15;11:29;11:42;11:51;12:05
1;11:48;11:56;12:10;12:23;12:32;12:46
3;12:29;12:37;12:51;13:04;13:13;13:27
5;13:10;13:18;13:32;13:45;13:54;14:08
1;13:51;13:59;14:13;14:26;14:35;14:49
3;14:32;14:40;14:54;15:07;15:16;15:30
5;15:13;15:21;15:35;15:48;15:57;16:11
1;15:54;16:02;16:16;16:29;16:38;16:52
3;16:35;16:43;16:57;17:10;17:19;17:33
4;17:08;17:16;17:30;17:43;17:52;18:06
5;17:28;17:36;17:50;18:03;18:12;18:26
6;17:49;17:57;18:11;18:24;18:33;18:47
2;18:09;18:17;18:31;18:44;18:53;19:07
1;18:36;18:44;18:58;19:11;19:20;19:34
4;19:10;19:18;19:32;19:45;19:54;20:08
3;19:23;19:31;19:45;19:58;20:07;20:20
6;19:52;20:00;20:14;20:26;20:34;20:48
5;20:10;20:17;20:30;20:42;20:50;21:04
2;20:12;20:19;20:32;—;—;—
1;20:50;20:57;21:10;21:22;21:30;21:44
3;21:30;21:37;21:50;22:02;22:10;22:23
5;22:15;22:22;22:35;22:47;22:55;23:09
1;22:47;22:54;23:07;—;—;—
вул. Космонавта Поповича - Станція метро «Червоний хутір»
№ випуску;вул. Космонавта Поповича;Станція метро «Чернігівська»;вулиця Празька;Залізничний вокзал Дарниця;Рембаза;Станція метро «Червоний хутір»
5;—;—;05:35;05:48;05:58;06:07
1;06:00;06:16;06:25;06:38;06:48;06:57
2;—;—;06:45;06:58;07:08;07:17
3;06:30;06:46;06:55;07:08;07:19;07:28
4;06:58;07:14;07:23;07:37;07:48;07:57
5;07:19;07:35;07:44;07:58;08:09;08:18
6;07:40;07:56;08:05;08:19;08:30;08:39
1;08:01;08:17;08:26;08:40;08:51;09:00
2;08:21;08:37;08:46;09:00;09:11;09:20
3;08:42;08:58;09:07;09:21;09:32;09:41
4;09:02;09:18;09:27;09:41;09:52;10:01
5;09:23;09:39;09:48;10:02;10:13;10:22
6;09:50;10:06;10:15;10:29;10:40;10:49
2;10:23;10:39;10:48;11:02;11:13;11:22
1;10:46;11:02;11:11;11:25;11:36;11:45
3;11:27;11:43;11:52;12:06;12:17;12:26
5;12:08;12:24;12:33;12:47;12:58;13:07
1;12:49;13:05;13:14;13:28;13:39;13:48
3;13:30;13:46;13:55;14:09;14:20;14:29
5;14:11;14:27;14:36;14:50;15:01;15:10
1;14:52;15:08;15:17;15:31;15:42;15:51
3;15:33;15:49;15:58;16:12;16:23;16:32
4;—;—;16:31;16:45;16:56;17:05
5;16:14;16:30;16:39;16:53;17:04;17:13
6;—;—;17:12;17:26;17:37;17:46
1;16:55;17:11;17:20;17:34;17:45;17:54
2;—;—;17:32;17:46;17:57;18:06
3;17:36;17:52;18:01;18:15;18:26;18:35
4;18:09;18:25;18:34;18:48;18:59;19:08
5;18:29;18:45;18:54;19:08;19:19;19:28
6;18:50;19:06;19:15;19:29;19:40;19:49
2;19:10;19:26;19:35;19:49;20:00;20:09
1;19:37;19:53;20:02;20:15;20:25;20:34
3;20:22;20:38;20:47;21:00;21:10;21:19
5;21:07;21:23;21:32;21:45;21:55;22:04
1;21:47;22:03;22:12;22:25;22:35;22:44
3;22:25;22:41;22:50;23:03;23:13;23:22
