Автобус №69;Четвер 28 травня 2026. Діє з 27.04.2026. Зміна розкладу з 01.06.2026.
Вулиця Литвиненка-Вольгемут - Станція метро «Палац спорту»
№ випуску;Вулиця Литвиненка-Вольгемут;Поліклініка;площа Космонавтів;Солом’янська площа;Станція метро «Палац спорту»
1;06:00;06:15;06:29;06:36;06:57
2;06:20;06:35;06:49;06:56;07:17
3;06:40;06:55;07:09;07:16;07:37
4;07:00;07:15;07:29;07:36;07:57
5;07:20;07:35;07:49;07:56;08:17
6;07:40;07:55;08:09;08:16;08:37
1;08:00;08:15;08:29;08:36;08:57
2;08:20;08:35;08:49;08:56;09:17
3;08:40;08:55;09:09;09:16;09:37
4;09:05;09:20;09:34;09:41;10:02
5;09:35;09:50;10:04;10:11;10:32
6;09:55;10:10;10:24;10:31;10:52
1;10:25;10:40;10:54;11:01;11:22
3;11:05;11:20;11:34;11:41;12:02
4;11:50;12:05;12:19;12:26;12:47
5;12:20;12:35;12:49;12:56;13:17
1;12:50;13:05;13:19;13:26;13:47
3;13:20;13:35;13:49;13:56;14:17
4;13:50;14:05;14:19;14:26;14:47
5;14:20;14:35;14:49;14:56;15:17
1;14:50;15:05;15:19;15:26;15:47
3;15:20;15:35;15:49;15:56;16:17
6;15:35;15:50;16:04;16:11;16:32
4;15:50;16:05;16:19;16:26;16:47
2;16:15;16:30;16:44;16:51;17:12
5;16:45;17:00;17:14;17:21;17:42
1;17:10;17:25;17:39;17:46;18:07
6;17:35;17:50;18:04;18:11;18:32
3;17:55;18:10;18:24;18:31;18:52
2;18:15;18:30;18:44;18:51;19:12
4;18:35;18:50;19:04;19:11;19:32
5;19:05;19:20;19:34;19:41;20:02
1;19:35;19:50;20:04;20:11;20:32
3;20:05;20:20;20:34;20:41;21:02
4;20:35;20:50;21:04;21:11;21:32
5;21:05;21:20;21:34;21:41;22:02
1;21:35;21:50;22:04;22:11;22:32
3;22:05;22:20;22:34;22:41;23:02
Станція метро «Палац спорту» - Вулиця Литвиненка-Вольгемут
№ випуску;Станція метро «Палац спорту»;Солом’янська площа;Поліклініка;Вулиця Івана Дзюби;Вулиця Литвиненка-Вольгемут
5;06:20;06:40;07:00;07:10;07:18
1;07:00;07:20;07:40;07:50;07:58
2;07:20;07:40;08:00;08:10;08:18
3;07:40;08:00;08:20;08:30;08:38
4;08:00;08:20;08:40;08:50;08:58
5;08:20;08:40;09:00;09:10;09:18
6;08:40;09:00;09:20;09:30;09:38
1;09:00;09:20;09:40;09:50;09:58
2;09:20;09:40;10:00;10:10;10:18
3;09:40;10:00;10:20;10:30;10:38
4;10:05;10:25;10:45;10:55;11:03
5;10:35;10:55;11:15;11:25;11:33
6;10:55;11:15;11:35;11:45;11:53
1;11:25;11:45;12:05;12:15;12:23
3;12:05;12:25;12:45;12:54;13:02
4;12:50;13:10;13:30;13:40;13:48
5;13:20;13:40;14:00;14:10;14:18
1;13:50;14:10;14:30;14:40;14:48
3;14:20;14:40;15:00;15:10;15:18
4;14:50;15:10;15:30;15:40;15:48
5;15:20;15:40;16:00;16:10;16:18
1;15:50;16:10;16:30;16:40;16:48
3;16:20;16:40;17:00;17:10;17:18
6;16:35;16:55;17:15;17:25;17:33
4;16:50;17:10;17:30;17:40;17:48
2;17:15;17:35;17:55;18:05;18:13
5;17:45;18:05;18:25;18:35;18:43
1;18:10;18:30;18:50;19:00;19:08
6;18:35;18:55;19:15;19:25;19:33
3;18:54;19:13;19:33;19:43;19:50
2;19:15;19:35;19:55;20:05;20:13
4;19:35;19:55;20:15;20:25;20:33
5;20:05;20:25;20:45;20:55;21:03
1;20:35;20:55;21:15;21:25;21:33
3;21:05;21:25;21:45;21:55;22:03
4;21:35;21:55;22:15;22:25;22:33
5;22:05;22:25;22:45;22:55;23:03
