Автобус №7;Четвер 28 травня 2026. Діє з 01.01.2026.
Залізничний вокзал - Львівська площа
№ випуску;Залізничний вокзал;Галицька площа;Львівська площа
1;06:30;06:37;06:43
1;07:00;07:07;07:13
1;07:35;07:42;07:48
1;08:05;08:12;08:18
1;08:35;08:42;08:48
1;09:05;09:14;09:22
1;09:40;09:49;09:57
1;10:40;10:49;10:57
1;11:15;11:24;11:32
1;12:05;12:14;12:22
1;12:40;12:49;12:57
1;13:15;13:24;13:32
1;13:50;13:59;14:07
1;14:25;14:34;14:42
1;15:00;15:09;15:17
1;15:35;15:44;15:52
1;16:35;16:44;16:52
1;17:10;17:17;17:23
1;17:40;17:47;17:53
1;18:10;18:17;18:23
1;18:40;18:47;18:53
1;19:25;19:32;19:38
1;20:00;20:07;20:13
Львівська площа - Залізничний вокзал
№ випуску;Львівська площа;Галицька площа;Залізничний вокзал
1;06:45;06:52;06:57
1;07:15;07:22;07:27
1;07:50;07:57;08:02
1;08:20;08:27;08:32
1;08:50;08:57;09:02
1;09:25;09:32;09:37
1;10:25;10:32;10:37
1;11:00;11:07;11:12
1;11:50;11:57;12:02
1;12:25;12:32;12:37
1;13:00;13:07;13:12
1;13:35;13:42;13:47
1;14:10;14:17;14:22
1;14:45;14:52;14:57
1;15:20;15:27;15:32
1;16:20;16:27;16:32
1;16:55;17:02;17:07
1;17:25;17:32;17:37
1;17:55;18:02;18:07
1;18:25;18:32;18:37
1;19:10;19:17;19:22
1;19:40;19:47;19:52
