Автобус №70Д;Четвер 28 травня 2026. Діє з 01.05.2026. Зміна розкладу з 01.06.2026.
Станція метро «Лівобережна» - станція "Райдужний"
№ випуску;Станція метро «Лівобережна»;Вулиця Райдужна;Вулиця Вершигори;967;станція "Райдужний"
1;06:25;06:37;06:48;06:51;06:54
2;06:55;07:07;07:18;07:21;07:24
1;07:25;07:37;07:48;07:51;07:54
2;07:55;08:07;08:18;08:21;08:24
1;08:25;08:37;08:48;08:51;08:54
2;08:55;09:07;09:18;09:21;09:24
1;09:25;09:37;09:48;09:51;09:52
2;09:55;10:07;10:18;10:21;10:22
1;11:25;11:37;11:48;11:51;11:54
2;11:55;12:07;12:18;12:21;12:24
1;12:25;12:37;12:48;12:51;12:54
2;12:55;13:07;13:18;13:21;13:24
1;13:25;13:37;13:48;13:51;13:54
2;13:55;14:07;14:18;14:21;14:24
1;14:25;14:37;14:48;14:51;14:54
2;14:55;15:07;15:18;15:21;15:24
1;15:25;15:37;15:48;15:51;15:54
2;15:55;16:07;16:18;16:21;16:24
1;16:25;16:37;16:48;16:51;16:52
2;16:55;17:07;17:18;17:21;17:22
1;17:55;18:07;18:18;18:21;18:24
2;18:25;18:37;18:48;18:51;18:54
1;18:55;19:07;19:18;19:21;19:22
2;19:25;19:37;19:48;19:51;19:52
1;20:30;20:42;20:53;20:56;20:59
2;21:00;21:12;21:23;21:26;21:29
1;21:30;21:42;21:53;21:56;21:59
2;22:00;22:12;22:23;22:26;22:29
станція "Райдужний" - Станція метро «Лівобережна»
№ випуску;станція "Райдужний";Вулиця Вершигори;ДВС;Станція метро «Лівобережна»;Станція метро «Лівобережна»
1;—;06:00;06:10;06:21;06:23
2;—;06:30;06:40;06:52;06:54
1;06:55;06:59;07:09;07:21;07:23
2;07:25;07:29;07:39;07:51;07:53
1;07:55;07:59;08:09;08:21;08:23
2;08:25;08:29;08:39;08:51;08:53
1;08:55;08:59;09:09;09:21;09:23
2;09:25;09:29;09:39;09:51;09:53
1;10:55;10:59;11:09;11:21;11:23
2;11:25;11:29;11:39;11:51;11:53
1;11:55;11:59;12:09;12:21;12:23
2;12:25;12:29;12:39;12:51;12:53
1;12:55;12:59;13:09;13:21;13:23
2;13:25;13:29;13:39;13:51;13:53
1;13:55;13:59;14:09;14:21;14:23
2;14:25;14:29;14:39;14:51;14:53
1;14:55;14:59;15:09;15:21;15:23
2;15:25;15:29;15:39;15:51;15:53
1;15:55;15:59;16:09;16:21;16:23
2;16:25;16:29;16:39;16:51;16:53
1;17:25;17:29;17:39;17:51;17:53
2;17:55;17:59;18:09;18:21;18:23
1;18:25;18:29;18:39;18:51;18:53
2;18:55;18:59;19:09;19:21;19:23
1;20:00;20:04;20:14;20:26;20:28
2;20:30;20:34;20:44;20:56;20:58
1;21:00;21:04;21:14;21:26;21:28
2;21:30;21:34;21:44;21:56;21:58
1;22:00;22:02;—;—;—
2;22:30;22:32;—;—;—
