Автобус №72;Четвер 28 травня 2026. Діє з 06.05.2026.
масив Синьоозерний - Станція метро «Контрактова площа»
№ випуску;масив Синьоозерний;Проспект Свободи;Куренівський р-к;Станція метро «Контрактова площа»
1;05:55;05:59;06:18;06:38
2;06:18;06:22;06:41;07:01
3;06:40;06:44;07:03;07:23
4;07:03;07:07;07:26;07:46
1;07:25;07:29;07:48;08:08
2;07:48;07:52;08:11;08:31
3;08:14;08:18;08:37;08:57
4;08:41;08:45;09:04;09:24
1;09:11;09:15;09:34;09:54
2;09:41;09:45;10:04;10:24
4;10:11;10:15;10:34;10:54
3;10:41;10:45;11:04;11:24
1;11:26;11:30;11:49;12:09
3;12:11;12:15;12:34;12:54
1;12:56;13:00;13:19;13:39
3;13:41;13:45;14:04;14:24
1;14:26;14:30;14:49;15:09
3;15:11;15:15;15:34;15:54
4;15:34;15:38;15:57;16:17
1;15:56;16:00;16:19;16:39
2;16:19;16:23;16:42;17:02
3;16:41;16:45;17:04;17:24
4;17:04;17:08;17:27;17:47
1;17:26;17:30;17:49;18:09
2;18:00;18:04;18:23;18:43
4;18:34;18:38;18:57;19:17
3;18:56;19:00;19:19;19:39
2;19:30;19:34;19:53;20:13
1;19:52;19:56;20:15;20:35
3;20:36;20:40;20:59;21:19
1;21:21;21:25;21:44;22:04
3;22:05;22:09;22:28;22:48
Станція метро «Контрактова площа» - масив Синьоозерний
№ випуску;Станція метро «Контрактова площа»;Площа Петропавлівська;Проспект Свободи;масив Синьоозерний
1;06:40;07:00;07:18;07:23
2;07:03;07:23;07:41;07:46
3;07:25;07:45;08:03;08:08
4;07:48;08:08;08:26;08:31
1;08:10;08:30;08:48;08:53
2;08:33;08:52;09:10;09:15
3;08:59;09:19;09:37;09:42
4;09:26;09:46;10:04;10:09
1;09:56;10:16;10:34;10:39
2;10:26;10:46;11:04;11:09
4;10:56;11:16;11:34;11:39
3;11:26;11:46;12:04;12:09
1;12:11;12:31;12:49;12:54
3;12:56;13:16;13:34;13:39
1;13:41;14:01;14:19;14:24
3;14:26;14:46;15:04;15:09
1;15:11;15:31;15:49;15:54
3;15:56;16:16;16:34;16:39
4;16:19;16:39;16:57;17:02
1;16:41;17:01;17:19;17:24
2;17:04;17:24;17:42;17:47
3;17:26;17:46;18:04;18:09
4;17:49;18:09;18:27;18:32
1;18:11;18:31;18:49;18:54
2;18:45;19:05;19:23;19:28
4;19:19;19:39;19:57;20:02
3;19:41;20:01;20:19;20:24
2;20:15;20:35;20:53;20:58
1;20:37;20:57;21:15;21:20
3;21:21;21:41;21:59;22:04
1;22:05;22:25;22:43;22:48
3;22:50;23:10;23:28;23:33
